Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.6e-05,18.627451,[12 56] ; [7 1],[17. 51.] ; [2. 6.],1
p4,1,0.000138,14.534051,[11 58] ; [6 2],[15.23376623 53.76623377] ; [1.76623377 6.23376623],1
p11,1,0.140147,2.176339,[25 45] ; [5 3],[26.92307692 43.07692308] ; [3.07692308 4.92307692],0
p3,1,0.218185,1.516269,[13 56] ; [3 5],[14.33766234 54.66233766] ; [1.66233766 6.33766234],0
b1,1,0.408727,0.6825,[42 28] ; [6 2],[43.07692308 26.92307692] ; [4.92307692 3.07692308],0
