Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,21.866793,[61 58] ; [20 78],[44.41935484 74.58064516] ; [36.58064516 61.41935484],1
d5,1,0.000134,14.57975,[80 39] ; [41 58],[66.05045872 52.94954128] ; [54.94954128 44.05045872],1
d2,1,0.002867,8.890178,[ 10 108] ; [23 77],[ 17.86238532 100.13761468] ; [15.13761468 84.86238532],0
r3,1,0.007021,7.26769,[108  11] ; [76 22],[100.90322581  18.09677419] ; [83.09677419 14.90322581],0
b4,1,0.010986,6.467506,[74 45] ; [45 55],[64.66210046 54.33789954] ; [54.33789954 45.66210046],0
r4,1,0.013705,6.075692,[96 23] ; [66 34],[88.02739726 30.97260274] ; [73.97260274 26.02739726],0
n6,1,0.020287,5.387021,[95 23] ; [66 33],[87.5483871 30.4516129] ; [73.4516129 25.5483871],0
a7,1,0.026048,4.952812,[83 36] ; [54 44],[75.12903226 43.87096774] ; [61.87096774 36.12903226],0
r1,1,0.059779,3.543513,[82 37] ; [56 43],[75.33027523 43.66972477] ; [62.66972477 36.33027523],0
a2,1,0.078578,3.094081,[  4 115] ; [ 9 91],[  7.06392694 111.93607306] ; [ 5.93607306 94.06392694],0
v3,1,0.086275,2.942546,[40 76] ; [23 74],[34.30985915 81.69014085] ; [28.69014085 68.30985915],0
p10,1,0.095451,2.779957,[86 31] ; [61 36],[80.36915888 36.63084112] ; [66.63084112 30.36915888],0
s2,1,0.105075,2.626781,[ 18 100] ; [ 8 91],[ 14.13824885 103.86175115] ; [11.86175115 87.13824885],0
a5,1,0.114236,2.494617,[71 48] ; [49 51],[65.20547945 53.79452055] ; [54.79452055 45.20547945],0
a3,1,0.116038,2.470003,[68 51] ; [46 53],[62.2293578 56.7706422] ; [51.7706422 47.2293578],0
p2,1,0.157913,1.994099,[90 29] ; [67 33],[85.31050228 33.68949772] ; [71.68949772 28.31050228],0
n1,1,0.16321,1.944229,[ 9 22] ; [16 19],[11.74242424 19.25757576] ; [13.25757576 21.74242424],0
s5,1,0.189451,1.72188,[26 89] ; [15 82],[22.24056604 92.75943396] ; [18.75943396 78.24056604],0
s7,1,0.213904,1.544805,[32 80] ; [20 75],[28.1352657 83.8647343] ; [23.8647343 71.1352657],0
p12,1,0.218268,1.515722,[  4 114] ; [ 7 92],[  5.98156682 112.01843318] ; [ 5.01843318 93.98156682],0
a4,1,0.26684,1.23292,[34 85] ; [22 78],[30.42922374 88.57077626] ; [25.57077626 74.42922374],0
s6,1,0.271059,1.211378,[50 66] ; [35 63],[46.07476636 69.92523364] ; [38.92523364 59.07476636],0
n5,1,0.272314,1.205055,[76 42] ; [70 28],[79.75925926 38.24074074] ; [66.24074074 31.75925926],0
v2,1,0.278897,1.172457,[54 63] ; [36 57],[50.14285714 66.85714286] ; [39.85714286 53.14285714],0
p5,1,0.368622,0.808305,[ 14 105] ; [ 8 91],[ 12.00917431 106.99082569] ; [ 9.99082569 89.00917431],0
p9,1,0.387216,0.747667,[89 30] ; [66 29],[86.19158879 32.80841121] ; [68.80841121 26.19158879],0
u2,1,0.423285,0.641176,[28 22] ; [26 28],[25.96153846 24.03846154] ; [28.03846154 25.96153846],0
a1,1,0.439914,0.596506,[  9 110] ; [ 5 95],[  7.60730594 111.39269406] ; [ 6.39269406 93.60730594],0
v4,1,0.454099,0.560401,[104  15] ; [83 16],[102.07798165  16.92201835] ; [84.92201835 14.07798165],0
v1,1,0.4691,0.524096,[53 64] ; [40 59],[50.375 66.625] ; [42.625 56.375],0
b1,1,0.4731,0.514725,[49 70] ; [46 54],[51.62100457 67.37899543] ; [43.37899543 56.62100457],0
n3,1,0.486034,0.485294,[20 12] ; [24 10],[21.33333333 10.66666667] ; [22.66666667 11.33333333],0
p8,1,0.510956,0.432108,[48 71] ; [43 53],[50.36744186 68.63255814] ; [40.63255814 55.36744186],0
r2,1,0.550796,0.355894,[99 19] ; [80 19],[97.33640553 20.66359447] ; [81.66359447 17.33640553],0
u3,1,0.570658,0.321583,[25 25] ; [24 30],[23.55769231 26.44230769] ; [25.44230769 28.55769231],0
s8,1,0.580225,0.305872,[25 93] ; [18 81],[23.38248848 94.61751152] ; [19.61751152 79.38248848],0
p6,1,0.652948,0.202203,[32 86] ; [29 68],[33.47906977 84.52093023] ; [27.52093023 69.47906977],0
p11,1,0.662808,0.190131,[83 36] ; [67 33],[81.50684932 37.49315068] ; [68.49315068 31.50684932],0
p3,1,0.705168,0.143152,[47 72] ; [37 63],[45.64383562 73.35616438] ; [38.35616438 61.64383562],0
p1,1,0.713629,0.13468,[  9 109] ; [ 9 91],[  9.74311927 108.25688073] ; [ 8.25688073 91.74311927],0
n4,1,0.750454,0.10115,[77 42] ; [62 37],[75.87614679 43.12385321] ; [63.12385321 35.87614679],0
n2,1,0.791552,0.069852,[22 10] ; [23 12],[21.49253731 10.50746269] ; [23.50746269 11.49253731],0
a6,1,0.800421,0.063909,[67 52] ; [58 42],[67.92237443 51.07762557] ; [57.07762557 42.92237443],0
a8,1,0.825931,0.048366,[13 99] ; [10 84],[12.50485437 99.49514563] ; [10.49514563 83.50485437],0
p7,1,0.863311,0.029639,[57 61] ; [48 49],[57.62790698 60.37209302] ; [47.37209302 49.62790698],0
u1,1,0.87964,0.02293,[  4 115] ; [ 3 97],[  3.80365297 115.19634703] ; [ 3.19634703 96.80365297],0
p4,1,0.892218,0.01836,[53 65] ; [44 56],[52.50458716 65.49541284] ; [44.49541284 55.50458716],0
b5,1,0.920635,0.009927,[71 48] ; [59 41],[70.63926941 48.36073059] ; [59.36073059 40.63926941],0
s4,1,0.935551,0.006539,[ 14 105] ; [12 87],[ 14.19266055 104.80733945] ; [11.80733945 87.19266055],0
s1,1,0.942243,0.005249,[  5 113] ; [ 4 95],[  4.89400922 113.10599078] ; [ 4.10599078 94.89400922],0
b2,1,0.985169,0.000346,[24 39] ; [22 36],[23.95041322 39.04958678] ; [22.04958678 35.95041322],0
b3,1,0.985169,0.000346,[24 39] ; [22 36],[23.95041322 39.04958678] ; [22.04958678 35.95041322],0
