Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,118.610982,[ 5 40] ; [256  43],[34.14244186 10.85755814] ; [226.85755814  72.14244186],1
v4,1,0.0,50.477883,[24 21] ; [271  24],[39.04411765  5.95588235] ; [255.95588235  39.04411765],1
p2,1,0.0,43.047006,[13 32] ; [228  69],[31.71052632 13.28947368] ; [209.28947368  87.71052632],1
p11,1,0.0,39.201503,[12 33] ; [220  79],[30.34883721 14.65116279] ; [201.65116279  97.34883721],1
p9,1,0.0,37.43239,[12 30] ; [218  72],[29.09638554 12.90361446] ; [200.90361446  89.09638554],1
r2,1,0.0,31.808335,[27 16] ; [272  23],[38.03846154  4.96153846] ; [260.96153846  34.03846154],1
a1,1,0.0,30.365271,[ 9 36] ; [  6 293],[ 1.9622093 43.0377907] ; [ 13.0377907 285.9622093],1
d4,1,0.0,30.075088,[19 26] ; [238  59],[33.81578947 11.18421053] ; [223.18421053  73.81578947],1
r1,1,0.0,28.457664,[15 30] ; [218  80],[30.56851312 14.43148688] ; [202.43148688  95.56851312],1
p10,1,1e-06,24.653777,[13 31] ; [200  93],[27.81008902 16.18991098] ; [185.18991098 107.81008902],1
n6,1,1e-06,23.246434,[19 26] ; [228  69],[32.5 12.5] ; [214.5  82.5],1
d3,1,2e-06,22.21212,[14 31] ; [200  96],[28.24046921 16.75953079] ; [185.75953079 110.24046921],1
a7,1,1.2e-05,19.135685,[17 28] ; [211  87],[29.91253644 15.08746356] ; [198.08746356  99.91253644],1
b1,1,3.7e-05,17.03479,[28 17] ; [ 92 207],[15.69767442 29.30232558] ; [104.30232558 194.69767442],1
d5,1,0.00081,11.218467,[22 23] ; [218  79],[31.57894737 13.42105263] ; [208.42105263  88.57894737],1
v2,1,0.000842,11.145333,[ 9 35] ; [132 147],[19.20743034 24.79256966] ; [121.79256966 157.20743034],1
d1,1,0.001674,9.876962,[11 34] ; [148 151],[20.7994186 24.2005814] ; [138.2005814 160.7994186],0
b5,1,0.004088,8.244509,[19 26] ; [193 106],[27.73255814 17.26744186] ; [184.26744186 114.73255814],0
s6,1,0.00469,7.995358,[11 34] ; [137 155],[19.76261128 25.23738872] ; [128.23738872 163.76261128],0
a6,1,0.004958,7.894549,[20 25] ; [197 101],[28.46938776 16.53061224] ; [188.53061224 109.46938776],0
p1,1,0.00575,7.627013,[ 6 39] ; [ 11 285],[ 2.24340176 42.75659824] ; [ 14.75659824 281.24340176],0
s2,1,0.006228,7.483001,[ 6 39] ; [ 99 196],[13.89705882 31.10294118] ; [ 91.10294118 203.89705882],0
s3,1,0.006282,7.467708,[ 8 34] ; [120 173],[16.04776119 25.95223881] ; [111.95223881 181.04776119],0
p7,1,0.006481,7.411549,[10 34] ; [128 160],[18.28915663 25.71084337] ; [119.71084337 168.28915663],0
n3,1,0.023802,5.109029,[12 13] ; [69 27],[16.73553719  8.26446281] ; [64.26446281 31.73553719],0
p4,1,0.034096,4.489879,[ 7 37] ; [ 93 202],[12.97935103 31.02064897] ; [ 87.02064897 207.97935103],0
s1,1,0.044979,4.019445,[ 5 40] ; [ 12 281],[ 2.26331361 42.73668639] ; [ 14.73668639 278.26331361],0
a5,1,0.052343,3.764781,[21 24] ; [185 114],[26.94767442 18.05232558] ; [179.05232558 119.94767442],0
n2,1,0.064169,3.426217,[13 12] ; [70 28],[16.8699187  8.1300813] ; [66.1300813 31.8699187],0
p8,1,0.068493,3.318783,[ 9 35] ; [100 192],[14.27380952 29.72619048] ; [ 94.72619048 197.27380952],0
a8,1,0.069316,3.299148,[ 1 40] ; [ 33 247],[ 4.34267913 36.65732087] ; [ 29.65732087 250.34267913],0
n5,1,0.070375,3.27426,[34 11] ; [183 114],[28.55263158 16.44736842] ; [188.44736842 108.55263158],0
