Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,84.795934,[193 143] ; [ 40 181],[140.5529623 195.4470377] ; [ 92.4470377 128.5529623],1
v1,1,0.0,40.354571,[229 107] ; [ 90 130],[192.77697842 143.22302158] ; [126.22302158  93.77697842],1
d4,1,0.002757,8.961769,[320  25] ; [192  34],[309.35201401  35.64798599] ; [202.64798599  23.35201401],0
s4,1,0.00674,7.340983,[ 40 303] ; [ 44 176],[ 51.17584369 291.82415631] ; [ 32.82415631 187.17584369],0
d1,1,0.010526,6.54363,[258  88] ; [146  80],[244.37762238 101.62237762] ; [159.62237762  66.37762238],0
a1,1,0.016248,5.775808,[ 23 323] ; [  5 221],[ 16.93706294 329.06293706] ; [ 11.06293706 214.93706294],0
p9,1,0.023066,5.163522,[310  29] ; [192  33],[301.73404255  37.26595745] ; [200.26595745  24.73404255],0
p12,1,0.02385,5.105509,[ 37 305] ; [ 12 212],[ 29.60777385 312.39222615] ; [ 19.39222615 204.60777385],0
r1,1,0.026144,4.946496,[289  55] ; [173  53],[278.82105263  65.17894737] ; [183.17894737  42.82105263],0
p7,1,0.034165,4.486429,[241  95] ; [139  81],[229.64028777 106.35971223] ; [150.35971223  69.64028777],0
a3,1,0.03994,4.220418,[269  76] ; [159  67],[258.59894921  86.40105079] ; [169.40105079  56.59894921],0
u1,1,0.050408,3.827833,[ 80 266] ; [ 37 189],[ 70.77272727 275.22727273] ; [ 46.22727273 179.77272727],0
r3,1,0.059738,3.544656,[336   6] ; [216  10],[332.36619718   9.63380282] ; [219.63380282   6.36619718],0
s7,1,0.060291,3.529364,[180 153] ; [100 118],[169.21960073 163.78039927] ; [110.78039927 107.21960073],0
n3,1,0.064887,3.407853,[48 14] ; [32 20],[43.50877193 18.49122807] ; [36.49122807 15.50877193],0
a7,1,0.06627,3.373075,[260  84] ; [155  71],[250.45614035  93.54385965] ; [164.54385965  61.45614035],0
s8,1,0.091004,2.856525,[170 172] ; [ 96 130],[160.16197183 181.83802817] ; [105.83802817 120.16197183],0
p3,1,0.098617,2.727764,[194 150] ; [111 114],[184.39367311 159.60632689] ; [120.60632689 104.39367311],0
d2,1,0.112859,2.513718,[190 154] ; [109 116],[180.76625659 163.23374341] ; [118.23374341 106.76625659],0
a5,1,0.123336,2.374443,[279  67] ; [170  56],[271.5979021  74.4020979] ; [177.4020979  48.5979021],0
p10,1,0.132324,2.265028,[303  37] ; [190  34],[297.19858156  42.80141844] ; [195.80141844  28.19858156],0
b1,1,0.14986,2.073675,[107 239] ; [ 83 143],[114.93006993 231.06993007] ; [ 75.06993007 150.93006993],0
p4,1,0.159955,1.974656,[230 112] ; [139  87],[222.17957746 119.82042254] ; [146.82042254  79.17957746],0
s1,1,0.1772,1.820951,[  6 334] ; [  8 216],[  8.43971631 331.56028369] ; [  5.56028369 218.43971631],0
a8,1,0.223353,1.482696,[ 51 259] ; [ 26 181],[ 46.17021277 263.82978723] ; [ 30.82978723 176.17021277],0
s5,1,0.238317,1.390522,[122 209] ; [ 71 151],[115.52079566 215.47920434] ; [ 77.47920434 144.52079566],0
d3,1,0.246613,1.342391,[263  83] ; [162  64],[257.08041958  88.91958042] ; [167.91958042  58.08041958],0
a2,1,0.257166,1.283948,[ 91 255] ; [ 50 176],[ 85.29020979 260.70979021] ; [ 55.70979021 170.29020979],0
b3,1,0.31134,1.024981,[ 89 134] ; [51 96],[ 84.37837838 138.62162162] ; [55.62162162 91.37837838],0
b2,1,0.31134,1.024981,[ 89 134] ; [51 96],[ 84.37837838 138.62162162] ; [55.62162162 91.37837838],0
p8,1,0.319525,0.990888,[198 137] ; [124 102],[192.28163993 142.71836007] ; [129.71836007  96.28163993],0
u2,1,0.320908,0.98524,[42 33] ; [43 24],[44.8943662 30.1056338] ; [40.1056338 26.8943662],0
n2,1,0.387133,0.747928,[48 13] ; [38 15],[46.01754386 14.98245614] ; [39.98245614 13.01754386],0
n5,1,0.392695,0.730582,[271  70] ; [172  53],[266.89575972  74.10424028] ; [176.10424028  48.89575972],0
u4,1,0.401841,0.702809,[  8 338] ; [  3 223],[  6.65384615 339.34615385] ; [  4.34615385 221.65384615],0
p5,1,0.447505,0.576964,[ 46 298] ; [ 25 198],[ 43.07583774 300.92416226] ; [ 27.92416226 195.07583774],0
