Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1.2e-05,19.223119,[19 14] ; [ 3 33],[10.52173913 22.47826087] ; [11.47826087 24.52173913],1
a3,1,7.5e-05,15.689497,[27  6] ; [12 23],[18.92647059 14.07352941] ; [20.07352941 14.92647059],1
d5,1,0.000253,13.387119,[27  7] ; [13 23],[19.42857143 14.57142857] ; [20.57142857 15.42857143],1
d2,1,0.001181,10.520114,[20 13] ; [ 8 28],[13.39130435 19.60869565] ; [14.60869565 21.39130435],0
d1,1,0.001614,9.943982,[19 15] ; [ 7 29],[12.62857143 21.37142857] ; [13.37142857 22.62857143],0
a6,1,0.004227,8.183772,[22 12] ; [11 25],[16.02857143 17.97142857] ; [16.97142857 19.02857143],0
d3,1,0.005349,7.757407,[24 10] ; [13 22],[18.23188406 15.76811594] ; [18.76811594 16.23188406],0
a7,1,0.022342,5.218927,[21 12] ; [13 23],[16.26086957 16.73913043] ; [17.73913043 18.26086957],0
p2,1,0.027416,4.86445,[ 8 25] ; [18 18],[12.43478261 20.56521739] ; [13.56521739 22.43478261],0
r2,1,0.064758,3.411131,[22  9] ; [17 18],[18.31818182 12.68181818] ; [20.68181818 14.31818182],0
b4,1,0.092661,2.827518,[13 21] ; [21 15],[16.51428571 17.48571429] ; [17.48571429 18.51428571],0
n1,1,0.134766,2.236728,[ 7 10] ; [ 4 17],[ 4.92105263 12.07894737] ; [ 6.07894737 14.92105263],0
u3,1,0.144779,2.126417,[3 4] ; [ 4 20],[1.58064516 5.41935484] ; [ 5.41935484 18.58064516],0
n4,1,0.253703,1.302797,[21 12] ; [18 18],[18.65217391 14.34782609] ; [20.34782609 15.65217391],0
a1,1,0.276191,1.185736,[ 7 27] ; [ 4 32],[ 5.34285714 28.65714286] ; [ 5.65714286 30.34285714],0
d4,1,0.284853,1.143791,[24 10] ; [21 15],[21.85714286 12.14285714] ; [23.14285714 12.85714286],0
n2,1,0.292202,1.109448,[ 6 11] ; [11 10],[7.60526316 9.39473684] ; [ 9.39473684 11.60526316],0
u2,1,0.300123,1.073647,[1 6] ; [ 8 15],[2.1 4.9] ; [ 6.9 16.1],0
b5,1,0.344939,0.891988,[16 18] ; [21 15],[17.97142857 16.02857143] ; [19.02857143 16.97142857],0
p4,1,0.347658,0.881989,[ 9 25] ; [ 6 29],[ 7.39130435 26.60869565] ; [ 7.60869565 27.39130435],0
s5,1,0.351591,0.867708,[ 5 27] ; [ 3 33],[ 3.76470588 28.23529412] ; [ 4.23529412 31.76470588],0
p7,1,0.378206,0.776526,[ 7 25] ; [11 24],[ 8.59701493 23.40298507] ; [ 9.40298507 25.59701493],0
s3,1,0.387247,0.747569,[12 22] ; [ 9 26],[10.34782609 23.65217391] ; [10.65217391 24.34782609],0
p3,1,0.396283,0.719577,[ 8 24] ; [ 6 30],[ 6.58823529 25.41176471] ; [ 7.41176471 28.58823529],0
p6,1,0.399957,0.708456,[ 5 28] ; [ 3 32],[ 3.88235294 29.11764706] ; [ 4.11764706 30.88235294],0
b1,1,0.420227,0.649681,[23 11] ; [21 15],[21.37142857 12.62857143] ; [22.62857143 13.37142857],0
b2,1,0.428987,0.625564,[10  9] ; [ 8 12],[ 8.76923077 10.23076923] ; [ 9.23076923 10.76923077],0
b3,1,0.428987,0.625564,[10  9] ; [ 8 12],[ 8.76923077 10.23076923] ; [ 9.23076923 10.76923077],0
s4,1,0.43478,0.610022,[ 6 28] ; [ 4 32],[ 4.85714286 29.14285714] ; [ 5.14285714 30.85714286],0
s2,1,0.484127,0.489553,[ 9 25] ; [ 7 29],[ 7.77142857 26.22857143] ; [ 8.22857143 27.77142857],0
v3,1,0.492778,0.470455,[ 6 27] ; [ 9 27],[ 7.17391304 25.82608696] ; [ 7.82608696 28.17391304],0
p10,1,0.495823,0.463866,[10 24] ; [13 22],[11.33333333 22.66666667] ; [11.66666667 23.33333333],0
a8,1,0.554563,0.349206,[ 2 31] ; [ 1 32],[ 1.5 31.5] ; [ 1.5 31.5],0
p8,1,0.592113,0.287057,[ 4 29] ; [ 6 30],[ 4.7826087 28.2173913] ; [ 5.2173913 30.7826087],0
r1,1,0.609185,0.261364,[12 21] ; [11 25],[11. 22.] ; [12. 24.],0
