Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,120.089077,[107  32] ; [ 48 195],[56.40052356 82.59947644] ; [ 98.59947644 144.40052356],1
s3,1,0.0,53.421508,[108  36] ; [ 88 153],[73.30909091 70.69090909] ; [122.69090909 118.30909091],1
s2,1,0.0,50.522071,[100  44] ; [ 79 166],[66.2622108 77.7377892] ; [112.7377892 132.2622108],1
s6,1,0.0,50.205423,[123  22] ; [118 124],[90.29715762 54.70284238] ; [150.70284238  91.29715762],1
r1,1,5e-05,16.454239,[126  18] ; [172  76],[109.46938776  34.53061224] ; [188.53061224  59.46938776],1
s5,1,6.7e-05,15.891567,[57 82] ; [ 53 190],[40.02617801 98.97382199] ; [ 69.97382199 173.02617801],1
p6,1,0.000143,14.462285,[52 92] ; [ 46 199],[ 36.27763496 107.72236504] ; [ 61.72236504 183.27763496],1
p4,1,0.000283,13.180049,[70 74] ; [ 74 171],[53.3059126 90.6940874] ; [ 90.6940874 154.3059126],1
v3,1,0.00122,10.459428,[62 80] ; [ 66 174],[47.58115183 94.41884817] ; [ 80.41884817 159.58115183],0
n4,1,0.001298,10.345264,[120  24] ; [170  78],[106.53061224  37.46938776] ; [183.46938776  64.53061224],0
p10,1,0.003956,8.304101,[120  23] ; [173  71],[108.26614987  34.73385013] ; [184.73385013  59.26614987],0
r4,1,0.004802,7.952514,[135  10] ; [207  42],[125.86294416  19.13705584] ; [216.13705584  32.86294416],0
u1,1,0.005565,7.685915,[ 29 116] ; [ 25 224],[ 19.87309645 125.12690355] ; [ 34.12690355 214.87309645],0
n5,1,0.007842,7.069208,[117  27] ; [171  77],[105.79591837  38.20408163] ; [182.20408163  65.79591837],0
a8,1,0.010275,6.586591,[ 27 103] ; [ 25 205],[ 18.77777778 111.22222222] ; [ 33.22222222 196.77777778],0
v1,1,0.01098,6.468606,[76 66] ; [ 98 146],[64.01036269 77.98963731] ; [109.98963731 134.01036269],0
a3,1,0.011055,6.456474,[108  37] ; [153  94],[96.54336735 48.45663265] ; [164.45663265  82.54336735],0
p9,1,0.011421,6.398661,[124  20] ; [180  59],[114.29765013  29.70234987] ; [189.70234987  49.29765013],0
p7,1,0.013485,6.104343,[80 59] ; [107 134],[68.40263158 70.59736842] ; [118.59736842 122.40263158],0
d2,1,0.01462,5.961702,[78 67] ; [101 145],[66.38107417 78.61892583] ; [112.61892583 133.38107417],0
a4,1,0.02315,5.157198,[70 75] ; [ 90 156],[59.33503836 85.66496164] ; [100.66496164 145.33503836],0
a2,1,0.026249,4.939516,[ 38 107] ; [ 42 207],[ 29.44162437 115.55837563] ; [ 50.55837563 198.44162437],0
a5,1,0.034933,4.448456,[107  38] ; [158  91],[97.52538071 47.47461929] ; [167.47461929  81.52538071],0
u2,1,0.043153,4.089413,[23 14] ; [40 54],[17.79389313 19.20610687] ; [45.20610687 48.79389313],0
u3,1,0.063892,3.433359,[23 14] ; [42 53],[18.21969697 18.78030303] ; [46.78030303 48.21969697],0
v2,1,0.078168,3.102592,[79 61] ; [111 125],[70.74468085 69.25531915] ; [119.25531915 116.74468085],0
a1,1,0.116255,2.467061,[  7 138] ; [  5 244],[  4.41624365 140.58375635] ; [  7.58375635 241.41624365],0
d5,1,0.118281,2.439943,[116  29] ; [181  67],[109.58015267  35.41984733] ; [187.41984733  60.58015267],0
d1,1,0.143606,2.138883,[85 60] ; [127 122],[78.02030457 66.97969543] ; [133.97969543 115.02030457],0
r3,1,0.164411,1.933178,[139   6] ; [228  19],[135.75255102   9.24744898] ; [231.24744898  15.75255102],0
p8,1,0.227911,1.453851,[60 82] ; [ 88 156],[54.44559585 87.55440415] ; [ 93.55440415 150.44559585],0
s4,1,0.25041,1.321017,[ 29 115] ; [ 38 206],[ 24.86597938 119.13402062] ; [ 42.13402062 201.86597938],0
u4,1,0.260183,1.267785,[  4 141] ; [  3 246],[  2.57614213 142.42385787] ; [  4.42385787 244.57614213],0
p5,1,0.287544,1.131084,[ 10 134] ; [ 11 237],[  7.71428571 136.28571429] ; [ 13.28571429 234.71428571],0
p12,1,0.336735,0.922821,[  9 136] ; [ 10 237],[  7.02806122 137.97193878] ; [ 11.97193878 235.02806122],0
a7,1,0.370387,0.802364,[106  39] ; [170  77],[102.09183673  42.90816327] ; [173.90816327  73.09183673],0
d3,1,0.378396,0.775905,[101  44] ; [162  86],[97.03562341 47.96437659] ; [165.96437659  82.03562341],0
s1,1,0.389656,0.740017,[  3 139] ; [  9 235],[  4.41450777 137.58549223] ; [  7.58549223 236.41450777],0
n1,1,0.450969,0.568215,[15 22] ; [26 52],[13.19130435 23.80869565] ; [27.80869565 50.19130435],0
d4,1,0.455833,0.556108,[118  27] ; [194  54],[115.11450382  29.88549618] ; [196.88549618  51.11450382],0
v4,1,0.593278,0.285255,[137   8] ; [230  17],[135.75255102   9.24744898] ; [231.24744898  15.75255102],0
b2,1,0.641919,0.216242,[35 60] ; [44 86],[33.35555556 61.64444444] ; [45.64444444 84.35555556],0
b3,1,0.641919,0.216242,[35 60] ; [44 86],[33.35555556 61.64444444] ; [45.64444444 84.35555556],0
n2,1,0.689359,0.15978,[28  9] ; [57 22],[27.11206897  9.88793103] ; [57.88793103 21.11206897],0
p1,1,0.695106,0.153614,[  9 136] ; [ 13 234],[  8.1377551 136.8622449] ; [ 13.8622449 233.1377551],0
n3,1,0.751443,0.100322,[24 12] ; [55 24],[24.73043478 11.26956522] ; [54.26956522 24.73043478],0
r2,1,0.760481,0.092933,[134  10] ; [225  19],[133.2371134  10.7628866] ; [225.7628866  18.2371134],0
p11,1,0.814277,0.055184,[111  34] ; [188  61],[110.03807107  34.96192893] ; [188.96192893  60.03807107],0
b1,1,0.822846,0.050125,[47 98] ; [ 78 171],[46.00253807 98.99746193] ; [ 78.99746193 170.00253807],0
a6,1,0.917054,0.010846,[93 52] ; [161  88],[93.47715736 51.52284264] ; [160.52284264  88.47715736],0
b5,1,0.953595,0.003386,[91 54] ; [157  92],[91.26903553 53.73096447] ; [156.73096447  92.26903553],0
p2,1,0.967554,0.001655,[112  33] ; [192  56],[112.16284987  32.83715013] ; [191.83715013  56.16284987],0
b4,1,0.980187,0.000617,[86 59] ; [148 101],[86.11675127 58.88324873] ; [147.88324873 101.11675127],0
