Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.01103,6.460495,[45 37] ; [ 5 16],[39.80582524 42.19417476] ; [10.19417476 10.80582524],0
p1,1,0.012415,6.25067,[ 3 79] ; [ 4 17],[ 5.57281553 76.42718447] ; [ 1.42718447 19.57281553],0
d5,1,0.018072,5.58917,[43 39] ; [17  4],[47.76699029 34.23300971] ; [12.23300971  8.76699029],0
v2,1,0.019213,5.482021,[25 54] ; [12  8],[29.52525253 49.47474747] ; [ 7.47474747 12.52525253],0
d1,1,0.023108,5.160405,[25 57] ; [12  9],[29.45631068 52.54368932] ; [ 7.54368932 13.45631068],0
s8,1,0.031983,4.599397,[11 71] ; [ 7 14],[14.33009709 67.66990291] ; [ 3.66990291 17.33009709],0
d2,1,0.062051,3.481697,[30 51] ; [12  8],[33.68316832 47.31683168] ; [ 8.31683168 11.68316832],0
a3,1,0.06332,3.448208,[43 37] ; [16  5],[46.73267327 33.26732673] ; [12.26732673  8.73267327],0
r2,1,0.065007,3.40481,[39 36] ; [15  5],[42.63157895 32.36842105] ; [11.36842105  8.63157895],0
d3,1,0.102523,2.665844,[34 47] ; [13  8],[37.32352941 43.67647059] ; [ 9.67647059 11.32352941],0
s4,1,0.126674,2.332796,[15 67] ; [ 1 20],[12.73786408 69.26213592] ; [ 3.26213592 17.73786408],0
a7,1,0.134566,2.239024,[38 44] ; [13  7],[41. 41.] ; [10. 10.],0
u3,1,0.1507,2.065153,[11 28] ; [3 2],[12.40909091 26.59090909] ; [1.59090909 3.40909091],0
d4,1,0.174325,1.84535,[48 34] ; [15  5],[50.64705882 31.35294118] ; [12.35294118  7.64705882],0
p9,1,0.193491,1.690834,[38 40] ; [13  7],[40.59183673 37.40816327] ; [10.40816327  9.59183673],0
p7,1,0.234358,1.414212,[27 53] ; [ 4 16],[24.8 55.2] ; [ 6.2 13.8],0
a6,1,0.235219,1.409019,[35 47] ; [12  9],[37.41747573 44.58252427] ; [ 9.58252427 11.41747573],0
a2,1,0.236349,1.402237,[ 8 74] ; [ 4 17],[ 9.55339806 72.44660194] ; [ 2.44660194 18.55339806],0
s7,1,0.267985,1.227033,[21 56] ; [ 8 12],[23.02061856 53.97938144] ; [ 5.97938144 14.02061856],0
v4,1,0.288485,1.12668,[45 34] ; [14  6],[47.08080808 31.91919192] ; [11.91919192  8.08080808],0
n4,1,0.329849,0.949492,[45 37] ; [14  7],[46.97087379 35.02912621] ; [12.02912621  8.97087379],0
a4,1,0.35476,0.856358,[26 55] ; [ 9 12],[27.79411765 53.20588235] ; [ 7.20588235 13.79411765],0
n6,1,0.368024,0.810324,[39 41] ; [12  8],[40.8 39.2] ; [10.2  9.8],0
s6,1,0.414897,0.664726,[25 57] ; [ 8 12],[26.52941176 55.47058824] ; [ 6.47058824 13.52941176],0
s1,1,0.417355,0.65775,[ 4 78] ; [ 2 19],[ 4.77669903 77.22330097] ; [ 1.22330097 19.77669903],0
b4,1,0.436613,0.605169,[47 35] ; [14  7],[48.5631068 33.4368932] ; [12.4368932  8.5631068],0
u2,1,0.44878,0.57373,[16 22] ; [3 2],[16.79069767 21.20930233] ; [2.20930233 2.79069767],0
v1,1,0.475639,0.508846,[21 57] ; [ 7 13],[22.28571429 55.71428571] ; [ 5.71428571 14.28571429],0
n5,1,0.491723,0.472753,[50 31] ; [14  6],[51.32673267 29.67326733] ; [12.67326733  7.32673267],0
s2,1,0.524372,0.405286,[19 63] ; [ 6 14],[20.09803922 61.90196078] ; [ 4.90196078 15.09803922],0
b2,1,0.526934,0.4003,[18 33] ; [5 6],[18.91935484 32.08064516] ; [4.08064516 6.91935484],0
b3,1,0.526934,0.4003,[18 33] ; [5 6],[18.91935484 32.08064516] ; [4.08064516 6.91935484],0
b5,1,0.55185,0.354014,[45 37] ; [10 11],[43.78640777 38.21359223] ; [11.21359223  9.78640777],0
p2,1,0.583471,0.300656,[44 37] ; [10 11],[42.88235294 38.11764706] ; [11.11764706  9.88235294],0
n2,1,0.597041,0.279481,[23 19] ; [7 4],[23.77358491 18.22641509] ; [6.22641509 4.77358491],0
n1,1,0.598698,0.276964,[15 27] ; [3 8],[14.26415094 27.73584906] ; [3.73584906 7.26415094],0
a5,1,0.627704,0.235188,[40 42] ; [ 9 12],[39.00970874 42.99029126] ; [ 9.99029126 11.00970874],0
p10,1,0.652739,0.202465,[40 41] ; [11  9],[40.9009901 40.0990099] ; [10.0990099  9.9009901],0
a1,1,0.673129,0.177964,[ 9 73] ; [ 3 18],[ 9.55339806 72.44660194] ; [ 2.44660194 18.55339806],0
p11,1,0.693339,0.155494,[39 43] ; [11 10],[39.80582524 42.19417476] ; [10.19417476 10.80582524],0
r1,1,0.696589,0.152045,[25 57] ; [ 7 13],[25.7254902 56.2745098] ; [ 6.2745098 13.7254902],0
n3,1,0.73419,0.115299,[21 20] ; [5 6],[20.5 20.5] ; [5.5 5.5],0
p6,1,0.827836,0.047296,[10 70] ; [ 3 18],[10.2970297 69.7029703] ; [ 2.7029703 18.2970297],0
r3,1,0.841198,0.040145,[42 38] ; [11  9],[42.4 37.6] ; [10.6  9.4],0
s3,1,0.856792,0.032566,[27 53] ; [ 6 13],[26.66666667 53.33333333] ; [ 6.33333333 12.66666667],0
p8,1,0.898659,0.016219,[18 62] ; [ 5 16],[18.21782178 61.78217822] ; [ 4.78217822 16.21782178],0
s5,1,0.951353,0.003722,[12 69] ; [ 3 18],[11.91176471 69.08823529] ; [ 3.08823529 17.91176471],0
p4,1,0.954672,0.003231,[20 62] ; [ 5 15],[20.09803922 61.90196078] ; [ 4.90196078 15.09803922],0
