Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,20.763309,[14 18] ; [67 11],[23.56363636  8.43636364] ; [57.43636364 20.56363636],1
b1,1,0.001091,10.666735,[23 10] ; [28 50],[15.16216216 17.83783784] ; [35.83783784 42.16216216],0
n5,1,0.001413,10.188605,[18 15] ; [65 13],[24.67567568  8.32432432] ; [58.32432432 19.67567568],0
p9,1,0.001652,9.901222,[20 12] ; [69  9],[25.89090909  6.10909091] ; [63.10909091 14.89090909],0
v4,1,0.012644,6.21832,[28  5] ; [76  2],[30.91891892  2.08108108] ; [73.08108108  4.91891892],0
a6,1,0.018235,5.573383,[15 18] ; [54 24],[20.51351351 12.48648649] ; [48.48648649 29.51351351],0
d3,1,0.018812,5.518876,[26  7] ; [43 35],[20.51351351 12.48648649] ; [48.48648649 29.51351351],0
n6,1,0.028491,4.798087,[23 10] ; [68 10],[27.05405405  5.94594595] ; [63.94594595 14.05405405],0
r4,1,0.031504,4.62527,[25  8] ; [71  7],[28.54054054  4.45945946] ; [67.45945946 10.54054054],0
r3,1,0.077011,3.12688,[28  5] ; [74  4],[30.32432432  2.67567568] ; [71.67567568  6.32432432],0
d4,1,0.085504,2.957043,[30  3] ; [60 18],[26.75675676  6.24324324] ; [63.24324324 14.75675676],0
n4,1,0.098914,2.722967,[24  9] ; [67 11],[27.05405405  5.94594595] ; [63.94594595 14.05405405],0
a5,1,0.110284,2.550146,[21 12] ; [61 17],[24.37837838  8.62162162] ; [57.62162162 20.37837838],0
u2,1,0.125294,2.349866,[4 7] ; [13  7],[6.03225806 4.96774194] ; [10.96774194  9.03225806],0
p1,1,0.135647,2.226659,[ 8 25] ; [10 68],[ 5.35135135 27.64864865] ; [12.64864865 65.35135135],0
b3,1,0.149661,2.075702,[ 4 13] ; [22 29],[ 6.5 10.5] ; [19.5 31.5],0
b2,1,0.149661,2.075702,[ 4 13] ; [22 29],[ 6.5 10.5] ; [19.5 31.5],0
d1,1,0.235361,1.408167,[23 10] ; [45 33],[20.21621622 12.78378378] ; [47.78378378 30.21621622],0
a3,1,0.254316,1.299438,[21 12] ; [58 20],[23.48648649  9.51351351] ; [55.51351351 22.48648649],0
u1,1,0.293067,1.105479,[ 4 29] ; [16 62],[ 5.94594595 27.05405405] ; [14.05405405 63.94594595],0
n1,1,0.340405,0.908906,[8 5] ; [7 9],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
p12,1,0.377325,0.779399,[ 2 31] ; [ 9 69],[ 3.27027027 29.72972973] ; [ 7.72972973 70.27027027],0
v1,1,0.3798,0.771351,[15 17] ; [41 32],[17.06666667 14.93333333] ; [38.93333333 34.06666667],0
n2,1,0.403755,0.697115,[10  3] ; [10  6],[8.96551724 4.03448276] ; [11.03448276  4.96551724],0
s1,1,0.407258,0.686791,[ 3 29] ; [ 4 74],[ 2.03636364 29.96363636] ; [ 4.96363636 73.03636364],0
p4,1,0.435821,0.60726,[24  9] ; [62 16],[25.56756757  7.43243243] ; [60.43243243 17.56756757],0
s4,1,0.438784,0.599459,[ 6 26] ; [10 67],[ 4.69724771 27.30275229] ; [11.30275229 65.69724771],0
s2,1,0.445066,0.583188,[20 12] ; [42 35],[18.20183486 13.79816514] ; [43.79816514 33.20183486],0
d5,1,0.446462,0.579618,[29  4] ; [64 14],[27.64864865  5.35135135] ; [65.35135135 12.64864865],0
s7,1,0.447119,0.577946,[13 12] ; [32 42],[11.36363636 13.63636364] ; [33.63636364 40.36363636],0
s5,1,0.447852,0.576082,[11 18] ; [22 51],[ 9.38235294 19.61764706] ; [23.61764706 49.38235294],0
s6,1,0.521298,0.411325,[21 11] ; [56 22],[22.4  9.6] ; [54.6 23.4],0
r2,1,0.607144,0.264355,[31  2] ; [75  3],[31.51351351  1.48648649] ; [74.48648649  3.51351351],0
d2,1,0.676053,0.174603,[19 14] ; [41 36],[18. 15.] ; [42. 35.],0
v3,1,0.677114,0.173393,[ 9 21] ; [25 48],[ 9.90291262 20.09708738] ; [24.09708738 48.90291262],0
