Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,172.373819,[  8 113] ; [376 149],[71.92569659 49.07430341] ; [312.07430341 212.92569659],1
d4,1,0.0,102.411482,[63 58] ; [474  51],[100.58359133  20.41640867] ; [436.41640867  88.58359133],1
d3,1,0.0,47.323362,[52 69] ; [394 131],[83.53869969 37.46130031] ; [362.46130031 162.53869969],1
d2,1,0.0,35.928221,[27 94] ; [275 249],[56.65426357 64.34573643] ; [245.34573643 278.65426357],1
a5,1,0.0,29.545162,[68 53] ; [419 106],[91.21826625 29.78173375] ; [395.78173375 129.21826625],1
a4,1,0.0,29.442234,[28 93] ; [264 260],[54.77829457 66.22170543] ; [237.22170543 286.77829457],1
u1,1,1.5e-05,18.712342,[  5 116] ; [109 416],[21.35294118 99.64705882] ; [ 92.64705882 432.35294118],1
a3,1,2.4e-05,17.826355,[70 51] ; [402 122],[88.54573643 32.45426357] ; [383.45426357 140.54573643],1
a2,1,4.4e-05,16.671232,[ 11 110] ; [139 386],[28.09597523 92.90402477] ; [121.90402477 403.09597523],1
n4,1,0.000442,12.34517,[82 39] ; [431  94],[96.08823529 24.91176471] ; [416.91176471 108.08823529],1
p2,1,0.000663,11.589869,[95 26] ; [467  53],[106.08736349  14.91263651] ; [455.91263651  64.08736349],1
p4,1,0.00338,8.590012,[62 58] ; [345 178],[75.95645412 44.04354588] ; [331.04354588 191.95645412],0
v2,1,0.004803,7.952084,[54 60] ; [310 192],[67.36363636 46.63636364] ; [296.63636364 205.36363636],0
v1,1,0.009099,6.803312,[55 63] ; [302 203],[67.61797753 50.38202247] ; [289.38202247 215.61797753],0
r2,1,0.009161,6.791121,[107  13] ; [492  24],[113.01886792   6.98113208] ; [485.98113208  30.01886792],0
p1,1,0.012576,6.227858,[ 18 103] ; [ 40 482],[ 10.91446345 110.08553655] ; [ 47.08553655 474.91446345],0
p3,1,0.0144,5.988378,[53 68] ; [294 230],[65.09612403 55.90387597] ; [281.90387597 242.09612403],0
p7,1,0.01572,5.833976,[69 49] ; [357 153],[80.04458599 37.95541401] ; [345.95541401 164.04458599],0
r1,1,0.019739,5.434834,[87 34] ; [424  97],[96.30996885 24.69003115] ; [414.69003115 106.30996885],0
a7,1,0.021396,5.294262,[77 44] ; [388 136],[87.23255814 33.76744186] ; [377.76744186 146.23255814],0
n5,1,0.055001,3.682065,[87 33] ; [419 102],[94.72698908 25.27301092] ; [411.27301092 109.72698908],0
r3,1,0.057344,3.61257,[113   7] ; [509  13],[116.26168224   3.73831776] ; [505.73831776  16.26168224],0
s8,1,0.068314,3.323072,[48 73] ; [255 267],[57.01866252 63.98133748] ; [245.98133748 276.01866252],0
n6,1,0.069135,3.303432,[100  21] ; [463  59],[105.94556765  15.05443235] ; [457.05443235  64.94556765],0
s6,1,0.082417,3.016588,[74 45] ; [361 152],[81.90664557 37.09335443] ; [353.09335443 159.90664557],0
p6,1,0.086556,2.937282,[38 81] ; [209 308],[46.21540881 72.78459119] ; [200.78459119 316.21540881],0
s4,1,0.097397,2.74766,[26 95] ; [ 79 438],[ 19.9137931 101.0862069] ; [ 85.0862069 431.9137931],0
r4,1,0.098073,2.736602,[105  16] ; [481  44],[109.76160991  11.23839009] ; [476.23839009  48.76160991],0
v3,1,0.098607,2.727936,[40 78] ; [211 289],[47.92556634 70.07443366] ; [203.07443366 296.92556634],0
s2,1,0.110286,2.550117,[52 66] ; [272 249],[59.83098592 58.16901408] ; [264.16901408 256.83098592],0
s5,1,0.195556,1.675259,[34 82] ; [180 325],[39.9742351 76.0257649] ; [174.0257649 330.9742351],0
s7,1,0.205384,1.603671,[51 64] ; [258 249],[57.13022508 57.86977492] ; [251.86977492 255.13022508],0
b1,1,0.236182,1.403239,[46 75] ; [170 355],[40.45820433 80.54179567] ; [175.54179567 349.45820433],0
p10,1,0.279583,1.169116,[110  11] ; [488  33],[112.70716511   8.29283489] ; [485.29283489  35.70716511],0
p12,1,0.304697,1.053525,[ 15 105] ; [ 49 473],[ 11.96261682 108.03738318] ; [ 52.03738318 469.96261682],0
s1,1,0.420003,0.650306,[  4 115] ; [ 11 508],[  2.79780564 116.20219436] ; [ 12.20219436 506.79780564],0
a6,1,0.423121,0.64163,[80 41] ; [366 158],[83.66821705 37.33178295] ; [362.33178295 161.66821705],0
a8,1,0.481477,0.495516,[ 14 100] ; [ 71 407],[16.36824324 97.63175676] ; [ 68.63175676 409.36824324],0
v4,1,0.495335,0.464918,[114   6] ; [500  19],[115.30516432   4.69483568] ; [498.69483568  20.30516432],0
u4,1,0.516025,0.42183,[  2 119] ; [ 14 510],[  3.00155039 117.99844961] ; [ 12.99844961 511.00155039],0
a1,1,0.588521,0.292659,[  5 116] ; [ 28 497],[  6.18111455 114.81888545] ; [ 26.81888545 498.18111455],0
n1,1,0.593502,0.284909,[ 7 15] ; [39 64],[ 8.096 13.904] ; [37.904 65.096],0
n2,1,0.618097,0.248552,[16  6] ; [80 23],[16.896  5.104] ; [79.104 23.896],0
u3,1,0.689619,0.159499,[28 23] ; [71 51],[29.1849711 21.8150289] ; [69.8150289 52.1849711],0
b2,1,0.695191,0.153523,[28 45] ; [136 197],[29.48768473 43.51231527] ; [134.51231527 198.48768473],0
b3,1,0.695191,0.153523,[28 45] ; [136 197],[29.48768473 43.51231527] ; [134.51231527 198.48768473],0
n3,1,0.715915,0.13244,[17  5] ; [75 27],[16.32258065  5.67741935] ; [75.67741935 26.32258065],0
s3,1,0.724604,0.124124,[65 53] ; [294 223],[66.71181102 51.28818898] ; [292.28818898 224.71181102],0
b5,1,0.879534,0.02297,[71 50] ; [312 213],[71.73839009 49.26160991] ; [311.26160991 213.73839009],0
p5,1,0.8831,0.021621,[ 17 103] ; [ 71 449],[ 16.5 103.5] ; [ 71.5 448.5],0
u2,1,0.901539,0.015306,[30 21] ; [73 49],[30.36416185 20.63583815] ; [72.63583815 49.36416185],0
p8,1,0.907213,0.013585,[70 50] ; [304 212],[70.56603774 49.43396226] ; [303.43396226 212.56603774],0
b4,1,0.978066,0.000756,[70 51] ; [303 222],[69.86532508 51.13467492] ; [303.13467492 221.86532508],0
