Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.6e-05,17.721591,[11 53] ; [31 27],[22.03278689 41.96721311] ; [19.96721311 38.03278689],1
r1,1,0.006735,7.342189,[36 28] ; [46 12],[43.01639344 20.98360656] ; [38.98360656 19.01639344],0
s4,1,0.012011,6.309316,[18 45] ; [ 6 52],[12.49586777 50.50413223] ; [11.50413223 46.49586777],0
p9,1,0.012175,6.285202,[54  9] ; [57  1],[57.79338843  5.20661157] ; [53.20661157  4.79338843],0
r3,1,0.012175,6.285202,[54  9] ; [57  1],[57.79338843  5.20661157] ; [53.20661157  4.79338843],0
v1,1,0.017481,5.647452,[25 38] ; [35 22],[31.5 31.5] ; [28.5 28.5],0
p3,1,0.024636,5.049263,[23 40] ; [33 25],[29.15702479 33.84297521] ; [26.84297521 31.15702479],0
a7,1,0.049782,3.848785,[36 27] ; [43 15],[41.1322314 21.8677686] ; [37.8677686 20.1322314],0
a5,1,0.050211,3.834405,[33 31] ; [40 18],[38.29508197 25.70491803] ; [34.70491803 23.29508197],0
p12,1,0.071795,3.241494,[ 1 63] ; [ 5 53],[ 3.14754098 60.85245902] ; [ 2.85245902 55.14754098],0
r4,1,0.102872,2.660444,[49 15] ; [51  7],[52.45901639 11.54098361] ; [47.54098361 10.45901639],0
p6,1,0.123946,2.36674,[17 47] ; [23 35],[20.98360656 43.01639344] ; [19.01639344 38.98360656],0
s5,1,0.124992,2.353622,[12 50] ; [18 39],[15.6302521 46.3697479] ; [14.3697479 42.6302521],0
n5,1,0.149823,2.074047,[47 17] ; [48  9],[50.24793388 13.75206612] ; [44.75206612 12.24793388],0
a3,1,0.187487,1.737258,[31 33] ; [35 23],[34.62295082 29.37704918] ; [31.37704918 26.62295082],0
p7,1,0.18765,1.735973,[35 28] ; [39 19],[38.52892562 24.47107438] ; [35.47107438 22.52892562],0
b2,1,0.206089,1.598687,[ 7 29] ; [12 25],[ 9.36986301 26.63013699] ; [ 9.63013699 27.36986301],0
b3,1,0.206089,1.598687,[ 7 29] ; [12 25],[ 9.36986301 26.63013699] ; [ 9.63013699 27.36986301],0
s1,1,0.207945,1.585676,[ 4 60] ; [ 1 57],[ 2.62295082 61.37704918] ; [ 2.37704918 55.62295082],0
a6,1,0.212829,1.552076,[36 28] ; [39 19],[39.3442623 24.6557377] ; [35.6557377 22.3442623],0
n4,1,0.215675,1.532915,[42 22] ; [44 14],[45.1147541 18.8852459] ; [40.8852459 17.1147541],0
n2,1,0.217023,1.52395,[13  4] ; [13  1],[14.25806452  2.74193548] ; [11.74193548  2.25806452],0
n3,1,0.217023,1.52395,[13  4] ; [13  1],[14.25806452  2.74193548] ; [11.74193548  2.25806452],0
p4,1,0.242335,1.366961,[33 31] ; [36 22],[36.19672131 27.80327869] ; [32.80327869 25.19672131],0
u3,1,0.256066,1.289901,[15 18] ; [14  9],[17.08928571 15.91071429] ; [11.91071429 11.08928571],0
b4,1,0.284399,1.145946,[28 36] ; [31 27],[30.95081967 33.04918033] ; [28.04918033 29.95081967],0
r2,1,0.38954,0.740376,[58  6] ; [54  3],[59.23966942  4.76033058] ; [52.76033058  4.23966942],0
d3,1,0.401646,0.703394,[15 47] ; [18 40],[17.05 44.95] ; [15.95 42.05],0
p1,1,0.425964,0.633801,[11 53] ; [ 7 51],[ 9.44262295 54.55737705] ; [ 8.55737705 49.44262295],0
s8,1,0.528373,0.397521,[24 40] ; [25 33],[25.70491803 38.29508197] ; [23.29508197 34.70491803],0
a8,1,0.565485,0.330296,[ 6 52] ; [ 4 51],[ 5.13274336 52.86725664] ; [ 4.86725664 50.13274336],0
u1,1,0.568912,0.324506,[ 2 62] ; [ 3 55],[ 2.62295082 61.37704918] ; [ 2.37704918 55.62295082],0
a4,1,0.571804,0.319673,[16 48] ; [12 46],[14.68852459 49.31147541] ; [13.31147541 44.68852459],0
s7,1,0.573203,0.317352,[29 32] ; [28 25],[30.5 30.5] ; [26.5 26.5],0
v4,1,0.614841,0.253186,[59  4] ; [52  5],[58.275  4.725] ; [52.725  4.275],0
a2,1,0.625768,0.237844,[ 5 59] ; [ 6 52],[ 5.7704918 58.2295082] ; [ 5.2295082 52.7704918],0
b5,1,0.627916,0.234898,[37 27] ; [31 27],[35.67213115 28.32786885] ; [32.32786885 25.67213115],0
n1,1,0.637717,0.22174,[8 9] ; [5 8],[7.36666667 9.63333333] ; [5.63333333 7.36666667],0
p11,1,0.664934,0.187585,[51 13] ; [48 10],[51.93442623 12.06557377] ; [47.06557377 10.93442623],0
u2,1,0.689125,0.160034,[14 19] ; [11 12],[14.73214286 18.26785714] ; [10.26785714 12.73214286],0
s3,1,0.714849,0.133482,[32 30] ; [28 30],[31. 31.] ; [29. 29.],0
s2,1,0.733667,0.115771,[28 35] ; [24 34],[27.07438017 35.92561983] ; [24.92561983 33.07438017],0
s6,1,0.736869,0.112898,[38 24] ; [36 20],[38.88135593 23.11864407] ; [35.11864407 20.88135593],0
b1,1,0.760986,0.092529,[26 38] ; [22 36],[25.18032787 38.81967213] ; [22.81967213 35.18032787],0
d5,1,0.781988,0.076579,[32 31] ; [28 30],[31.23966942 31.76033058] ; [28.76033058 29.23966942],0
p2,1,0.787816,0.07244,[52 12] ; [46 12],[51.40983607 12.59016393] ; [46.59016393 11.40983607],0
n6,1,0.809686,0.057999,[54 10] ; [48 10],[53.50819672 10.49180328] ; [48.49180328  9.50819672],0
p5,1,0.844754,0.038344,[ 7 57] ; [ 7 51],[ 7.3442623 56.6557377] ; [ 6.6557377 51.3442623],0
d2,1,0.89318,0.018032,[15 49] ; [13 45],[14.68852459 49.31147541] ; [13.31147541 44.68852459],0
d1,1,0.901559,0.0153,[ 3 61] ; [ 3 55],[ 3.14754098 60.85245902] ; [ 2.85245902 55.14754098],0
p8,1,0.906462,0.013807,[33 30] ; [31 27],[33.32231405 29.67768595] ; [30.67768595 27.32231405],0
