Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,2.1e-05,18.12215,[31 17] ; [13 43],[20.30769231 27.69230769] ; [23.69230769 32.30769231],1
p4,1,0.023675,5.11825,[36 12] ; [30 26],[30.46153846 17.53846154] ; [35.53846154 20.46153846],0
a3,1,0.029024,4.766201,[40  8] ; [36 20],[35.07692308 12.92307692] ; [40.92307692 15.07692308],0
n3,1,0.086736,2.933925,[12  1] ; [14  7],[9.94117647 3.05882353] ; [16.05882353  4.94117647],0
p1,1,0.111593,2.53151,[ 7 41] ; [ 3 53],[ 4.61538462 43.38461538] ; [ 5.38461538 50.61538462],0
d5,1,0.119964,2.417792,[43  5] ; [43 12],[40.0776699  7.9223301] ; [45.9223301  9.0776699],0
v3,1,0.137294,2.208024,[18 29] ; [13 40],[14.57 32.43] ; [16.43 36.57],0
a5,1,0.137645,2.204094,[38 10] ; [37 19],[34.61538462 13.38461538] ; [40.38461538 15.61538462],0
d2,1,0.14448,2.129579,[30 18] ; [27 29],[26.30769231 21.69230769] ; [30.69230769 25.30769231],0
u3,1,0.159255,1.981287,[7 1] ; [12  8],[5.42857143 2.57142857] ; [13.57142857  6.42857143],0
v4,1,0.16485,1.929168,[43  5] ; [54  2],[44.76923077  3.23076923] ; [52.23076923  3.76923077],0
b2,1,0.181346,1.786558,[21 13] ; [16 19],[18.23188406 15.76811594] ; [18.76811594 16.23188406],0
b3,1,0.181346,1.786558,[21 13] ; [16 19],[18.23188406 15.76811594] ; [18.76811594 16.23188406],0
d1,1,0.187866,1.734271,[31 17] ; [29 27],[27.69230769 20.30769231] ; [32.30769231 23.69230769],0
n5,1,0.218304,1.515486,[30 17] ; [42 14],[32.85436893 14.14563107] ; [39.14563107 16.85436893],0
p2,1,0.251925,1.312599,[38 10] ; [49  7],[40.15384615  7.84615385] ; [46.84615385  9.15384615],0
p9,1,0.281618,1.159265,[43  5] ; [46 10],[41.07692308  6.92307692] ; [47.92307692  8.07692308],0
s6,1,0.323867,0.973266,[35 12] ; [36 19],[32.71568627 14.28431373] ; [38.28431373 16.71568627],0
u2,1,0.333998,0.933333,[7 1] ; [14  6],[6. 2.] ; [15.  5.],0
v2,1,0.338501,0.916102,[31 16] ; [30 23],[28.67 18.33] ; [32.33 20.67],0
s1,1,0.367194,0.813138,[ 1 47] ; [ 3 51],[ 1.88235294 46.11764706] ; [ 2.11764706 51.88235294],0
b4,1,0.375811,0.78436,[25 23] ; [34 22],[27.23076923 20.76923077] ; [31.76923077 24.23076923],0
r2,1,0.377018,0.780402,[47  1] ; [52  3],[46.13592233  1.86407767] ; [52.86407767  2.13592233],0
p5,1,0.386778,0.749048,[ 1 47] ; [ 3 53],[ 1.84615385 46.15384615] ; [ 2.15384615 53.84615385],0
r3,1,0.386778,0.749048,[47  1] ; [53  3],[46.15384615  1.84615385] ; [53.84615385  2.15384615],0
p11,1,0.442189,0.590594,[30 18] ; [39 17],[31.84615385 16.15384615] ; [37.15384615 18.84615385],0
a2,1,0.442189,0.590594,[18 30] ; [17 39],[16.15384615 31.84615385] ; [18.84615385 37.15384615],0
v1,1,0.453783,0.561186,[23 24] ; [31 24],[24.88235294 22.11764706] ; [29.11764706 25.88235294],0
s7,1,0.469335,0.523541,[31 15] ; [32 21],[29.27272727 16.72727273] ; [33.72727273 19.27272727],0
p12,1,0.469555,0.523024,[ 2 46] ; [ 1 55],[ 1.38461538 46.61538462] ; [ 1.61538462 54.38461538],0
s2,1,0.506069,0.442187,[31 17] ; [32 23],[29.3592233 18.6407767] ; [33.6407767 21.3592233],0
n1,1,0.521692,0.410547,[6 7] ; [ 7 13],[5.12121212 7.87878788] ; [ 7.87878788 12.12121212],0
d3,1,0.532903,0.388852,[31 17] ; [38 16],[32.47058824 15.52941176] ; [36.52941176 17.47058824],0
a4,1,0.547912,0.36107,[29 19] ; [30 25],[27.49514563 20.50485437] ; [31.50485437 23.49514563],0
r4,1,0.552003,0.353741,[43  5] ; [48  8],[42.  6.] ; [49.  7.],0
a8,1,0.555187,0.348106,[ 5 38] ; [ 4 46],[ 4.16129032 38.83870968] ; [ 4.83870968 45.16129032],0
u1,1,0.616396,0.250965,[15 33] ; [15 41],[13.84615385 34.15384615] ; [16.15384615 39.84615385],0
a7,1,0.641565,0.216701,[36 12] ; [39 16],[34.95145631 13.04854369] ; [40.04854369 14.95145631],0
p7,1,0.673892,0.177083,[33 15] ; [35 19],[32. 16.] ; [36. 18.],0
s4,1,0.731808,0.117458,[ 8 39] ; [ 8 47],[ 7.37254902 39.62745098] ; [ 8.62745098 46.37254902],0
p10,1,0.73329,0.116112,[38 10] ; [42 13],[37.2815534 10.7184466] ; [42.7184466 12.2815534],0
n6,1,0.737255,0.112554,[40  8] ; [48  8],[40.61538462  7.38461538] ; [47.38461538  8.61538462],0
b5,1,0.745112,0.105685,[32 16] ; [39 17],[32.76923077 15.23076923] ; [38.23076923 17.76923077],0
s8,1,0.761882,0.091815,[25 23] ; [27 28],[24.23300971 23.76699029] ; [27.76699029 27.23300971],0
a1,1,0.777245,0.080038,[ 2 46] ; [ 3 53],[ 2.30769231 45.69230769] ; [ 2.69230769 53.30769231],0
s3,1,0.840238,0.040638,[28 20] ; [31 24],[27.49514563 20.50485437] ; [31.50485437 23.49514563],0
n4,1,0.906488,0.013799,[39  9] ; [46 10],[39.23076923  8.76923077] ; [45.76923077 10.23076923],0
d4,1,0.940933,0.00549,[38 10] ; [44 12],[37.84615385 10.15384615] ; [44.15384615 11.84615385],0
s5,1,0.946208,0.004552,[16 27] ; [19 33],[15.84210526 27.15789474] ; [19.15789474 32.84210526],0
a6,1,0.972788,0.001164,[35 13] ; [41 15],[35.07692308 12.92307692] ; [40.92307692 15.07692308],0
r1,1,0.972788,0.001164,[35 13] ; [41 15],[35.07692308 12.92307692] ; [40.92307692 15.07692308],0
n2,1,0.982959,0.000456,[8 5] ; [13  8],[8.02941176 4.97058824] ; [12.97058824  8.02941176],0
