Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,143.272866,[ 61 182] ; [139  23],[120. 123.] ; [80. 82.],1
s7,1,0.0,83.472643,[ 40 194] ; [98 60],[ 82.37755102 151.62244898] ; [ 55.62244898 102.37755102],1
s6,1,0.0,79.6591,[ 81 162] ; [126  34],[124.81637717 118.18362283] ; [82.18362283 77.81637717],1
s8,1,0.0,54.413057,[ 43 202] ; [85 78],[ 76.8627451 168.1372549] ; [ 51.1372549 111.8627451],1
s5,1,0.0,36.930327,[ 32 208] ; [62 93],[ 57.11392405 182.88607595] ; [ 36.88607595 118.11392405],1
s4,1,2e-06,22.698775,[ 24 221] ; [ 45 116],[ 41.63793103 203.36206897] ; [ 27.36206897 133.63793103],1
p10,1,5e-06,20.7792,[140 103] ; [128  33],[161.1980198  81.8019802] ; [106.8019802  54.1980198],1
r3,1,0.000289,13.141954,[204  39] ; [154   7],[215.33168317  27.66831683] ; [142.66831683  18.33168317],1
r2,1,0.000378,12.640348,[208  33] ; [156   5],[218.21890547  22.78109453] ; [145.78109453  15.21890547],1
p9,1,0.000388,12.591316,[156  83] ; [129  29],[171.5743073  67.4256927] ; [113.4256927  44.5743073],1
r4,1,0.00074,11.385702,[180  66] ; [142  21],[193.67237164  52.32762836] ; [128.32762836  34.67237164],1
v2,1,0.000955,10.912149,[ 99 135] ; [91 62],[114.88372093 119.11627907] ; [75.11627907 77.88372093],1
u3,1,0.002632,9.04628,[36 54] ; [35 18],[44.68531469 45.31468531] ; [26.31468531 26.68531469],0
v4,1,0.002698,9.001403,[203  39] ; [152  10],[212.64851485  29.35148515] ; [142.35148515  19.64851485],0
p6,1,0.002743,8.971318,[ 28 211] ; [ 37 124],[ 38.8375 200.1625] ; [ 26.1625 134.8375],0
u1,1,0.005151,7.825607,[ 21 225] ; [ 29 134],[ 30.07334963 215.92665037] ; [ 19.92665037 143.07334963],0
p7,1,0.006065,7.530988,[ 96 147] ; [82 71],[109.22727273 133.77272727] ; [68.77272727 84.22727273],0
v1,1,0.008492,6.926688,[ 87 154] ; [78 80],[ 99.66165414 141.33834586] ; [65.33834586 92.66165414],0
a8,1,0.01061,6.529558,[ 22 209] ; [ 28 123],[ 30.23560209 200.76439791] ; [ 19.76439791 131.23560209],0
r1,1,0.011206,6.432289,[161  82] ; [127  36],[172.37438424  70.62561576] ; [115.62561576  47.37438424],0
v3,1,0.029955,4.711871,[ 66 173] ; [60 98],[ 75.85390428 163.14609572] ; [ 50.14609572 107.85390428],0
s1,1,0.031319,4.635386,[  5 237] ; [ 10 151],[  9.00744417 232.99255583] ; [  5.99255583 155.00744417],0
d4,1,0.038568,4.279806,[177  67] ; [132  30],[185.7044335  58.2955665] ; [123.2955665  38.7044335],0
p2,1,0.043028,4.094319,[156  90] ; [119  44],[165.40342298  80.59657702] ; [109.59657702  53.40342298],0
d5,1,0.048909,3.878462,[169  77] ; [125  36],[177.7002457  68.2997543] ; [116.2997543  44.7002457],0
n5,1,0.062493,3.469965,[146  98] ; [111  50],[154.8345679  89.1654321] ; [102.1654321  58.8345679],0
n6,1,0.078035,3.10536,[172  73] ; [125  35],[179.66666667  65.33333333] ; [117.33333333  42.66666667],0
d2,1,0.117019,2.456773,[ 92 151] ; [74 88],[ 99.6 143.4] ; [66.4 95.6],0
p11,1,0.122685,2.382702,[157  89] ; [116  47],[164.200489  81.799511] ; [108.799511  54.200489],0
p8,1,0.134465,2.240186,[ 67 176] ; [ 55 104],[ 73.74626866 169.25373134] ; [ 48.25373134 110.74626866],0
