Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,30.261995,[ 3 22] ; [67 25],[14.95726496 10.04273504] ; [55.04273504 36.95726496],1
r3,1,0.0,29.9199,[ 8 17] ; [79 13],[18.58974359  6.41025641] ; [68.41025641 23.58974359],1
p2,1,0.000141,14.489308,[ 7 17] ; [65 26],[15.02608696  8.97391304] ; [56.97391304 34.02608696],1
p8,1,0.000355,12.753636,[ 1 24] ; [38 52],[ 8.47826087 16.52173913] ; [30.52173913 59.47826087],1
r2,1,0.000423,12.426708,[13 11] ; [78 12],[19.15789474  4.84210526] ; [71.84210526 18.15789474],1
n6,1,0.00117,10.536433,[10 14] ; [70 22],[16.55172414  7.44827586] ; [63.44827586 28.55172414],0
p7,1,0.002018,9.532671,[ 6 19] ; [53 37],[12.82608696 12.17391304] ; [46.17391304 43.82608696],0
p11,1,0.003183,8.69974,[10 15] ; [66 26],[16.23931624  8.76068376] ; [59.76068376 32.23931624],0
v2,1,0.00338,8.590267,[ 4 20] ; [45 45],[10.31578947 13.68421053] ; [38.68421053 51.31578947],0
p9,1,0.006784,7.329188,[ 9 15] ; [61 29],[14.73684211  9.26315789] ; [55.26315789 34.73684211],0
u2,1,0.007273,7.204235,[ 1 11] ; [16 14],[4.85714286 7.14285714] ; [12.14285714 17.85714286],0
s4,1,0.009205,6.782609,[ 5 20] ; [ 4 88],[ 1.92307692 23.07692308] ; [ 7.07692308 84.92307692],0
r1,1,0.010129,6.612084,[ 8 17] ; [56 36],[13.67521368 11.32478632] ; [50.32478632 41.67521368],0
n2,1,0.029491,4.738724,[6 8] ; [25  8],[9.23404255 4.76595745] ; [21.76595745 11.23404255],0
n1,1,0.035194,4.435714,[8 6] ; [ 8 24],[4.86956522 9.13043478] ; [11.13043478 20.86956522],0
a5,1,0.043537,4.07441,[ 9 16] ; [54 38],[13.46153846 11.53846154] ; [49.53846154 42.46153846],0
v3,1,0.050011,3.841079,[ 3 22] ; [28 60],[ 6.85840708 18.14159292] ; [24.14159292 63.85840708],0
u3,1,0.051727,3.784581,[ 1 11] ; [12 19],[3.62790698 8.37209302] ; [ 9.37209302 21.62790698],0
b1,1,0.05491,3.684821,[16  9] ; [39 53],[11.75213675 13.24786325] ; [43.24786325 48.75213675],0
d5,1,0.06204,3.481981,[10 15] ; [56 36],[14.1025641 10.8974359] ; [51.8974359 40.1025641],0
p10,1,0.069774,3.28832,[ 9 15] ; [53 38],[12.93913043 11.06086957] ; [49.06086957 41.93913043],0
s1,1,0.078976,3.085858,[ 3 22] ; [ 3 89],[ 1.28205128 23.71794872] ; [ 4.71794872 87.28205128],0
p4,1,0.083689,2.991763,[ 5 20] ; [34 54],[ 8.62831858 16.37168142] ; [30.37168142 57.62831858],0
v1,1,0.097239,2.750249,[ 6 19] ; [38 52],[ 9.56521739 15.43478261] ; [34.43478261 55.56521739],0
n3,1,0.102312,2.669124,[6 7] ; [23  9],[8.37777778 4.62222222] ; [20.62222222 11.37777778],0
a1,1,0.152566,2.04641,[ 3 22] ; [ 4 88],[ 1.4957265 23.5042735] ; [ 5.5042735 86.4957265],0
a3,1,0.16598,1.91888,[13 12] ; [61 30],[15.94827586  9.05172414] ; [58.05172414 32.94827586],0
b5,1,0.187548,1.736774,[ 8 17] ; [43 49],[10.8974359 14.1025641] ; [40.1025641 51.8974359],0
a6,1,0.191444,1.706467,[ 7 18] ; [39 53],[ 9.82905983 15.17094017] ; [36.17094017 55.82905983],0
s8,1,0.207789,1.586764,[ 2 23] ; [17 75],[ 4.05982906 20.94017094] ; [14.94017094 77.05982906],0
p1,1,0.248781,1.330134,[ 3 22] ; [ 5 87],[ 1.70940171 23.29059829] ; [ 6.29059829 85.70940171],0
p3,1,0.290475,1.117421,[ 5 20] ; [28 63],[ 7.11206897 17.88793103] ; [25.88793103 65.11206897],0
p12,1,0.323645,0.974158,[ 1 24] ; [ 1 90],[ 0.43103448 24.56896552] ; [ 1.56896552 89.43103448],0
s5,1,0.365434,0.819133,[ 2 22] ; [14 76],[ 3.36842105 20.63157895] ; [12.63157895 77.36842105],0
n5,1,0.383754,0.758642,[15 10] ; [63 28],[16.81034483  8.18965517] ; [61.18965517 29.81034483],0
b2,1,0.424198,0.638655,[10  9] ; [24 33],[ 8.5 10.5] ; [25.5 31.5],0
b3,1,0.424198,0.638655,[10  9] ; [24 33],[ 8.5 10.5] ; [25.5 31.5],0
n4,1,0.461984,0.541084,[18  7] ; [59 33],[16.45299145  8.54700855] ; [60.54700855 31.45299145],0
s7,1,0.509397,0.435305,[ 6 17] ; [17 69],[ 4.85321101 18.14678899] ; [18.14678899 67.85321101],0
d3,1,0.522798,0.40837,[ 9 16] ; [27 65],[ 7.69230769 17.30769231] ; [28.30769231 63.69230769],0
s2,1,0.583424,0.300731,[ 3 22] ; [15 76],[ 3.87931034 21.12068966] ; [14.12068966 76.87931034],0
a4,1,0.60052,0.274213,[10 14] ; [33 59],[ 8.89655172 15.10344828] ; [34.10344828 57.89655172],0
b4,1,0.640547,0.218027,[12 13] ; [49 43],[13.03418803 11.96581197] ; [47.96581197 44.03418803],0
s3,1,0.706379,0.141921,[ 6 18] ; [26 64],[ 6.73684211 17.26315789] ; [25.26315789 64.73684211],0
p5,1,0.765059,0.089308,[ 1 24] ; [ 5 86],[ 1.29310345 23.70689655] ; [ 4.70689655 86.29310345],0
d4,1,0.909925,0.012799,[16  9] ; [60 32],[16.23931624  8.76068376] ; [59.76068376 32.23931624],0
a2,1,0.939222,0.005814,[ 1 24] ; [ 4 88],[ 1.06837607 23.93162393] ; [ 3.93162393 88.06837607],0
d2,1,0.977645,0.000785,[11 13] ; [42 49],[11.06086957 12.93913043] ; [41.93913043 49.06086957],0
d1,1,0.990381,0.000145,[ 9 16] ; [33 59],[ 8.97435897 16.02564103] ; [33.02564103 58.97435897],0
