Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,58.139419,[ 80 145] ; [170  70],[120.96774194 104.03225806] ; [129.03225806 110.96774194],1
v3,1,0.0,31.076756,[ 54 177] ; [114 123],[ 82.92307692 148.07692308] ; [ 85.07692308 151.92307692],1
n5,1,3.4e-05,17.178501,[148  85] ; [198  48],[168.30480167  64.69519833] ; [177.69519833  68.30480167],1
p3,1,0.000304,13.04464,[ 88 147] ; [133 114],[107.74896266 127.25103734] ; [113.25103734 133.74896266],1
r1,1,0.000579,11.841635,[169  67] ; [208  38],[184.58921162  51.41078838] ; [192.41078838  53.58921162],1
a5,1,0.001376,10.237786,[148  88] ; [188  59],[164.17391304  71.82608696] ; [171.82608696  75.17391304],0
p4,1,0.003669,8.440636,[123 111] ; [162  85],[138.64864865  95.35135135] ; [146.35135135 100.64864865],0
r2,1,0.004507,8.067532,[207  27] ; [233  11],[215.39748954  18.60251046] ; [224.60251046  19.39748954],0
p9,1,0.006411,7.431023,[184  51] ; [213  30],[195.17782427  39.82217573] ; [201.82217573  41.17782427],0
p10,1,0.009816,6.66806,[174  60] ; [204  39],[185.43396226  48.56603774] ; [192.56603774  50.43396226],0
n4,1,0.01163,6.366439,[164  71] ; [197  50],[176.00622407  58.99377593] ; [184.99377593  62.00622407],0
p6,1,0.025108,5.016412,[ 66 168] ; [ 92 151],[ 77.50943396 156.49056604] ; [ 80.49056604 162.50943396],0
r4,1,0.033974,4.496022,[199  37] ; [224  23],[206.68322981  29.31677019] ; [216.31677019  30.68322981],0
s6,1,0.036652,4.366506,[120 113] ; [150  96],[131.33611691 101.66388309] ; [138.66388309 107.33611691],0
s4,1,0.040634,4.19123,[ 36 197] ; [ 23 224],[ 28.63958333 204.36041667] ; [ 30.36041667 216.63958333],0
p12,1,0.056427,3.6394,[  8 227] ; [ 18 227],[ 12.72916667 222.27083333] ; [ 13.27083333 231.72916667],0
b2,1,0.056466,3.638265,[33 91] ; [59 99],[40.45390071 83.54609929] ; [ 51.54609929 106.45390071],0
b3,1,0.056466,3.638265,[33 91] ; [59 99],[40.45390071 83.54609929] ; [ 51.54609929 106.45390071],0
s3,1,0.063995,3.430695,[120 113] ; [105 139],[109.90566038 123.09433962] ; [115.09433962 128.90566038],0
a4,1,0.070204,3.278244,[ 84 152] ; [107 138],[ 93.71309771 142.28690229] ; [ 97.28690229 147.71309771],0
a3,1,0.075923,3.150085,[150  86] ; [175  71],[159.12863071  76.87136929] ; [165.87136929  80.12863071],0
p11,1,0.080977,3.045189,[183  53] ; [207  40],[190.55900621  45.44099379] ; [199.44099379  47.55900621],0
b5,1,0.088438,2.902583,[139  97] ; [164  83],[148.04968944  87.95031056] ; [154.95031056  92.04968944],0
p8,1,0.093035,2.821066,[116 118] ; [138 103],[125.12842105 108.87157895] ; [128.87157895 112.12842105],0
a2,1,0.119191,2.427922,[ 41 195] ; [ 57 190],[ 47.88405797 188.11594203] ; [ 50.11594203 196.88405797],0
p5,1,0.13519,2.231872,[  9 227] ; [ 17 230],[ 12.70393375 223.29606625] ; [ 13.29606625 233.70393375],0
n6,1,0.163131,1.94496,[187  49] ; [207  39],[192.91286307  43.08713693] ; [201.08713693  44.91286307],0
d1,1,0.167085,1.908904,[118 118] ; [139 108],[125.57349896 110.42650104] ; [131.42650104 115.57349896],0
u1,1,0.171417,1.870509,[ 28 208] ; [ 40 207],[ 33.22567288 202.77432712] ; [ 34.77432712 212.22567288],0
s7,1,0.177479,1.81861,[ 84 143] ; [101 133],[ 91.09544469 135.90455531] ; [ 93.90455531 140.09544469],0
p7,1,0.182106,1.780355,[142  90] ; [163  80],[148.96842105  83.03157895] ; [156.03157895  86.96842105],0
r3,1,0.245807,1.346977,[222  14] ; [236   9],[224.71517672  11.28482328] ; [233.28482328  11.71517672],0
n3,1,0.269206,1.220788,[48 23] ; [31  9],[50.53153153 20.46846847] ; [28.46846847 11.53153153],0
d5,1,0.286796,1.134603,[181  54] ; [200  47],[185.75726141  49.24273859] ; [195.24273859  51.75726141],0
a7,1,0.304957,1.052393,[170  65] ; [188  58],[174.90644491  60.09355509] ; [183.09355509  62.90644491],0
s2,1,0.326931,0.961016,[ 94 141] ; [ 87 157],[ 88.79958246 146.20041754] ; [ 92.20041754 151.79958246],0
p1,1,0.340963,0.906807,[ 13 222] ; [ 19 228],[ 15.60165975 219.39834025] ; [ 16.39834025 230.60165975],0
a6,1,0.356283,0.850952,[162  74] ; [179  68],[166.61697723  69.38302277] ; [174.38302277  72.61697723],0
s8,1,0.371428,0.79888,[ 80 156] ; [ 93 153],[ 84.70539419 151.29460581] ; [ 88.29460581 157.70539419],0
u3,1,0.372657,0.794786,[39 44] ; [39 33],[41.76774194 41.23225806] ; [36.23225806 35.76774194],0
n2,1,0.377107,0.78011,[45 25] ; [29 11],[47.09090909 22.90909091] ; [26.90909091 13.09090909],0
d2,1,0.391651,0.73381,[ 96 140] ; [110 137],[100.65424431 135.34575569] ; [105.34575569 141.65424431],0
a8,1,0.448959,0.573279,[ 27 192] ; [ 32 184],[ 29.70344828 189.29655172] ; [ 29.29655172 186.70344828],0
d4,1,0.465487,0.53267,[181  54] ; [197  50],[184.29460581  50.70539419] ; [193.70539419  53.29460581],0
d3,1,0.624891,0.239053,[161  73] ; [175  72],[163.45945946  70.54054054] ; [172.54054054  74.45945946],0
a1,1,0.64833,0.208012,[  6 230] ; [  8 239],[  6.84057971 229.15942029] ; [  7.15942029 239.84057971],0
s1,1,0.696979,0.151634,[  6 227] ; [  5 240],[  5.36192469 227.63807531] ; [  5.63807531 239.36192469],0
n1,1,0.748654,0.102666,[19 51] ; [12 28],[19.72727273 50.27272727] ; [11.27272727 28.72727273],0
v4,1,0.751879,0.099959,[223  12] ; [234  11],[223.73958333  11.26041667] ; [233.26041667  11.73958333],0
u2,1,0.754343,0.097918,[44 41] ; [38 32],[44.96774194 40.03225806] ; [37.03225806 32.96774194],0
b1,1,0.843346,0.039052,[ 89 147] ; [ 91 156],[ 87.95031056 148.04968944] ; [ 92.04968944 154.95031056],0
b4,1,0.982398,0.000487,[134 102] ; [140 107],[133.87991718 102.12008282] ; [140.12008282 106.87991718],0
