Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,115.813364,[480  14] ; [74 39],[450.86655684  43.13344316] ; [103.13344316   9.86655684],1
r2,1,0.0,42.085029,[476  13] ; [89 20],[462.01505017  26.98494983] ; [102.98494983   6.01505017],1
v4,1,3e-06,21.833208,[477  14] ; [98 15],[467.42549669  23.57450331] ; [107.57450331   5.42549669],1
u1,1,4.3e-05,16.714958,[115 379] ; [  7 106],[ 99.28830313 394.71169687] ; [22.71169687 90.28830313],1
r3,1,9.5e-05,15.230503,[484   7] ; [104   9],[477.99337748  13.00662252] ; [110.00662252   2.99337748],1
p7,1,0.000191,13.920245,[338 139] ; [57 52],[321.52730375 155.47269625] ; [73.47269625 35.52730375],1
a5,1,0.000193,13.899589,[399  95] ; [73 40],[384.13179572 109.86820428] ; [87.86820428 25.13179572],1
a2,1,0.000232,13.554769,[139 355] ; [ 13 100],[123.70345964 370.29654036] ; [28.29654036 84.70345964],1
a4,1,0.004211,8.190348,[248 245] ; [40 73],[234.2970297 258.7029703] ; [53.7029703 59.2970297],0
d1,1,0.004437,8.095896,[356 138] ; [66 47],[343.4398682 150.5601318] ; [78.5601318 34.4398682],0
p2,1,0.010925,6.477522,[433  57] ; [88 23],[424.77537438  65.22462562] ; [96.22462562 14.77537438],0
d2,1,0.013782,6.06591,[266 227] ; [46 66],[254.24132231 238.75867769] ; [57.75867769 54.24132231],0
s3,1,0.021957,5.24922,[288 195] ; [54 59],[277.15771812 205.84228188] ; [64.84228188 48.15771812],0
n4,1,0.028476,4.798996,[402  90] ; [82 31],[393.6  98.4] ; [90.4 22.6],0
v1,1,0.036342,4.380968,[282 198] ; [51 56],[272.29982964 207.70017036] ; [60.70017036 46.29982964],0
p8,1,0.039105,4.256313,[286 199] ; [53 57],[276.32773109 208.67226891] ; [62.67226891 47.32773109],0
v2,1,0.039113,4.255963,[295 180] ; [56 53],[285.4880137 189.5119863] ; [65.5119863 43.4880137],0
s8,1,0.039469,4.240555,[239 251] ; [43 70],[229.15422886 260.84577114] ; [52.84577114 60.15422886],0
a1,1,0.059227,3.55889,[ 22 472] ; [ 10 103],[ 26.04283361 467.95716639] ; [  5.95716639 107.04283361],0
a6,1,0.060129,3.533833,[354 139] ; [71 42],[345.75082508 147.24917492] ; [79.24917492 33.75082508],0
u3,1,0.072864,3.217304,[78 38] ; [16 16],[73.67567568 42.32432432] ; [20.32432432 11.67567568],0
d3,1,0.077085,3.125317,[388 106] ; [80 33],[380.87644152 113.12355848] ; [87.12355848 25.87644152],0
s5,1,0.082668,3.011657,[175 304] ; [29 76],[167.32191781 311.67808219] ; [36.67808219 68.32191781],0
p4,1,0.089531,2.882789,[317 172] ; [63 49],[309.18469218 179.81530782] ; [70.81530782 41.18469218],0
a8,1,0.121439,2.398667,[ 72 375] ; [11 97],[ 66.84864865 380.15135135] ; [16.15135135 91.84864865],0
a7,1,0.132117,2.267454,[370 123] ; [77 36],[363.64851485 129.35148515] ; [83.35148515 29.64851485],0
n5,1,0.132763,2.259901,[381 107] ; [80 32],[374.94666667 113.05333333] ; [86.05333333 25.94666667],0
s7,1,0.13904,2.188556,[247 229] ; [48 61],[240.03418803 235.96581197] ; [54.96581197 54.03418803],0
n6,1,0.142688,2.148724,[432  58] ; [93 19],[427.3255814  62.6744186] ; [97.6744186 14.3255814],0
d5,1,0.143783,2.136994,[436  58] ; [94 19],[431.33443163  62.66556837] ; [98.66556837 14.33443163],0
p10,1,0.161192,1.963009,[429  60] ; [91 19],[424.50751252  64.49248748] ; [95.49248748 14.50751252],0
n1,1,0.16629,1.916073,[24 57] ; [15 20],[27.23275862 53.76724138] ; [11.76724138 23.23275862],0
a3,1,0.189668,1.720194,[378 115] ; [80 33],[372.59735974 120.40264026] ; [85.40264026 27.59735974],0
b2,1,0.19361,1.689934,[133 177] ; [26 49],[128.02597403 181.97402597] ; [30.97402597 44.02597403],0
b3,1,0.19361,1.689934,[133 177] ; [26 49],[128.02597403 181.97402597] ; [30.97402597 44.02597403],0
n2,1,0.234618,1.412642,[56 24] ; [29  7],[58.62068966 21.37931034] ; [26.37931034  9.62068966],0
p12,1,0.242833,1.36407,[ 48 439] ; [  7 104],[ 44.7909699 442.2090301] ; [ 10.2090301 100.7909699],0
p3,1,0.259142,1.273333,[258 235] ; [52 60],[252.61157025 240.38842975] ; [57.38842975 54.61157025],0
b4,1,0.299817,1.075009,[293 201] ; [73 40],[297.86490939 196.13509061] ; [68.13509061 44.86490939],0
p1,1,0.31091,1.026808,[ 34 455] ; [ 11 102],[ 36.55315615 452.44684385] ; [  8.44684385 104.55315615],0
s6,1,0.315511,1.007463,[332 152] ; [70 40],[327.55555556 156.44444444] ; [74.44444444 35.55555556],0
s1,1,0.339492,0.912348,[ 10 476] ; [  4 108],[ 11.37792642 474.62207358] ; [  2.62207358 109.37792642],0
v3,1,0.348284,0.879699,[199 273] ; [41 69],[194.63917526 277.36082474] ; [45.36082474 64.63917526],0
b5,1,0.355956,0.852109,[287 207] ; [71 42],[291.35420099 202.64579901] ; [66.64579901 46.35420099],0
s2,1,0.376991,0.780489,[260 228] ; [55 58],[255.77371048 232.22628952] ; [59.22628952 53.77371048],0
s4,1,0.419797,0.650884,[ 71 413] ; [20 93],[ 73.77554439 410.22445561] ; [17.22445561 95.77554439],0
p6,1,0.423326,0.641064,[182 303] ; [45 63],[185.65767285 299.34232715] ; [41.34232715 66.65767285],0
u2,1,0.441374,0.592707,[74 40] ; [19 14],[72.12244898 41.87755102] ; [20.87755102 12.12244898],0
p9,1,0.494837,0.465992,[436  50] ; [98 14],[433.98662207  52.01337793] ; [100.01337793  11.98662207],0
u4,1,0.524139,0.405741,[ 14 480] ; [  2 111],[ 13.0214168 480.9785832] ; [  2.9785832 110.0214168],0
p5,1,0.797785,0.065646,[ 61 427] ; [15 97],[ 61.81333333 426.18666667] ; [14.18666667 97.81333333],0
b1,1,0.82321,0.049916,[176 318] ; [39 74],[174.9752883 319.0247117] ; [40.0247117 72.9752883],0
n3,1,0.940379,0.005594,[55 25] ; [25 11],[55.17241379 24.82758621] ; [24.82758621 11.17241379],0
