Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.034287,4.480335,[4 1] ; [ 5 13],[1.95652174 3.04347826] ; [ 7.04347826 10.95652174],0
n6,1,0.062579,3.467692,[1 4] ; [12  6],[2.82608696 2.17391304] ; [10.17391304  7.82608696],0
s3,1,0.103522,2.650421,[4 1] ; [ 7 11],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
s2,1,0.103522,2.650421,[4 1] ; [ 7 11],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
s7,1,0.12695,2.329412,[4 1] ; [ 7 10],[2.5 2.5] ; [8.5 8.5],0
a7,1,0.159128,1.982492,[1 4] ; [10  8],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
b1,1,0.231263,1.433077,[1 4] ; [9 9],[2.17391304 2.82608696] ; [ 7.82608696 10.17391304],0
p6,1,0.263128,1.252222,[2 3] ; [ 3 15],[1.08695652 3.91304348] ; [ 3.91304348 14.08695652],0
d2,1,0.27976,1.168254,[3 2] ; [ 6 12],[1.95652174 3.04347826] ; [ 7.04347826 10.95652174],0
d4,1,0.27976,1.168254,[2 3] ; [12  6],[3.04347826 1.95652174] ; [10.95652174  7.04347826],0
d3,1,0.27976,1.168254,[2 3] ; [12  6],[3.04347826 1.95652174] ; [10.95652174  7.04347826],0
p10,1,0.27976,1.168254,[2 3] ; [12  6],[3.04347826 1.95652174] ; [10.95652174  7.04347826],0
u3,1,0.310494,1.028571,[1 2] ; [6 3],[1.75 1.25] ; [5.25 3.75],0
a5,1,0.32179,0.981658,[1 4] ; [ 8 10],[1.95652174 3.04347826] ; [ 7.04347826 10.95652174],0
b5,1,0.399557,0.709658,[2 3] ; [11  7],[2.82608696 2.17391304] ; [10.17391304  7.82608696],0
n3,1,0.416448,0.660317,[1 2] ; [6 4],[1.61538462 1.38461538] ; [5.38461538 4.61538462],0
v4,1,0.432738,0.615463,[4 1] ; [11  7],[3.26086957 1.73913043] ; [11.73913043  6.26086957],0
d1,1,0.566501,0.328571,[1 4] ; [ 6 12],[1.52173913 3.47826087] ; [ 5.47826087 12.52173913],0
a4,1,0.599275,0.276091,[2 3] ; [ 5 13],[1.52173913 3.47826087] ; [ 5.47826087 12.52173913],0
r2,1,0.61093,0.258824,[3 2] ; [8 9],[2.5 2.5] ; [8.5 8.5],0
v2,1,0.677856,0.172549,[1 4] ; [ 5 12],[1.36363636 3.63636364] ; [ 4.63636364 12.36363636],0
p9,1,0.692103,0.156818,[2 3] ; [9 9],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
a3,1,0.692103,0.156818,[2 3] ; [9 9],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
n4,1,0.692103,0.156818,[3 2] ; [9 9],[2.60869565 2.39130435] ; [9.39130435 8.60869565],0
r3,1,0.692103,0.156818,[3 2] ; [9 9],[2.60869565 2.39130435] ; [9.39130435 8.60869565],0
p7,1,0.780512,0.077647,[3 2] ; [9 8],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
a6,1,0.781867,0.076667,[2 3] ; [ 6 12],[1.73913043 3.26086957] ; [ 6.26086957 11.73913043],0
n5,1,0.781867,0.076667,[3 2] ; [12  6],[3.26086957 1.73913043] ; [11.73913043  6.26086957],0
p3,1,0.781867,0.076667,[2 3] ; [ 6 12],[1.73913043 3.26086957] ; [ 6.26086957 11.73913043],0
p8,1,0.840039,0.040741,[2 2] ; [ 8 10],[1.81818182 2.18181818] ; [8.18181818 9.81818182],0
d5,1,0.859234,0.031453,[3 2] ; [10  8],[2.82608696 2.17391304] ; [10.17391304  7.82608696],0
b3,1,0.86952,0.026984,[1 4] ; [ 2 10],[0.88235294 4.11764706] ; [2.11764706 9.88235294],0
b2,1,0.86952,0.026984,[1 4] ; [ 2 10],[0.88235294 4.11764706] ; [2.11764706 9.88235294],0
n1,1,0.912637,0.012037,[1 2] ; [3 7],[0.92307692 2.07692308] ; [3.07692308 6.92307692],0
v1,1,0.915127,0.011358,[1 4] ; [ 4 14],[1.08695652 3.91304348] ; [ 3.91304348 14.08695652],0
r1,1,0.915127,0.011358,[1 4] ; [ 4 14],[1.08695652 3.91304348] ; [ 3.91304348 14.08695652],0
p4,1,0.964079,0.002028,[2 3] ; [ 7 11],[1.95652174 3.04347826] ; [ 7.04347826 10.95652174],0
