Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.167559,[91 18] ; [14 19],[80.59859155 28.40140845] ; [24.40140845  8.59859155],1
r4,1,0.000156,14.302821,[99 10] ; [21 12],[92.11267606 16.88732394] ; [27.88732394  5.11267606],1
n4,1,0.000163,14.218079,[91 18] ; [17 16],[82.90140845 26.09859155] ; [25.09859155  7.90140845],1
p11,1,0.000176,14.069333,[97 12] ; [20 13],[89.80985915 19.19014085] ; [27.19014085  5.80985915],1
r3,1,0.000215,13.694073,[104   4] ; [25  8],[98.80851064  9.19148936] ; [30.19148936  2.80851064],1
v4,1,0.000735,11.398667,[105   4] ; [25  7],[100.4964539   8.5035461] ; [29.5035461  2.4964539],1
p10,1,0.000894,11.035508,[90 18] ; [17 14],[83.13669065 24.86330935] ; [23.86330935  7.13669065],1
p9,1,0.000993,10.840187,[92 15] ; [19 13],[85.44604317 21.55395683] ; [25.55395683  6.44604317],1
d1,1,0.003249,8.661894,[68 41] ; [11 22],[60.64084507 48.35915493] ; [18.35915493 14.64084507],0
b1,1,0.003296,8.635719,[38 71] ; [21 12],[45.28873239 63.71126761] ; [13.71126761 19.28873239],0
a6,1,0.005209,7.805399,[81 28] ; [16 17],[74.45774648 34.54225352] ; [22.54225352 10.45774648],0
p4,1,0.00575,7.62701,[69 40] ; [11 20],[62.28571429 46.71428571] ; [17.71428571 13.28571429],0
p8,1,0.006749,7.338619,[64 43] ; [10 21],[57.37681159 49.62318841] ; [16.62318841 14.37681159],0
s1,1,0.008589,6.906269,[  2 107] ; [ 4 28],[  4.63829787 104.36170213] ; [ 1.36170213 30.63829787],0
r1,1,0.017972,5.598874,[92 16] ; [22 11],[87.31914894 20.68085106] ; [26.68085106  6.31914894],0
p7,1,0.025444,4.993411,[74 34] ; [15 17],[68.65714286 39.34285714] ; [20.34285714 11.65714286],0
v2,1,0.041332,4.162358,[75 31] ; [17 16],[70.15827338 35.84172662] ; [21.84172662 11.15827338],0
p2,1,0.056175,3.646862,[96 13] ; [23  8],[92.65 16.35] ; [26.35  4.65],0
p3,1,0.061056,3.508476,[61 48] ; [11 19],[56.46043165 52.53956835] ; [15.53956835 14.46043165],0
r2,1,0.07204,3.235919,[102   6] ; [28  5],[99.57446809  8.42553191] ; [30.42553191  2.57446809],0
a7,1,0.104845,2.63026,[79 30] ; [19 14],[75.22535211 33.77464789] ; [22.77464789 10.22535211],0
d4,1,0.117118,2.455442,[87 22] ; [22 11],[83.66901408 25.33098592] ; [25.33098592  7.66901408],0
p6,1,0.137715,2.203306,[38 70] ; [ 6 23],[34.68613139 73.31386861] ; [ 9.31386861 19.68613139],0
a5,1,0.154952,2.022814,[83 26] ; [21 12],[79.83098592 29.16901408] ; [24.16901408  8.83098592],0
d2,1,0.155298,2.019425,[55 54] ; [12 21],[51.42957746 57.57042254] ; [15.57042254 17.42957746],0
