Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,98.478017,[103 124] ; [498 122],[161.07083825  65.92916175] ; [439.92916175 180.07083825],1
d2,1,0.0,92.296131,[ 50 179] ; [364 253],[112.06382979 116.93617021] ; [301.93617021 315.06382979],1
d1,1,0.0,89.389763,[ 76 153] ; [429 192],[136.05294118  92.94705882] ; [368.94705882 252.05294118],1
a4,1,0.0,83.187966,[ 45 184] ; [339 280],[103.69811321 125.30188679] ; [280.30188679 338.69811321],1
d5,1,0.0,43.363187,[153  75] ; [537  81],[185.95744681  42.04255319] ; [504.04255319 113.95744681],1
u1,1,0.0,42.52883,[  9 220] ; [145 476],[ 41.48941176 187.51058824] ; [112.51058824 508.48941176],1
n4,1,0.0,32.379247,[142  86] ; [502 117],[173.3553719  54.6446281] ; [470.6446281 148.3553719],1
d4,1,0.0,31.358453,[161  67] ; [538  80],[188.38297872  39.61702128] ; [510.61702128 107.38297872],1
r1,1,0.0,30.521433,[162  66] ; [538  79],[188.87573964  39.12426036] ; [511.12426036 105.87573964],1
a6,1,0.0,29.139817,[125 104] ; [457 161],[157.35301063  71.64698937] ; [424.64698937 193.35301063],1
p3,1,1.5e-05,18.738682,[ 85 143] ; [333 283],[112.91943128 115.08056872] ; [305.08056872 310.91943128],1
p4,1,2.1e-05,18.095477,[106 120] ; [388 226],[132.90952381  93.09047619] ; [361.09047619 252.90952381],1
v2,1,2.7e-05,17.639371,[ 97 118] ; [368 229],[123.12192118  91.87807882] ; [341.87807882 255.12192118],1
s7,1,4.6e-05,16.588393,[ 82 137] ; [317 275],[107.74475956 111.25524044] ; [291.25524044 300.74475956],1
s8,1,5.3e-05,16.351555,[ 75 154] ; [297 318],[100.93364929 128.06635071] ; [271.06635071 343.93364929],1
d3,1,9.3e-05,15.270792,[134  93] ; [452 167],[157.23640662  69.76359338] ; [428.76359338 190.23640662],1
p10,1,0.000191,13.91722,[160  63] ; [511 102],[178.98684211  44.01315789] ; [492.01315789 120.98684211],1
r4,1,0.000239,13.499907,[207  22] ; [600  21],[217.41529412  11.58470588] ; [589.58470588  31.41529412],1
p9,1,0.00075,11.361721,[170  52] ; [530  84],[185.88516746  36.11483254] ; [514.11483254  99.88516746],1
s5,1,0.00105,10.737956,[ 55 163] ; [223 371],[ 74.63546798 143.36453202] ; [203.36453202 390.63546798],0
v1,1,0.001418,10.181708,[100 122] ; [348 257],[120.26118501 101.73881499] ; [327.73881499 277.26118501],0
n5,1,0.001582,9.980979,[148  78] ; [471 146],[165.94780546  60.05219454] ; [453.05219454 163.94780546],0
b3,1,0.002067,9.489403,[32 90] ; [160 223],[46.38415842 75.61584158] ; [145.61584158 237.38415842],0
b2,1,0.002067,9.489403,[32 90] ; [160 223],[46.38415842 75.61584158] ; [145.61584158 237.38415842],0
p8,1,0.005393,7.742818,[ 98 128] ; [329 278],[115.8487395 110.1512605] ; [311.1512605 295.8487395],0
