Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000133,14.600194,[23 15] ; [89 11],[30.84057971  7.15942029] ; [81.15942029 18.84057971],1
r4,1,0.000218,13.6667,[20 18] ; [84 17],[28.43165468  9.56834532] ; [75.56834532 25.43165468],1
v4,1,0.000348,12.79009,[25 11] ; [93  7],[31.23529412  4.76470588] ; [86.76470588 13.23529412],1
p10,1,0.001008,10.813009,[16 21] ; [72 26],[24.11851852 12.88148148] ; [63.88148148 34.11851852],0
p9,1,0.001125,10.610035,[18 19] ; [76 22],[25.76296296 11.23703704] ; [68.23703704 29.76296296],0
p2,1,0.001264,10.393762,[18 20] ; [76 24],[25.88405797 12.11594203] ; [68.11594203 31.88405797],0
p11,1,0.006446,7.421109,[19 19] ; [75 26],[25.69784173 12.30215827] ; [68.30215827 32.69784173],0
s6,1,0.008893,6.844212,[13 25] ; [58 40],[19.83823529 18.16176471] ; [51.16176471 46.83823529],0
p3,1,0.021977,5.247632,[ 7 31] ; [39 61],[12.66666667 25.33333333] ; [33.33333333 66.66666667],0
s5,1,0.032991,4.546256,[ 2 36] ; [20 79],[ 6.10218978 31.89781022] ; [15.89781022 83.10218978],0
b5,1,0.035611,4.415618,[15 23] ; [60 41],[20.50359712 17.49640288] ; [54.49640288 46.50359712],0
s2,1,0.039305,4.247629,[ 7 31] ; [36 62],[12.01470588 25.98529412] ; [30.98529412 67.01470588],0
s3,1,0.042502,4.115088,[13 25] ; [52 45],[18.2962963 19.7037037] ; [46.7037037 50.2962963],0
n5,1,0.066128,3.376602,[23 15] ; [77 24],[27.3381295 10.6618705] ; [72.6618705 28.3381295],0
p1,1,0.068286,3.323759,[ 6 32] ; [ 6 94],[ 3.30434783 34.69565217] ; [ 8.69565217 91.30434783],0
n4,1,0.079814,3.068684,[21 17] ; [71 29],[25.33333333 12.66666667] ; [66.66666667 33.33333333],0
b3,1,0.081963,3.025532,[ 7 15] ; [ 9 52],[ 4.24096386 17.75903614] ; [11.75903614 49.24096386],0
b2,1,0.081963,3.025532,[ 7 15] ; [ 9 52],[ 4.24096386 17.75903614] ; [11.75903614 49.24096386],0
b1,1,0.098028,2.737334,[19 19] ; [35 66],[14.76258993 23.23741007] ; [39.23741007 61.76258993],0
p4,1,0.116249,2.467139,[11 27] ; [44 57],[15.03597122 22.96402878] ; [39.96402878 61.03597122],0
a7,1,0.120978,2.404608,[17 21] ; [60 41],[21.05035971 16.94964029] ; [55.94964029 45.05035971],0
r1,1,0.144912,2.125005,[19 19] ; [63 36],[22.74452555 15.25547445] ; [59.25547445 39.74452555],0
r2,1,0.149904,2.073227,[29  8] ; [89 12],[31.63768116  5.36231884] ; [86.36231884 14.63768116],0
d5,1,0.150477,2.067413,[14 24] ; [51 50],[17.76978417 20.23021583] ; [47.23021583 53.76978417],0
a4,1,0.15853,1.988189,[11 27] ; [18 82],[ 7.98550725 30.01449275] ; [21.01449275 78.98550725],0
n3,1,0.165891,1.919686,[11  6] ; [24  5],[12.93478261  4.06521739] ; [22.06521739  6.93478261],0
s8,1,0.170091,1.882139,[ 8 30] ; [33 67],[11.28985507 26.71014493] ; [29.71014493 70.28985507],0
s4,1,0.17026,1.88065,[ 5 33] ; [24 77],[ 7.92805755 30.07194245] ; [21.07194245 79.92805755],0
d2,1,0.182819,1.77456,[12 26] ; [21 80],[ 9.02158273 28.97841727] ; [23.97841727 77.02158273],0
s7,1,0.203508,1.617022,[ 8 28] ; [32 63],[10.99236641 25.00763359] ; [29.00763359 65.99236641],0
u3,1,0.204717,1.6084,[10  8] ; [22 35],[ 7.68 10.32] ; [24.32 32.68],0
v1,1,0.22736,1.457302,[12 25] ; [43 55],[15.07407407 21.92592593] ; [39.92592593 58.07407407],0
b4,1,0.246153,1.345005,[15 23] ; [51 50],[18.04316547 19.95683453] ; [47.95683453 53.04316547],0
d3,1,0.260128,1.268075,[ 7 31] ; [28 73],[ 9.56834532 28.43165468] ; [25.43165468 75.56834532],0
a3,1,0.294984,1.096735,[20 17] ; [44 56],[17.28467153 19.71532847] ; [46.71532847 53.28467153],0
n2,1,0.3017,1.066667,[12  6] ; [24  6],[13.5  4.5] ; [22.5  7.5],0
v2,1,0.30719,1.042719,[ 9 25] ; [35 62],[11.41984733 22.58015267] ; [32.58015267 64.41984733],0
s1,1,0.368323,0.809313,[ 4 34] ; [ 6 93],[ 2.77372263 35.22627737] ; [ 7.22627737 91.77372263],0
p7,1,0.461053,0.543338,[15 23] ; [46 53],[16.91970803 21.08029197] ; [44.08029197 54.91970803],0
a2,1,0.483993,0.489853,[ 4 34] ; [ 7 94],[ 3.00719424 34.99280576] ; [ 7.99280576 93.00719424],0
n1,1,0.48545,0.486595,[8 9] ; [11 19],[ 6.87234043 10.12765957] ; [12.12765957 17.87234043],0
