Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6e-06,20.466307,[ 9 59] ; [50 58],[22.79545455 45.20454545] ; [36.20454545 71.79545455],1
p8,1,4.2e-05,16.758494,[17 51] ; [61 47],[30.13636364 37.86363636] ; [47.86363636 60.13636364],1
v4,1,0.010048,6.626402,[59 10] ; [103   4],[63.51136364  5.48863636] ; [98.48863636  8.51136364],0
p4,1,0.013076,6.15877,[31 38] ; [69 39],[38.98305085 30.01694915] ; [61.01694915 46.98305085],0
a6,1,0.013935,6.04637,[35 34] ; [74 33],[42.73295455 26.26704545] ; [66.26704545 40.73295455],0
a5,1,0.023602,5.123652,[54 15] ; [67 41],[47.16949153 21.83050847] ; [73.83050847 34.16949153],0
p2,1,0.038225,4.294976,[50 19] ; [92 16],[55.3559322 13.6440678] ; [86.6440678 21.3559322],0
p3,1,0.046718,3.95551,[23 45] ; [53 55],[29.36363636 38.63636364] ; [46.63636364 61.36363636],0
a2,1,0.070806,3.264233,[10 59] ; [28 80],[14.81355932 54.18644068] ; [23.18644068 84.81355932],0
b4,1,0.074197,3.187633,[47 22] ; [59 49],[41.3220339 27.6779661] ; [64.6779661 43.3220339],0
n1,1,0.081723,3.030303,[ 8 14] ; [ 3 19],[ 5.5 16.5] ; [ 5.5 16.5],0
r1,1,0.083029,3.004585,[47 21] ; [87 21],[51.77272727 16.22727273] ; [82.22727273 25.77272727],0
p11,1,0.091565,2.84664,[45 24] ; [83 25],[49.89830508 19.10169492] ; [78.10169492 29.89830508],0
n6,1,0.093912,2.805998,[50 18] ; [89 17],[54.32183908 13.67816092] ; [84.67816092 21.32183908],0
n5,1,0.114839,2.486328,[43 26] ; [78 28],[47.70857143 21.29142857] ; [73.29142857 32.70857143],0
p10,1,0.116104,2.469099,[50 19] ; [89 19],[54.18644068 14.81355932] ; [84.81355932 23.18644068],0
a8,1,0.130613,2.285199,[ 6 59] ; [18 84],[ 9.34131737 55.65868263] ; [14.65868263 87.34131737],0
s1,1,0.138777,2.191466,[ 7 60] ; [  5 103],[ 4.59428571 62.40571429] ; [  7.40571429 100.59428571],0
