Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,38.609626,[36 14] ; [ 66 184],[17. 33.] ; [ 85. 165.],1
p8,1,6e-06,20.638042,[44  7] ; [130 121],[29.38410596 21.61589404] ; [144.61589404 106.38410596],1
p1,1,6e-06,20.345777,[16 35] ; [ 22 234],[ 6.31270358 44.68729642] ; [ 31.68729642 224.31270358],1
p4,1,2.3e-05,17.963815,[44  5] ; [147 107],[30.88778878 18.11221122] ; [160.11221122  93.88778878],1
p6,1,4.6e-05,16.585925,[32 18] ; [ 84 168],[19.20529801 30.79470199] ; [ 96.79470199 155.20529801],1
p12,1,9.2e-05,15.286776,[15 36] ; [ 24 231],[ 6.5 44.5] ; [ 32.5 222.5],1
p3,1,0.0004,12.533157,[39 11] ; [130 126],[27.61437908 22.38562092] ; [141.38562092 114.61437908],1
s7,1,0.001932,9.61334,[36 11] ; [126 116],[26.34602076 20.65397924] ; [135.65397924 106.34602076],0
b5,1,0.005213,7.804173,[21 30] ; [160  97],[29.97077922 21.02922078] ; [151.02922078 105.97077922],0
p7,1,0.013474,6.105834,[41  9] ; [160  90],[33.5 16.5] ; [167.5  82.5],0
a6,1,0.024121,5.085889,[27 23] ; [180  76],[33.82352941 16.17647059] ; [173.17647059  82.82352941],0
s6,1,0.024159,5.08315,[40 10] ; [160  92],[33.11258278 16.88741722] ; [166.88741722  85.11258278],0
a2,1,0.032788,4.556805,[ 7 44] ; [ 72 185],[13.08116883 37.91883117] ; [ 65.91883117 191.08116883],0
s8,1,0.041391,4.159929,[32 17] ; [126 129],[25.46710526 23.53289474] ; [132.53289474 122.46710526],0
n6,1,0.047616,3.923505,[48  2] ; [219  36],[43.7704918  6.2295082] ; [223.2295082  31.7704918],0
p10,1,0.069223,3.301344,[46  4] ; [207  47],[41.61184211  8.38815789] ; [211.38815789  42.61184211],0
v1,1,0.08249,3.015143,[40 11] ; [167  86],[34.72697368 16.27302632] ; [172.27302632  80.72697368],0
r2,1,0.109627,2.559591,[46  5] ; [243  11],[48.32459016  2.67540984] ; [240.67540984  13.32459016],0
n5,1,0.136893,2.21254,[46  5] ; [209  47],[42.36156352  8.63843648] ; [212.63843648  43.36156352],0
s2,1,0.139554,2.182869,[31 19] ; [129 126],[26.2295082 23.7704918] ; [133.7704918 121.2295082],0
p11,1,0.142009,2.156058,[45  6] ; [204  53],[41.23051948  9.76948052] ; [207.76948052  49.23051948],0
n4,1,0.150042,2.071819,[47  4] ; [217  40],[43.71428571  7.28571429] ; [220.28571429  36.71428571],0
a1,1,0.201239,1.633361,[ 6 45] ; [ 17 240],[ 3.80844156 47.19155844] ; [ 19.19155844 237.80844156],0
p9,1,0.22064,1.500207,[46  5] ; [211  42],[43.11513158  7.88486842] ; [213.88486842  39.11513158],0
s3,1,0.232715,1.424187,[31 18] ; [135 115],[27.20401338 21.79598662] ; [138.79598662 111.20401338],0
n3,1,0.233534,1.419207,[5 4] ; [36 12],[6.47368421 2.52631579] ; [34.52631579 13.47368421],0
u2,1,0.234766,1.41175,[9 3] ; [38 29],[7.13924051 4.86075949] ; [39.86075949 27.13924051],0
b1,1,0.252032,1.312002,[23 28] ; [ 94 163],[19.37337662 31.62662338] ; [ 97.62662338 159.37337662],0
s1,1,0.257713,1.281003,[ 3 48] ; [  7 245],[ 1.68316832 49.31683168] ; [  8.31683168 243.68316832],0
v4,1,0.29877,1.079675,[49  1] ; [242  14],[47.54901961  2.45098039] ; [243.45098039  12.54901961],0
r4,1,0.309051,1.034729,[48  3] ; [230  27],[46.03246753  4.96753247] ; [231.96753247  25.03246753],0
u1,1,0.335811,0.926358,[ 7 44] ; [ 50 207],[ 9.43831169 41.56168831] ; [ 47.56168831 209.43831169],0
v2,1,0.336051,0.925437,[38 13] ; [202  49],[40.52980132 10.47019868] ; [199.47019868  51.52980132],0
b2,1,0.358846,0.841926,[19 20] ; [65 95],[16.46231156 22.53768844] ; [67.53768844 92.46231156],0
b3,1,0.358846,0.841926,[19 20] ; [65 95],[16.46231156 22.53768844] ; [67.53768844 92.46231156],0
n2,1,0.362151,0.83042,[8 1] ; [36 12],[6.94736842 2.05263158] ; [37.05263158 10.94736842],0
d3,1,0.366905,0.814119,[32 18] ; [181  76],[34.69055375 15.30944625] ; [178.30944625  78.69055375],0
d2,1,0.369103,0.806681,[23 27] ; [135 120],[25.90163934 24.09836066] ; [132.09836066 122.90163934],0
u3,1,0.460957,0.54357,[8 4] ; [37 30],[6.83544304 5.16455696] ; [38.16455696 28.83544304],0
a5,1,0.486314,0.48467,[41 10] ; [195  62],[39.07792208 11.92207792] ; [196.92207792  60.07792208],0
r1,1,0.50297,0.448663,[44  7] ; [211  45],[42.36156352  8.63843648] ; [212.63843648  43.36156352],0
b4,1,0.503169,0.448246,[29 22] ; [159  98],[31.12987013 19.87012987] ; [156.87012987 100.12987013],0
u4,1,0.515143,0.423607,[ 2 49] ; [  6 251],[ 1.32467532 49.67532468] ; [  6.67532468 250.32467532],0
a7,1,0.530096,0.394208,[35 16] ; [186  69],[36.83333333 14.16666667] ; [184.16666667  70.83333333],0
a8,1,0.658409,0.195462,[ 6 41] ; [ 35 194],[ 6.98188406 40.01811594] ; [ 34.01811594 194.98188406],0
r3,1,0.694199,0.154577,[47  3] ; [244  12],[47.54901961  2.45098039] ; [243.45098039  12.54901961],0
p2,1,0.695833,0.152843,[43  8] ; [210  46],[42.02931596  8.97068404] ; [210.97068404  45.02931596],0
a3,1,0.724857,0.123887,[39 12] ; [189  66],[38. 13.] ; [190.  65.],0
d5,1,0.738372,0.111562,[42  8] ; [210  46],[41.17647059  8.82352941] ; [210.82352941  45.17647059],0
a4,1,0.74042,0.109757,[25 26] ; [119 137],[23.9218241 27.0781759] ; [120.0781759 135.9218241],0
d1,1,0.843114,0.039169,[31 20] ; [160  97],[31.62662338 19.37337662] ; [159.37337662  97.62662338],0
d4,1,0.881174,0.022345,[42  8] ; [212  43],[41.63934426  8.36065574] ; [212.36065574  42.63934426],0
n1,1,0.976562,0.000863,[3 5] ; [17 29],[2.96296296 5.03703704] ; [17.03703704 28.96296296],0
