Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000529,12.009804,[ 4 12] ; [26  8],[9.6 6.4] ; [20.4 13.6],1
p8,1,0.011378,6.405229,[ 5 10] ; [ 2 32],[ 2.14285714 12.85714286] ; [ 4.85714286 29.14285714],0
a5,1,0.040968,4.177323,[ 4 12] ; [19 15],[7.36 8.64] ; [15.64 18.36],0
p11,1,0.070633,3.268239,[10  6] ; [12 22],[7.04 8.96] ; [14.96 19.04],0
n1,1,0.097788,2.741259,[1 5] ; [10  8],[2.75 3.25] ; [8.25 9.75],0
b1,1,0.1083,2.578858,[ 6 10] ; [21 13],[8.64 7.36] ; [18.36 15.64],0
p2,1,0.145544,2.118347,[7 9] ; [ 8 26],[ 4.8 11.2] ; [10.2 23.8],0
r3,1,0.181082,1.788724,[11  5] ; [16 17],[8.81632653 7.18367347] ; [18.18367347 14.81632653],0
a7,1,0.225253,1.470588,[10  6] ; [15 19],[8. 8.] ; [17. 17.],0
b4,1,0.266301,1.235703,[12  4] ; [20 14],[10.24  5.76] ; [21.76 12.24],0
s8,1,0.278625,1.173783,[ 1 15] ; [ 6 28],[ 2.24 13.76] ; [ 4.76 29.24],0
s4,1,0.313659,1.015207,[ 3 13] ; [ 3 31],[ 1.92 14.08] ; [ 4.08 29.92],0
d5,1,0.322102,0.980392,[8 8] ; [22 12],[9.6 6.4] ; [20.4 13.6],0
b2,1,0.33602,0.925556,[3 6] ; [13 12],[4.23529412 4.76470588] ; [11.76470588 13.23529412],0
b3,1,0.33602,0.925556,[3 6] ; [13 12],[4.23529412 4.76470588] ; [11.76470588 13.23529412],0
p3,1,0.390724,0.736687,[ 1 15] ; [ 5 29],[ 1.92 14.08] ; [ 4.08 29.92],0
d3,1,0.433517,0.613383,[7 9] ; [11 23],[ 5.76 10.24] ; [12.24 21.76],0
p6,1,0.440108,0.596002,[ 2 14] ; [ 2 31],[ 1.30612245 14.69387755] ; [ 2.69387755 30.30612245],0
a4,1,0.466348,0.530615,[ 6 10] ; [ 9 24],[ 4.89795918 11.10204082] ; [10.10204082 22.89795918],0
d4,1,0.466672,0.529844,[12  4] ; [22 12],[10.88  5.12] ; [23.12 10.88],0
n6,1,0.468475,0.525571,[ 6 10] ; [16 17],[7.18367347 8.81632653] ; [14.81632653 18.18367347],0
n2,1,0.477968,0.503497,[2 4] ; [9 9],[2.75 3.25] ; [8.25 9.75],0
v3,1,0.487416,0.482225,[ 2 14] ; [ 7 27],[ 2.88 13.12] ; [ 6.12 27.88],0
s5,1,0.53405,0.386679,[ 3 13] ; [ 4 29],[ 2.28571429 13.71428571] ; [ 4.71428571 28.28571429],0
n3,1,0.537892,0.379461,[3 2] ; [ 8 10],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
r4,1,0.550986,0.355553,[ 3 13] ; [ 9 25],[ 3.84 12.16] ; [ 8.16 25.84],0
s6,1,0.578669,0.308392,[ 4 12] ; [ 6 27],[ 3.26530612 12.73469388] ; [ 6.73469388 26.26530612],0
a3,1,0.618743,0.247638,[9 7] ; [21 12],[9.79591837 6.20408163] ; [20.20408163 12.79591837],0
u2,1,0.639207,0.21978,[1 6] ; [ 3 10],[1.4 5.6] ; [ 2.6 10.4],0
p9,1,0.678845,0.171429,[ 6 10] ; [14 18],[6.66666667 9.33333333] ; [13.33333333 18.66666667],0
s1,1,0.686047,0.163399,[ 2 14] ; [ 3 31],[ 1.6 14.4] ; [ 3.4 30.6],0
a2,1,0.686047,0.163399,[ 2 14] ; [ 3 31],[ 1.6 14.4] ; [ 3.4 30.6],0
s3,1,0.72435,0.124363,[ 5 11] ; [12 21],[ 5.55102041 10.44897959] ; [11.44897959 21.55102041],0
r1,1,0.804493,0.061275,[ 6 10] ; [14 20],[6.4 9.6] ; [13.6 20.4],0
p1,1,0.833907,0.043971,[ 2 14] ; [ 5 29],[ 2.24 13.76] ; [ 4.76 29.24],0
b5,1,0.863445,0.029581,[7 9] ; [14 20],[6.72 9.28] ; [14.28 19.72],0
s2,1,0.879514,0.022978,[ 3 13] ; [ 7 27],[ 3.2 12.8] ; [ 6.8 27.2],0
s7,1,0.90278,0.014921,[ 4 11] ; [ 8 24],[ 3.82978723 11.17021277] ; [ 8.17021277 23.82978723],0
r2,1,0.9051,0.014214,[9 7] ; [18 13],[9.19148936 6.80851064] ; [17.80851064 13.19148936],0
d2,1,0.910432,0.012655,[7 9] ; [15 18],[7.18367347 8.81632653] ; [14.81632653 18.18367347],0
p7,1,0.924558,0.008967,[ 3 13] ; [ 6 28],[ 2.88 13.12] ; [ 6.12 27.88],0
p10,1,0.938323,0.005987,[ 6 10] ; [12 21],[ 5.87755102 10.12244898] ; [12.12244898 20.87755102],0
u3,1,0.94766,0.004309,[1 6] ; [ 2 11],[1.05 5.95] ; [ 1.95 11.05],0
v2,1,0.953884,0.003344,[ 4 12] ; [ 8 25],[ 3.91836735 12.08163265] ; [ 8.08163265 24.91836735],0
v1,1,0.953884,0.003344,[ 4 12] ; [ 8 25],[ 3.91836735 12.08163265] ; [ 8.08163265 24.91836735],0
u1,1,0.959275,0.002607,[ 1 15] ; [ 2 32],[ 0.96 15.04] ; [ 2.04 31.96],0
d1,1,0.960148,0.002497,[ 6 10] ; [13 21],[6.08 9.92] ; [12.92 21.08],0
a6,1,0.98051,0.000597,[7 9] ; [15 19],[7.04 8.96] ; [14.96 19.04],0
