Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,65.47788,[114   6] ; [15 26],[96.14906832 23.85093168] ; [32.85093168  8.14906832],1
p11,1,0.0,33.971597,[104  17] ; [18 26],[89.46666667 31.53333333] ; [32.53333333 11.46666667],1
r4,1,3.9e-05,16.929063,[91 30] ; [18 26],[79.93333333 41.06666667] ; [29.06666667 14.93333333],1
p2,1,0.000376,12.648084,[99 22] ; [24 20],[90.2 30.8] ; [32.8 11.2],1
n5,1,0.000606,11.756257,[96 25] ; [23 21],[87.26666667 33.73333333] ; [31.73333333 12.26666667],1
p8,1,0.001752,9.792679,[61 59] ; [10 33],[52.26993865 67.73006135] ; [18.73006135 24.26993865],0
s6,1,0.002129,9.435205,[71 45] ; [15 29],[62.35 53.65] ; [23.65 20.35],0
v1,1,0.004758,7.969377,[56 63] ; [ 9 32],[48.34375 70.65625] ; [16.65625 24.34375],0
a7,1,0.005527,7.698463,[78 42] ; [18 26],[70.24390244 49.75609756] ; [25.75609756 18.24390244],0
r2,1,0.006574,7.385939,[103  17] ; [28 14],[97.03703704 22.96296296] ; [33.96296296  8.03703704],0
r3,1,0.006942,7.287867,[111   9] ; [34 10],[106.09756098  13.90243902] ; [38.90243902  5.09756098],0
a5,1,0.007581,7.129802,[75 46] ; [17 27],[67.46666667 53.53333333] ; [24.53333333 19.46666667],0
p7,1,0.021183,5.311659,[68 52] ; [16 28],[61.46341463 58.53658537] ; [22.53658537 21.46341463],0
n4,1,0.022254,5.225853,[91 30] ; [25 19],[85.06666667 35.93333333] ; [30.93333333 13.06666667],0
u2,1,0.024168,5.082565,[25 22] ; [ 5 16],[20.73529412 26.26470588] ; [ 9.26470588 11.73529412],0
d5,1,0.024204,5.079939,[90 30] ; [25 19],[84.14634146 35.85365854] ; [30.85365854 13.14634146],0
s8,1,0.032898,4.551084,[43 78] ; [ 8 36],[37.4 83.6] ; [13.6 30.4],0
s2,1,0.079413,3.076865,[57 64] ; [14 30],[52.06666667 68.93333333] ; [18.93333333 25.06666667],0
p1,1,0.0842,2.981906,[ 13 108] ; [ 1 43],[ 10.26666667 110.73333333] ; [ 3.73333333 40.26666667],0
p4,1,0.090821,2.859756,[66 55] ; [17 26],[61.23780488 59.76219512] ; [21.76219512 21.23780488],0
p6,1,0.100776,2.693223,[43 77] ; [ 9 32],[38.75776398 81.24223602] ; [13.24223602 27.75776398],0
s7,1,0.103282,2.654115,[46 68] ; [11 31],[41.65384615 72.34615385] ; [15.34615385 26.65384615],0
b1,1,0.104464,2.63604,[41 80] ; [21 23],[45.46666667 75.53333333] ; [16.53333333 27.46666667],0
v4,1,0.104657,2.633106,[108  13] ; [35  9],[104.86666667  16.13333333] ; [38.13333333  5.86666667],0
u3,1,0.110334,2.549433,[20 27] ; [ 5 17],[17.02898551 29.97101449] ; [ 7.97101449 14.02898551],0
p3,1,0.113376,2.506514,[58 63] ; [15 29],[53.53333333 67.46666667] ; [19.46666667 24.53333333],0
s5,1,0.119203,2.427768,[33 81] ; [ 7 35],[29.23076923 84.76923077] ; [10.76923077 31.23076923],0
n1,1,0.122001,2.391441,[14 22] ; [ 3 14],[11.54716981 24.45283019] ; [ 5.45283019 11.54716981],0
v3,1,0.126483,2.335143,[42 77] ; [10 34],[37.96319018 81.03680982] ; [14.03680982 29.96319018],0
b3,1,0.134454,2.240309,[28 40] ; [ 7 21],[24.79166667 43.20833333] ; [10.20833333 17.79166667],0
b2,1,0.134454,2.240309,[28 40] ; [ 7 21],[24.79166667 43.20833333] ; [10.20833333 17.79166667],0
s3,1,0.152881,2.043271,[57 63] ; [15 28],[53.00613497 66.99386503] ; [18.99386503 24.00613497],0
a6,1,0.187314,1.738616,[69 52] ; [20 24],[65.26666667 55.73333333] ; [23.73333333 20.26666667],0
b4,1,0.246235,1.344538,[78 43] ; [24 20],[74.8 46.2] ; [27.2 16.8],0
a3,1,0.253189,1.305619,[74 47] ; [22 21],[70.82926829 50.17073171] ; [25.17073171 17.82926829],0
a4,1,0.271557,1.208867,[42 79] ; [11 32],[39.10365854 81.89634146] ; [13.89634146 29.10365854],0
p12,1,0.273636,1.198427,[  8 112] ; [ 1 43],[  6.58536585 113.41463415] ; [ 2.41463415 41.58536585],0
b5,1,0.315393,1.007955,[75 46] ; [31 13],[77.73333333 43.26666667] ; [28.26666667 15.73333333],0
u1,1,0.325244,0.967742,[  6 115] ; [ 4 40],[  7.33333333 113.66666667] ; [ 2.66666667 41.33333333],0
d4,1,0.335991,0.925667,[89 32] ; [29 15],[86.53333333 34.46666667] ; [31.46666667 12.53333333],0
d2,1,0.42351,0.640554,[42 78] ; [18 25],[44.17177914 75.82822086] ; [15.82822086 27.17177914],0
a2,1,0.451115,0.567848,[ 13 108] ; [ 3 41],[ 11.73333333 109.26666667] ; [ 4.26666667 39.73333333],0
a8,1,0.534513,0.385804,[ 12 103] ; [ 3 39],[ 10.98726115 104.01273885] ; [ 4.01273885 37.98726115],0
d1,1,0.552733,0.352444,[53 68] ; [17 27],[51.33333333 69.66666667] ; [18.66666667 25.33333333],0
v2,1,0.675308,0.175455,[51 67] ; [17 26],[49.83850932 68.16149068] ; [18.16149068 24.83850932],0
s1,1,0.732105,0.117188,[  4 117] ; [ 1 43],[  3.66666667 117.33333333] ; [ 1.33333333 42.66666667],0
