Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,34.081618,[88 67] ; [22 85],[65.07633588 89.92366412] ; [44.92366412 62.07633588],1
v1,1,2e-06,22.313165,[120  37] ; [51 55],[102.07984791  54.92015209] ; [68.92015209 37.07984791],1
b4,1,0.015757,5.829835,[101  58] ; [52 55],[91.45488722 67.54511278] ; [61.54511278 45.45488722],0
a7,1,0.022066,5.240609,[126  32] ; [72 35],[118.05283019  39.94716981] ; [79.94716981 27.05283019],0
p12,1,0.025025,5.022165,[ 27 131] ; [ 8 98],[ 20.9469697 137.0530303] ; [14.0530303 91.9469697],0
s4,1,0.036103,4.392219,[ 25 133] ; [27 75],[ 31.6 126.4] ; [20.4 81.6],0
u1,1,0.045255,4.009098,[ 47 112] ; [20 87],[ 40.04887218 118.95112782] ; [26.95112782 80.04887218],0
a6,1,0.051158,3.803084,[112  45] ; [64 43],[104.66666667  52.33333333] ; [71.33333333 35.66666667],0
b5,1,0.095041,2.786845,[101  58] ; [57 50],[94.44360902 64.55639098] ; [63.55639098 43.44360902],0
n3,1,0.101574,2.680653,[19  4] ; [14  9],[16.5  6.5] ; [16.5  6.5],0
d2,1,0.109415,2.562653,[94 64] ; [53 54],[87.64528302 70.35471698] ; [59.35471698 47.64528302],0
p3,1,0.146059,2.112934,[111  47] ; [66 41],[105.53207547  52.46792453] ; [71.46792453 35.53207547],0
s8,1,0.165865,1.919925,[95 62] ; [55 51],[89.54372624 67.45627376] ; [60.45627376 45.54372624],0
a5,1,0.170025,1.882727,[130  29] ; [80 27],[125.52631579  33.47368421] ; [84.47368421 22.52631579],0
b1,1,0.174932,1.840161,[61 98] ; [50 57],[66.34962406 92.65037594] ; [44.65037594 62.34962406],0
a3,1,0.207436,1.589233,[124  34] ; [76 30],[119.6969697  38.3030303] ; [80.3030303 25.6969697],0
a2,1,0.229393,1.444622,[ 51 108] ; [27 80],[ 46.62406015 112.37593985] ; [31.37593985 75.62406015],0
u2,1,0.244879,1.352286,[23 12] ; [16 15],[20.68181818 14.31818182] ; [18.31818182 12.68181818],0
s5,1,0.252071,1.311789,[65 89] ; [50 51],[69.45098039 84.54901961] ; [45.54901961 55.45098039],0
s3,1,0.265012,1.242383,[93 64] ; [70 36],[97.30418251 59.69581749] ; [65.69581749 40.30418251],0
p10,1,0.275247,1.19041,[140  18] ; [89 17],[137.0530303  20.9469697] ; [91.9469697 14.0530303],0
p2,1,0.300563,1.071696,[141  18] ; [99  8],[143.45864662  15.54135338] ; [96.54135338 10.45864662],0
p9,1,0.3137,1.015032,[146  12] ; [95 12],[143.69056604  14.30943396] ; [97.30943396  9.69056604],0
a8,1,0.325196,0.967936,[ 24 117] ; [12 85],[ 21.32773109 119.67226891] ; [14.67226891 82.32773109],0
a1,1,0.347321,0.883223,[ 12 147] ; [  5 102],[ 10.16165414 148.83834586] ; [  6.83834586 100.16165414],0
u4,1,0.37253,0.795209,[  6 153] ; [  2 105],[  4.78195489 154.21804511] ; [  3.21804511 103.78195489],0
s6,1,0.423723,0.639966,[120  38] ; [81 20],[122.61776062  35.38223938] ; [78.38223938 22.61776062],0
n2,1,0.450475,0.569457,[16  7] ; [19  5],[17.12765957  5.87234043] ; [17.87234043  6.12765957],0
s7,1,0.47399,0.512659,[99 52] ; [63 40],[96.30708661 54.69291339] ; [65.69291339 37.30708661],0
n1,1,0.47415,0.512289,[11 12] ; [ 9 15],[ 9.78723404 13.21276596] ; [10.21276596 13.78723404],0
p4,1,0.475006,0.510307,[131  27] ; [85 22],[128.78490566  29.21509434] ; [87.21509434 19.78490566],0
s1,1,0.500513,0.453849,[  5 154] ; [  5 100],[  6.02272727 152.97727273] ; [  3.97727273 101.02272727],0
v4,1,0.518804,0.41627,[153   5] ; [105   2],[153.82641509   4.17358491] ; [104.17358491   2.82641509],0
