Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.001894,9.649812,[68 22] ; [1 5],[64.6875 25.3125] ; [4.3125 1.6875],0
n4,1,0.004474,8.080808,[65 25] ; [1 5],[61.875 28.125] ; [4.125 1.875],0
v4,1,0.016618,5.736296,[78 12] ; [3 3],[75.9375 14.0625] ; [5.0625 0.9375],0
r3,1,0.016618,5.736296,[78 12] ; [3 3],[75.9375 14.0625] ; [5.0625 0.9375],0
n6,1,0.027269,4.87368,[66 22] ; [2 4],[63.65957447 24.34042553] ; [4.34042553 1.65957447],0
n5,1,0.098328,2.732448,[60 30] ; [2 4],[58.125 31.875] ; [3.875 2.125],0
s2,1,0.138638,2.193007,[43 47] ; [1 5],[41.25 48.75] ; [2.75 3.25],0
s6,1,0.229682,1.442827,[52 37] ; [2 4],[50.58947368 38.41052632] ; [3.41052632 2.58947368],0
p11,1,0.242537,1.365785,[52 38] ; [2 4],[50.625 39.375] ; [3.375 2.625],0
s7,1,0.274454,1.194351,[45 40] ; [1 3],[43.93258427 41.06741573] ; [2.06741573 1.93258427],0
s1,1,0.281528,1.159699,[ 5 84] ; [1 5],[ 5.62105263 83.37894737] ; [0.37894737 5.62105263],0
b1,1,0.342362,0.901565,[42 48] ; [4 2],[43.125 46.875] ; [2.875 3.125],0
a6,1,0.353237,0.861796,[57 31] ; [5 1],[58.04255319 29.95744681] ; [3.95744681 2.04255319],0
p1,1,0.361665,0.832103,[ 6 84] ; [1 5],[ 6.5625 83.4375] ; [0.4375 5.5625],0
v3,1,0.369438,0.805556,[28 53] ; [1 5],[27. 54.] ; [2. 4.],0
s3,1,0.399075,0.711111,[46 44] ; [2 4],[45. 45.] ; [3. 3.],0
a5,1,0.436178,0.606316,[72 18] ; [4 2],[71.25 18.75] ; [4.75 1.25],0
n3,1,0.439022,0.598838,[22 17] ; [1 2],[21.35714286 17.64285714] ; [1.64285714 1.35714286],0
a4,1,0.45314,0.562786,[58 31] ; [3 3],[57.14736842 31.85263158] ; [3.85263158 2.14736842],0
v1,1,0.581452,0.303892,[34 54] ; [3 3],[34.63829787 53.36170213] ; [2.36170213 3.63829787],0
d2,1,0.6631,0.18978,[65 22] ; [4 2],[64.5483871 22.4516129] ; [4.4516129 1.5483871],0
b5,1,0.668929,0.182857,[52 38] ; [4 2],[52.5 37.5] ; [3.5 2.5],0
a3,1,0.706771,0.141523,[69 21] ; [5 1],[69.375 20.625] ; [4.625 1.375],0
a7,1,0.769478,0.085883,[65 25] ; [4 2],[64.6875 25.3125] ; [4.3125 1.6875],0
b3,1,0.818091,0.052901,[24 39] ; [2 4],[23.73913043 39.26086957] ; [2.26086957 3.73913043],0
b2,1,0.818091,0.052901,[24 39] ; [2 4],[23.73913043 39.26086957] ; [2.26086957 3.73913043],0
b4,1,0.827638,0.047407,[56 34] ; [4 2],[56.25 33.75] ; [3.75 2.25],0
v2,1,0.865476,0.028699,[45 39] ; [3 3],[44.8 39.2] ; [3.2 2.8],0
a2,1,1.0,0.0,[30 60] ; [2 4],[30. 60.] ; [2. 4.],0
