Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000122,14.75892,[8 4] ; [ 3 28],[3.06976744 8.93023256] ; [ 7.93023256 23.06976744],1
s6,1,0.000509,12.08104,[9 2] ; [ 7 24],[4.19047619 6.80952381] ; [11.80952381 19.19047619],1
s2,1,0.012549,6.231562,[7 5] ; [ 6 25],[3.62790698 8.37209302] ; [ 9.37209302 21.62790698],0
p2,1,0.01425,6.006865,[9 3] ; [10 20],[5.42857143 6.57142857] ; [13.57142857 16.42857143],0
p9,1,0.03575,4.40898,[9 2] ; [13 16],[6.05 4.95] ; [15.95 13.05],0
p10,1,0.051706,3.785243,[9 3] ; [13 18],[6.13953488 5.86046512] ; [15.86046512 15.13953488],0
p1,1,0.088773,2.896477,[3 9] ; [ 2 29],[ 1.39534884 10.60465116] ; [ 3.60465116 27.39534884],0
p11,1,0.099228,2.717906,[8 4] ; [12 19],[5.58139535 6.41860465] ; [14.41860465 16.58139535],0
n6,1,0.103237,2.654815,[10  2] ; [17 13],[7.71428571 4.28571429] ; [19.28571429 10.71428571],0
v4,1,0.118895,2.431823,[10  2] ; [18 13],[7.81395349 4.18604651] ; [20.18604651 10.81395349],0
r2,1,0.136399,2.218125,[11  1] ; [21  9],[9.14285714 2.85714286] ; [22.85714286  7.14285714],0
p8,1,0.148252,2.09014,[6 5] ; [ 9 21],[4.02439024 6.97560976] ; [10.97560976 19.02439024],0
p5,1,0.150857,2.063567,[4 8] ; [ 4 25],[2.34146341 9.65853659] ; [ 5.65853659 23.34146341],0
s3,1,0.190969,1.710129,[6 5] ; [10 21],[4.19047619 6.80952381] ; [11.80952381 19.19047619],0
p6,1,0.21354,1.547263,[4 8] ; [ 5 26],[2.51162791 9.48837209] ; [ 6.48837209 24.51162791],0
b5,1,0.281063,1.161945,[8 4] ; [15 16],[6.41860465 5.58139535] ; [16.58139535 14.41860465],0
