Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.5e-05,16.257182,[ 4 59] ; [7 8],[ 8.88461538 54.11538462] ; [ 2.11538462 12.88461538],1
s7,1,0.000636,11.666667,[ 8 48] ; [8 6],[12.8 43.2] ; [ 3.2 10.8],1
d3,1,0.001916,9.628366,[30 31] ; [14  1],[35.31578947 25.68421053] ; [8.68421053 6.31578947],0
s6,1,0.005706,7.640816,[18 45] ; [10  5],[22.61538462 40.38461538] ; [5.38461538 9.61538462],0
v1,1,0.005706,7.640816,[18 45] ; [10  5],[22.61538462 40.38461538] ; [5.38461538 9.61538462],0
s4,1,0.006973,7.28,[ 7 56] ; [6 9],[10.5 52.5] ; [ 2.5 12.5],0
d5,1,0.017397,5.655838,[38 24] ; [14  1],[41.87012987 20.12987013] ; [10.12987013  4.87012987],0
p10,1,0.025337,5.000689,[16 45] ; [8 6],[19.52 41.48] ; [4.48 9.52],0
p6,1,0.025677,4.977626,[ 7 54] ; [5 9],[ 9.76 51.24] ; [ 2.24 11.76],0
d1,1,0.033605,4.514671,[23 40] ; [10  5],[26.65384615 36.34615385] ; [6.34615385 8.65384615],0
u1,1,0.046541,3.961905,[ 3 60] ; [ 3 12],[ 4.84615385 58.15384615] ; [ 1.15384615 13.84615385],0
p2,1,0.052936,3.745946,[27 36] ; [10  4],[30.27272727 32.72727273] ; [6.72727273 7.27272727],0
p9,1,0.053138,3.739582,[22 39] ; [9 5],[25.21333333 35.78666667] ; [5.78666667 8.21333333],0
r2,1,0.133279,2.253892,[47 15] ; [14  1],[49.11688312 12.88311688] ; [11.88311688  3.11688312],0
s2,1,0.137711,2.203351,[17 46] ; [7 8],[19.38461538 43.61538462] ; [ 4.61538462 10.38461538],0
r3,1,0.142047,2.155645,[37 25] ; [12  3],[39.45454545 22.54545455] ; [9.54545455 5.45454545],0
p4,1,0.147759,2.095238,[15 48] ; [6 8],[17.18181818 45.81818182] ; [ 3.81818182 10.18181818],0
n2,1,0.180521,1.793331,[13 17] ; [5 2],[14.59459459 15.40540541] ; [3.40540541 3.59459459],0
r4,1,0.1847,1.759398,[30 33] ; [10  5],[32.30769231 30.69230769] ; [7.69230769 7.30769231],0
u3,1,0.191254,1.707933,[10 15] ; [3 1],[11.20689655 13.79310345] ; [1.79310345 2.20689655],0
v2,1,0.237427,1.395804,[18 41] ; [7 8],[19.93243243 39.06756757] ; [5.06756757 9.93243243],0
u2,1,0.315691,1.006714,[12 13] ; [3 1],[12.93103448 12.06896552] ; [2.06896552 1.93103448],0
a3,1,0.327351,0.959348,[37 25] ; [11  4],[38.64935065 23.35064935] ; [9.35064935 5.64935065],0
a7,1,0.348537,0.878778,[38 25] ; [11  4],[39.57692308 23.42307692] ; [9.42307692 5.57692308],0
s3,1,0.360872,0.834857,[25 37] ; [8 7],[26.57142857 35.42857143] ; [6.42857143 8.57142857],0
n3,1,0.393153,0.729167,[17 11] ; [3 4],[16. 12.] ; [4. 3.],0
a2,1,0.443544,0.587097,[14 49] ; [ 2 13],[12.92307692 50.07692308] ; [ 3.07692308 11.92307692],0
v4,1,0.447469,0.577055,[39 23] ; [11  4],[40.25974026 21.74025974] ; [9.74025974 5.25974026],0
p7,1,0.450232,0.570067,[20 42] ; [6 8],[21.21052632 40.78947368] ; [4.78947368 9.21052632],0
p3,1,0.45399,0.560672,[16 46] ; [5 9],[17.13157895 44.86842105] ; [ 3.86842105 10.13157895],0
a8,1,0.479989,0.498888,[ 5 56] ; [ 2 12],[ 5.69333333 55.30666667] ; [ 1.30666667 12.69333333],0
b1,1,0.500351,0.454193,[36 27] ; [10  5],[37.15384615 25.84615385] ; [8.84615385 6.15384615],0
b4,1,0.500351,0.454193,[36 27] ; [10  5],[37.15384615 25.84615385] ; [8.84615385 6.15384615],0
n1,1,0.512902,0.428143,[ 9 21] ; [3 4],[ 9.72972973 20.27027027] ; [2.27027027 4.72972973],0
b5,1,0.534841,0.385185,[28 35] ; [8 7],[29.07692308 33.92307692] ; [6.92307692 8.07692308],0
v3,1,0.554553,0.349223,[17 41] ; [ 3 11],[16.11111111 41.88888889] ; [ 3.88888889 10.11111111],0
d2,1,0.569212,0.324003,[28 34] ; [8 7],[28.98701299 33.01298701] ; [7.01298701 7.98701299],0
r1,1,0.572415,0.318659,[37 26] ; [10  5],[37.96153846 25.03846154] ; [9.03846154 5.96153846],0
p1,1,0.61012,0.26,[ 7 56] ; [ 1 14],[ 6.46153846 56.53846154] ; [ 1.53846154 13.46153846],0
a1,1,0.61012,0.26,[ 7 56] ; [ 1 14],[ 6.46153846 56.53846154] ; [ 1.53846154 13.46153846],0
n5,1,0.717935,0.13048,[28 34] ; [6 9],[27.37662338 34.62337662] ; [6.62337662 8.37662338],0
p8,1,0.802742,0.0624,[15 46] ; [ 3 11],[14.64 46.36] ; [ 3.36 10.64],0
a6,1,0.835048,0.043361,[39 23] ; [9 6],[38.64935065 23.35064935] ; [9.35064935 5.64935065],0
a4,1,0.840468,0.040519,[27 36] ; [6 9],[26.65384615 36.34615385] ; [6.34615385 8.65384615],0
b2,1,0.842324,0.03957,[12 24] ; [3 7],[11.73913043 24.26086957] ; [3.26086957 6.73913043],0
b3,1,0.842324,0.03957,[12 24] ; [3 7],[11.73913043 24.26086957] ; [3.26086957 6.73913043],0
n4,1,0.876412,0.024186,[28 35] ; [7 8],[28.26923077 34.73076923] ; [6.73076923 8.26923077],0
a5,1,0.964641,0.001965,[34 29] ; [8 7],[33.92307692 29.07692308] ; [8.07692308 6.92307692],0
