Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,134.6836,[ 56 170] ; [326 129],[126.77239354  99.22760646] ; [255.22760646 199.77239354],1
s2,1,0.0,124.410252,[ 46 180] ; [302 158],[114.64723032 111.35276968] ; [233.35276968 226.64723032],1
s7,1,0.0,83.097428,[ 51 165] ; [276 174],[106.05405405 109.94594595] ; [220.94594595 229.05405405],1
s8,1,0.0,74.865827,[ 51 177] ; [264 197],[104.23802612 123.76197388] ; [210.76197388 250.23802612],1
s5,1,0.0,57.164717,[ 31 192] ; [194 256],[ 74.55423477 148.44576523] ; [150.44576523 299.55423477],1
s4,1,0.0,25.614409,[ 13 215] ; [ 94 362],[ 35.66666667 192.33333333] ; [ 71.33333333 384.66666667],1
p9,1,1.7e-05,18.495505,[184  44] ; [422  37],[201.11790393  26.88209607] ; [404.88209607  54.11790393],1
p10,1,0.000176,14.067201,[180  47] ; [412  47],[195.89504373  31.10495627] ; [396.10495627  62.89504373],1
p4,1,0.000212,13.72005,[118 108] ; [308 153],[140.13973799  85.86026201] ; [285.86026201 175.13973799],1
n5,1,0.000261,13.329866,[156  70] ; [377  86],[174.83018868  51.16981132] ; [358.16981132 104.83018868],1
p12,1,0.000281,13.195343,[  8 217] ; [ 56 405],[ 20.99125364 204.00874636] ; [ 43.00874636 417.99125364],1
p6,1,0.000303,13.054801,[ 63 161] ; [193 262],[ 84.45360825 139.54639175] ; [171.54639175 283.45360825],1
u1,1,0.001376,10.237559,[ 24 204] ; [ 94 370],[ 38.87861272 189.12138728] ; [ 79.12138728 384.87861272],0
p5,1,0.003266,8.652326,[ 15 211] ; [ 66 394],[ 26.6851312 199.3148688] ; [ 54.3148688 405.6851312],0
a2,1,0.003716,8.41764,[ 37 191] ; [121 343],[ 52.05780347 175.94219653] ; [105.94219653 358.05780347],0
p3,1,0.013105,6.154838,[102 124] ; [255 207],[117.27034884 108.72965116] ; [239.72965116 222.27034884],0
a5,1,0.014557,5.96933,[155  73] ; [355 108],[168.27785818  59.72214182] ; [341.72214182 121.27785818],0
n6,1,0.019026,5.499119,[187  41] ; [409  53],[196.93913043  31.06086957] ; [399.06086957  62.93913043],0
v1,1,0.01934,5.470495,[111 113] ; [264 183],[125.18628912  98.81371088] ; [249.81371088 197.18628912],0
n4,1,0.021328,5.299755,[169  59] ; [379  85],[180.55491329  47.44508671] ; [367.44508671  96.55491329],0
r4,1,0.022187,5.231044,[205  23] ; [439  25],[212.1849711  15.8150289] ; [431.8150289  32.1849711],0
u4,1,0.028566,4.793603,[  1 227] ; [ 14 450],[  4.94219653 223.05780347] ; [ 10.05780347 453.94219653],0
d5,1,0.029473,4.739793,[172  56] ; [381  81],[182.73043478  45.26956522] ; [370.26956522  91.73043478],0
p8,1,0.036488,4.374152,[114 111] ; [269 186],[126.72794118  98.27205882] ; [256.27205882 198.72794118],0
p7,1,0.038503,4.282674,[139  86] ; [311 135],[150.89418778  74.10581222] ; [299.10581222 146.89418778],0
d1,1,0.041021,4.175146,[122 106] ; [286 178],[134.42774566  93.57225434] ; [273.57225434 190.42774566],0
d4,1,0.046284,3.971221,[177  50] ; [388  73],[186.41715116  40.58284884] ; [378.58284884  82.41715116],0
d3,1,0.071868,3.23984,[147  81] ; [329 133],[157.28695652  70.71304348] ; [318.71304348 143.28695652],0
s1,1,0.10579,2.616006,[  3 222] ; [ 16 441],[  6.26832845 218.73167155] ; [ 12.73167155 444.26832845],0
b5,1,0.10847,2.576371,[125 103] ; [284 180],[134.75722543  93.24277457] ; [274.24277457 189.75722543],0
a3,1,0.110573,2.546018,[154  74] ; [339 123],[162.90434783  65.09565217] ; [330.09565217 131.90434783],0
a1,1,0.115853,2.472505,[  7 221] ; [ 27 437],[ 11.20231214 216.79768786] ; [ 22.79768786 441.20231214],0
r1,1,0.125829,2.343225,[178  50] ; [383  79],[185.37391304  42.62608696] ; [375.62608696  86.37391304],0
u3,1,0.14495,2.124606,[40 34] ; [80 44],[44.84848485 29.15151515] ; [75.15151515 48.84848485],0
n1,1,0.17598,1.831246,[15 37] ; [35 52],[18.70503597 33.29496403] ; [31.29496403 55.70503597],0
d2,1,0.225758,1.467392,[ 98 128] ; [223 239],[105.44476744 120.55523256] ; [215.55523256 246.44476744],0
u2,1,0.228023,1.453153,[41 32] ; [81 44],[44.97979798 28.02020202] ; [77.02020202 47.97979798],0
b4,1,0.266256,1.235933,[127 101] ; [279 185],[133.76878613  94.23121387] ; [272.23121387 191.76878613],0
r2,1,0.284124,1.147256,[214  13] ; [441  18],[216.74198251  10.25801749] ; [438.25801749  20.74198251],0
v3,1,0.3155,1.00751,[ 83 136] ; [188 260],[ 88.97901049 130.02098951] ; [182.02098951 265.97901049],0
r3,1,0.321448,0.983045,[218   9] ; [452  12],[220.10130246   6.89869754] ; [449.89869754  14.10130246],0
n2,1,0.341992,0.902949,[39 14] ; [70 17],[41.26428571 11.73571429] ; [67.73571429 19.26428571],0
b1,1,0.371471,0.798739,[ 84 144] ; [155 309],[ 78.74566474 149.25433526] ; [160.25433526 303.74566474],0
a4,1,0.389087,0.741793,[ 94 134] ; [206 255],[ 99.2743106 128.7256894] ; [200.7256894 260.2743106],0
n3,1,0.393058,0.729462,[42 13] ; [60 26],[39.78723404 15.21276596] ; [62.21276596 23.78723404],0
a6,1,0.394079,0.726319,[154  74] ; [326 135],[158.83889695  69.16110305] ; [321.16110305 139.83889695],0
p1,1,0.408096,0.684341,[ 22 205] ; [ 36 424],[ 19.16448326 207.83551674] ; [ 38.83551674 421.16448326],0
a8,1,0.422052,0.644595,[ 25 185] ; [ 60 362],[ 28.24367089 181.75632911] ; [ 56.75632911 365.24367089],0
p2,1,0.436452,0.605593,[192  35] ; [400  61],[195.3255814  31.6744186] ; [396.6744186  64.3255814],0
a7,1,0.577957,0.30955,[161  66] ; [337 125],[164.07256894  62.92743106] ; [333.92743106 128.07256894],0
