Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.383638,[29 93] ; [94 86],[49.68874172 72.31125828] ; [ 73.31125828 106.68874172],1
d5,1,0.002798,8.934493,[58 65] ; [116  64],[70.63366337 52.36633663] ; [103.36633663  76.63366337],0
d2,1,0.005032,7.867812,[ 24 100] ; [ 15 164],[ 15.96039604 108.03960396] ; [ 23.03960396 155.96039604],0
p1,1,0.008315,6.964413,[ 18 106] ; [ 10 169],[ 11.45874587 112.54125413] ; [ 16.54125413 162.45874587],0
a3,1,0.008998,6.823187,[62 62] ; [117  63],[73.01315789 50.98684211] ; [105.98684211  74.01315789],0
a8,1,0.026096,4.949654,[  8 108] ; [ 27 146],[ 14.04844291 101.95155709] ; [ 20.95155709 152.04844291],0
b2,1,0.046934,3.947758,[18 51] ; [39 56],[23.98170732 45.01829268] ; [33.01829268 61.98170732],0
b3,1,0.046934,3.947758,[18 51] ; [39 56],[23.98170732 45.01829268] ; [33.01829268 61.98170732],0
u2,1,0.052695,3.753556,[31 31] ; [41 20],[36.29268293 25.70731707] ; [35.70731707 25.29268293],0
p2,1,0.055638,3.662866,[97 27] ; [155  24],[103.12871287  20.87128713] ; [148.87128713  30.12871287],0
s2,1,0.075927,3.149989,[48 74] ; [89 90],[55.5282392 66.4717608] ; [81.4717608 97.5282392],0
s5,1,0.108943,2.569492,[29 92] ; [ 57 118],[35.15540541 85.84459459] ; [ 50.84459459 124.15540541],0
a4,1,0.120168,2.415132,[26 98] ; [ 52 128],[31.81578947 92.18421053] ; [ 46.18421053 133.81578947],0
r1,1,0.152459,2.047472,[83 40] ; [135  45],[88.4950495 34.5049505] ; [129.5049505  50.4950495],0
b4,1,0.163363,1.942817,[63 61] ; [106  74],[68.93421053 55.06578947] ; [100.06578947  79.93421053],0
a5,1,0.178359,1.811246,[69 55] ; [114  66],[74.64473684 49.35526316] ; [108.35526316  71.64473684],0
r3,1,0.178855,1.807108,[112  11] ; [170   9],[114.85430464   8.14569536] ; [167.14569536  11.85430464],0
s4,1,0.186207,1.747377,[25 98] ; [ 26 153],[ 20.77152318 102.22847682] ; [ 30.22847682 148.77152318],0
n3,1,0.188374,1.730288,[26  6] ; [27 13],[23.55555556  8.44444444] ; [29.44444444 10.55555556],0
n5,1,0.224218,1.477167,[98 25] ; [131  47],[93.57807309 29.42192691] ; [135.42192691  42.57807309],0
r4,1,0.291821,1.1112,[102  22] ; [156  24],[105.23684211  18.76315789] ; [152.76315789  27.23684211],0
u3,1,0.3123,1.020923,[32 30] ; [37 24],[34.7804878 27.2195122] ; [34.2195122 26.7804878],0
r2,1,0.376551,0.781931,[113  10] ; [158  20],[110.74086379  12.25913621] ; [160.25913621  17.74086379],0
n1,1,0.41308,0.669919,[13 18] ; [13 27],[11.35211268 19.64788732] ; [14.64788732 25.35211268],0
v2,1,0.413547,0.668581,[55 61] ; [90 82],[58.40277778 57.59722222] ; [86.59722222 85.40277778],0
b5,1,0.432096,0.617182,[66 58] ; [104  76],[69.34210526 54.65789474] ; [100.65789474  79.34210526],0
u1,1,0.452417,0.56459,[  4 120] ; [  9 171],[  5.30263158 118.69736842] ; [  7.69736842 172.30263158],0
s1,1,0.511152,0.431708,[  6 117] ; [  6 172],[  4.90365449 118.09634551] ; [  7.09634551 170.90365449],0
s6,1,0.515043,0.423809,[76 45] ; [117  59],[78.62962963 42.37037037] ; [114.37037037  61.62962963],0
p7,1,0.557819,0.343494,[74 48] ; [112  63],[76.4040404 45.5959596] ; [109.5959596  65.4040404],0
p5,1,0.628559,0.23402,[ 13 111] ; [ 22 157],[ 14.32343234 109.67656766] ; [ 20.67656766 158.32343234],0
v1,1,0.632524,0.228653,[59 61] ; [91 84],[61.01694915 58.98305085] ; [88.98305085 86.01694915],0
n6,1,0.659112,0.194604,[102  22] ; [149  28],[103.40199336  20.59800664] ; [147.59800664  29.40199336],0
a7,1,0.685613,0.163875,[79 44] ; [119  60],[80.64238411 42.35761589] ; [117.35761589  61.64238411],0
s3,1,0.687256,0.162072,[60 61] ; [93 86],[61.71 59.29] ; [91.29 87.71],0
n2,1,0.697031,0.151579,[26  6] ; [31  9],[25.33333333  6.66666667] ; [31.66666667  8.33333333],0
p12,1,0.710863,0.137417,[  9 115] ; [ 11 167],[  8.21192053 115.78807947] ; [ 11.78807947 166.21192053],0
p6,1,0.73217,0.117128,[38 85] ; [ 58 119],[39.36 83.64] ; [ 56.64 120.36],0
a6,1,0.746602,0.104409,[76 48] ; [107  73],[74.64473684 49.35526316] ; [108.35526316  71.64473684],0
p11,1,0.806704,0.059868,[102  22] ; [150  30],[102.78947368  21.21052632] ; [149.21052632  30.78947368],0
p9,1,0.826722,0.047921,[114   9] ; [168  12],[114.47524752   8.52475248] ; [167.52475248  12.47524752],0
n4,1,0.858048,0.031991,[87 37] ; [128  52],[87.69736842 36.30263158] ; [127.30263158  52.69736842],0
s8,1,0.869433,0.02702,[48 76] ; [ 68 112],[47.31578947 76.68421053] ; [ 68.68421053 111.31578947],0
v3,1,0.879691,0.02291,[41 81] ; [ 58 119],[40.39464883 81.60535117] ; [ 58.60535117 118.39464883],0
v4,1,0.895061,0.017398,[114   8] ; [167  11],[114.27333333   7.72666667] ; [166.72666667  11.27333333],0
s7,1,0.926319,0.008552,[53 63] ; [80 93],[53.38408304 62.61591696] ; [79.61591696 93.38408304],0
p3,1,0.935906,0.006467,[55 69] ; [ 79 101],[54.65789474 69.34210526] ; [ 79.34210526 100.65789474],0
a2,1,0.940749,0.005525,[  8 116] ; [ 12 168],[  8.15789474 115.84210526] ; [ 11.84210526 168.15789474],0
p4,1,0.944531,0.004841,[66 58] ; [96 83],[66.2970297 57.7029703] ; [95.7029703 83.2970297],0
b1,1,0.947158,0.004392,[48 76] ; [ 69 111],[47.72368421 76.27631579] ; [ 69.27631579 110.72368421],0
p8,1,0.992522,8.8e-05,[64 58] ; [94 85],[64.03986711 57.96013289] ; [93.96013289 85.03986711],0
