Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.461811,[120  33] ; [13 22],[108.2393617  44.7606383] ; [24.7606383 10.2393617],1
p11,1,0.00012,14.786629,[132  22] ; [20 15],[123.85185185  30.14814815] ; [28.14814815  6.85185185],1
p10,1,0.000348,12.790087,[129  24] ; [20 15],[121.2606383  31.7393617] ; [27.7393617  7.2606383],1
n4,1,0.00075,11.361477,[125  29] ; [19 16],[117.33333333  36.66666667] ; [26.66666667  8.33333333],1
p9,1,0.001676,9.874286,[132  22] ; [22 13],[125.48148148  28.51851852] ; [28.51851852  6.48148148],0
b1,1,0.022367,5.217004,[64 90] ; [22 13],[70.07407407 83.92592593] ; [15.92592593 19.07407407],0
p4,1,0.027893,4.834671,[120  34] ; [21 14],[114.88888889  39.11111111] ; [26.11111111  8.88888889],0
v4,1,0.033998,4.494808,[146   7] ; [30  5],[143.23404255   9.76595745] ; [32.76595745  2.23404255],0
p5,1,0.099788,2.708932,[ 19 135] ; [ 1 34],[ 16.2962963 137.7037037] ; [ 3.7037037 31.2962963],0
d5,1,0.137359,2.207302,[127  27] ; [25 10],[123.85185185  30.14814815] ; [28.14814815  6.85185185],0
p7,1,0.183137,1.771984,[112  41] ; [21 13],[108.81818182  44.18181818] ; [24.18181818  9.81818182],0
v3,1,0.216647,1.526443,[55 96] ; [ 8 24],[51.98360656 99.01639344] ; [11.01639344 20.98360656],0
u3,1,0.225193,1.470968,[36 28] ; [9 3],[37.89473684 26.10526316] ; [7.10526316 4.89473684],0
a4,1,0.228796,1.448333,[70 84] ; [12 23],[66.81481481 87.18518519] ; [15.18518519 19.81481481],0
b5,1,0.228796,1.448333,[84 70] ; [23 12],[87.18518519 66.81481481] ; [19.81481481 15.18518519],0
v2,1,0.236716,1.400043,[89 60] ; [16 17],[85.96153846 63.03846154] ; [19.03846154 13.96153846],0
d3,1,0.238926,1.386921,[100  54] ; [19 16],[96.96296296 57.03703704] ; [22.03703704 12.96296296],0
r3,1,0.243325,1.361225,[144   9] ; [31  4],[142.42021277  10.57978723] ; [32.57978723  2.42021277],0
p8,1,0.27016,1.215935,[99 55] ; [19 16],[96.14814815 57.85185185] ; [21.85185185 13.14814815],0
s8,1,0.280989,1.162299,[ 39 115] ; [12 23],[ 41.55555556 112.44444444] ; [ 9.44444444 25.55555556],0
