Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,9e-06,19.653844,[47  1] ; [21 14],[39.3253012  8.6746988] ; [28.6746988  6.3253012],1
r4,1,8.9e-05,15.36,[43  6] ; [17 18],[35. 14.] ; [25. 10.],1
p8,1,0.000146,14.423077,[27 22] ; [ 5 30],[18.66666667 30.33333333] ; [13.33333333 21.66666667],1
r1,1,0.000532,12.0,[44  5] ; [20 15],[37.33333333 11.66666667] ; [26.66666667  8.33333333],1
p7,1,0.001534,10.037706,[25 23] ; [ 6 28],[18.14634146 29.85365854] ; [12.85365854 21.14634146],0
s2,1,0.002897,8.8711,[23 24] ; [ 6 29],[16.62195122 30.37804878] ; [12.37804878 22.62195122],0
p6,1,0.005535,7.695773,[12 34] ; [ 1 33],[ 7.475 38.525] ; [ 5.525 28.475],0
a6,1,0.006434,7.424561,[39 10] ; [18 17],[33.25 15.75] ; [23.75 11.25],0
n2,1,0.007595,7.126617,[11  3] ; [ 6 13],[7.21212121 6.78787879] ; [9.78787879 9.21212121],0
p4,1,0.009644,6.699455,[27 22] ; [ 9 25],[21.25301205 27.74698795] ; [14.74698795 19.25301205],0
p11,1,0.014915,5.926531,[30 19] ; [12 23],[24.5 24.5] ; [17.5 17.5],0
s6,1,0.030371,4.688167,[28 20] ; [12 23],[23.13253012 24.86746988] ; [16.86746988 18.13253012],0
s8,1,0.048702,3.885597,[16 32] ; [ 5 30],[12.14457831 35.85542169] ; [ 8.85542169 26.14457831],0
n3,1,0.056417,3.639706,[10  6] ; [ 5 12],[7.27272727 8.72727273] ; [7.72727273 9.27272727],0
d3,1,0.05778,3.6,[45  4] ; [27  8],[42.  7.] ; [30.  5.],0
v2,1,0.068858,3.310028,[27 20] ; [13 22],[22.92682927 24.07317073] ; [17.07317073 17.92682927],0
s3,1,0.073638,3.2,[25 24] ; [11 24],[21. 28.] ; [15. 20.],0
a7,1,0.101122,2.687762,[38 10] ; [22 13],[34.69879518 13.30120482] ; [25.30120482  9.69879518],0
b5,1,0.110168,2.551811,[31 18] ; [16 19],[27.41666667 21.58333333] ; [19.58333333 15.41666667],0
p10,1,0.141645,2.16,[17 32] ; [ 7 28],[14. 35.] ; [10. 25.],0
p3,1,0.145967,2.113904,[17 31] ; [ 7 27],[14.04878049 33.95121951] ; [ 9.95121951 24.04878049],0
a4,1,0.156337,2.009306,[24 25] ; [22 12],[27.15662651 21.84337349] ; [18.84337349 15.15662651],0
r2,1,0.176607,1.825946,[46  3] ; [28  5],[44.2195122  4.7804878] ; [29.7804878  3.2195122],0
u2,1,0.178978,1.80609,[10  5] ; [3 5],[8.47826087 6.52173913] ; [4.52173913 3.47826087],0
a1,1,0.197396,1.661538,[ 2 47] ; [ 4 31],[ 3.5 45.5] ; [ 2.5 32.5],0
d2,1,0.198139,1.656038,[37 11] ; [30  4],[39.2195122  8.7804878] ; [27.7804878  6.2195122],0
v1,1,0.248213,1.333333,[20 29] ; [10 25],[17.5 31.5] ; [12.5 22.5],0
n5,1,0.277986,1.17691,[31 18] ; [18 17],[28.58333333 20.41666667] ; [20.41666667 14.58333333],0
n1,1,0.340987,0.906718,[ 3 11] ; [ 7 12],[4.24242424 9.75757576] ; [ 5.75757576 13.24242424],0
u3,1,0.371093,0.8,[11  4] ; [5 4],[10.  5.] ; [6. 3.],0
b4,1,0.372296,0.795987,[34 15] ; [21 14],[32.08333333 16.91666667] ; [22.91666667 12.08333333],0
n4,1,0.372296,0.795987,[34 15] ; [21 14],[32.08333333 16.91666667] ; [22.91666667 12.08333333],0
a8,1,0.417585,0.657101,[ 3 38] ; [ 1 32],[ 2.21621622 38.78378378] ; [ 1.78378378 31.21621622],0
u1,1,0.488422,0.48,[13 36] ; [ 7 28],[11.66666667 37.33333333] ; [ 8.33333333 26.66666667],0
s7,1,0.492562,0.470926,[16 29] ; [ 9 23],[14.61038961 30.38961039] ; [10.38961039 21.61038961],0
n6,1,0.516096,0.421688,[35 14] ; [22 12],[33.65060241 15.34939759] ; [23.34939759 10.65060241],0
s4,1,0.606925,0.264677,[ 6 40] ; [ 6 29],[ 6.81481481 39.18518519] ; [ 5.18518519 29.81481481],0
a3,1,0.624206,0.24,[34 15] ; [26  9],[35. 14.] ; [25. 10.],0
a5,1,0.674874,0.175953,[37 12] ; [25 10],[36.16666667 12.83333333] ; [25.83333333  9.16666667],0
a2,1,0.689939,0.159151,[16 33] ; [10 25],[15.16666667 33.83333333] ; [10.83333333 24.16666667],0
s5,1,0.712596,0.135697,[11 36] ; [ 7 28],[10.31707317 36.68292683] ; [ 7.68292683 27.31707317],0
b3,1,0.727511,0.121409,[ 8 24] ; [ 7 17],[ 8.57142857 23.42857143] ; [ 6.42857143 17.57142857],0
b2,1,0.727511,0.121409,[ 8 24] ; [ 7 17],[ 8.57142857 23.42857143] ; [ 6.42857143 17.57142857],0
d5,1,0.729034,0.12,[47  2] ; [33  2],[46.66666667  2.33333333] ; [33.33333333  1.66666667],0
p5,1,0.765594,0.088889,[ 2 47] ; [ 1 34],[ 1.75 47.25] ; [ 1.25 33.75],0
v3,1,0.788901,0.071684,[14 34] ; [ 9 25],[13.46341463 34.53658537] ; [ 9.53658537 24.46341463],0
p1,1,0.801573,0.063158,[ 5 44] ; [ 3 32],[ 4.66666667 44.33333333] ; [ 3.33333333 31.66666667],0
d4,1,0.832256,0.044863,[46  1] ; [34  1],[45.85365854  1.14634146] ; [34.14634146  0.85365854],0
b1,1,1.0,0.0,[28 21] ; [20 15],[28. 21.] ; [20. 15.],0
