Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.4e-05,17.185112,[12 33] ; [22  7],[20.67567568 24.32432432] ; [13.32432432 15.67567568],1
a7,1,0.003907,8.326606,[30 16] ; [ 9 20],[23.92 22.08] ; [15.08 13.92],0
u3,1,0.020762,5.346634,[21  9] ; [ 6 11],[17.23404255 12.76595745] ; [9.76595745 7.23404255],0
n3,1,0.087725,2.915629,[13  4] ; [6 7],[10.76666667  6.23333333] ; [8.23333333 4.76666667],0
v4,1,0.095752,2.774917,[38  7] ; [19  9],[35.1369863  9.8630137] ; [21.8630137  6.1369863],0
b5,1,0.099845,2.708021,[31 15] ; [14 15],[27.6 18.4] ; [17.4 11.6],0
a8,1,0.138095,2.199062,[ 1 43] ; [ 3 26],[ 2.4109589 41.5890411] ; [ 1.5890411 27.4109589],0
a6,1,0.143802,2.136792,[27 19] ; [12 17],[23.92 22.08] ; [15.08 13.92],0
p11,1,0.201477,1.631634,[20 26] ; [17 12],[22.69333333 23.30666667] ; [14.30666667 14.69333333],0
d4,1,0.267432,1.229873,[32 13] ; [17 12],[29.7972973 15.2027027] ; [19.2027027  9.7972973],0
d2,1,0.293922,1.101568,[ 8 38] ; [ 8 21],[ 9.81333333 36.18666667] ; [ 6.18666667 22.81333333],0
n2,1,0.297365,1.085973,[10  7] ; [10  3],[11.33333333  5.66666667] ; [8.66666667 4.33333333],0
p8,1,0.330273,0.947827,[17 27] ; [ 8 21],[15.06849315 28.93150685] ; [ 9.93150685 19.06849315],0
p2,1,0.332103,0.94068,[32 14] ; [17 12],[30.05333333 15.94666667] ; [18.94666667 10.05333333],0
s5,1,0.342026,0.902821,[ 7 37] ; [ 7 21],[ 8.55555556 35.44444444] ; [ 5.44444444 22.55555556],0
p4,1,0.349763,0.874316,[11 34] ; [10 19],[12.77027027 32.22972973] ; [ 8.22972973 20.77027027],0
