Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,34.51204,[145  32] ; [12 23],[131.08018868  45.91981132] ; [25.91981132  9.08018868],1
s2,1,0.0,26.503508,[134  43] ; [11 24],[121.06132075  55.93867925] ; [23.93867925 11.06132075],1
s7,1,5e-06,21.034777,[135  35] ; [14 20],[124.16666667  45.83333333] ; [24.83333333  9.16666667],1
s5,1,0.002685,9.010052,[ 73 101] ; [ 5 29],[ 65.25 108.75] ; [12.75 21.25],0
b5,1,0.01091,6.479918,[113  66] ; [15 22],[106.07407407  72.92592593] ; [21.92592593 15.07407407],0
r4,1,0.024609,5.051197,[169  10] ; [31  6],[165.74074074  13.25925926] ; [34.25925926  2.74074074],0
r2,1,0.037262,4.338404,[169   8] ; [32  5],[166.24766355  10.75233645] ; [34.75233645  2.24766355],0
s4,1,0.043478,4.076702,[ 34 145] ; [ 2 35],[ 29.83333333 149.16666667] ; [ 6.16666667 30.83333333],0
v4,1,0.067588,3.340642,[174   4] ; [34  3],[172.20465116   5.79534884] ; [35.79534884  1.20465116],0
d5,1,0.07921,3.081039,[152  27] ; [27 10],[148.33796296  30.66203704] ; [30.66203704  6.33796296],0
b3,1,0.1469,2.10415,[43 79] ; [14 14],[46.36 75.64] ; [10.64 17.36],0
b2,1,0.1469,2.10415,[43 79] ; [14 14],[46.36 75.64] ; [10.64 17.36],0
p12,1,0.173429,1.853047,[ 17 162] ; [ 1 36],[ 14.91666667 164.08333333] ; [ 3.08333333 33.91666667],0
r3,1,0.187516,1.73703,[173   6] ; [34  3],[171.54166667   7.45833333] ; [35.45833333  1.54166667],0
v3,1,0.284596,1.145012,[77 91] ; [19 15],[79.84158416 88.15841584] ; [16.15841584 17.84158416],0
p5,1,0.287766,1.130043,[ 15 161] ; [ 5 30],[ 16.68246445 159.31753555] ; [ 3.31753555 31.68246445],0
u1,1,0.316666,1.002668,[ 37 142] ; [ 5 32],[ 34.80555556 144.19444444] ; [ 7.19444444 29.80555556],0
a6,1,0.324592,0.970356,[126  53] ; [23 14],[123.47685185  55.52314815] ; [25.52314815 11.47685185],0
p1,1,0.351548,0.867863,[ 12 167] ; [ 1 36],[ 10.77314815 168.22685185] ; [ 2.22685185 34.77314815],0
n1,1,0.352248,0.865343,[18 28] ; [6 5],[19.36842105 26.63157895] ; [4.63157895 6.36842105],0
u2,1,0.376354,0.782577,[26 12] ; [3 3],[25.04545455 12.95454545] ; [3.95454545 2.04545455],0
v2,1,0.418244,0.655245,[95 73] ; [23 13],[97.17647059 70.82352941] ; [20.82352941 15.17647059],0
p9,1,0.422315,0.643865,[157  21] ; [30  6],[155.54205607  22.45794393] ; [31.45794393  4.54205607],0
a3,1,0.447455,0.577089,[140  39] ; [31  6],[141.70833333  37.29166667] ; [29.29166667  7.70833333],0
p11,1,0.447455,0.577089,[140  39] ; [31  6],[141.70833333  37.29166667] ; [29.29166667  7.70833333],0
p2,1,0.459832,0.546303,[145  34] ; [28  9],[143.36574074  35.63425926] ; [29.63425926  7.36574074],0
a7,1,0.462574,0.539658,[127  52] ; [24 13],[125.13425926  53.86574074] ; [25.86574074 11.13425926],0
p7,1,0.514215,0.42548,[98 76] ; [23 14],[99.78199052 74.21800948] ; [21.21800948 15.78199052],0
a2,1,0.517722,0.41843,[ 53 126] ; [ 9 28],[ 51.37962963 127.62037037] ; [10.62037037 26.37962963],0
r1,1,0.534464,0.385897,[155  22] ; [31  6],[153.8411215  23.1588785] ; [32.1588785  4.8411215],0
a1,1,0.547114,0.362513,[  6 173] ; [ 2 35],[  6.62962963 172.37037037] ; [ 1.37037037 35.62962963],0
d3,1,0.565662,0.329995,[117  62] ; [26 11],[118.50462963  60.49537037] ; [24.49537037 12.50462963],0
n2,1,0.591906,0.287378,[35 11] ; [10  2],[35.68965517 10.31034483] ; [9.31034483 2.68965517],0
a4,1,0.615255,0.252594,[ 79 100] ; [18 19],[80.38425926 98.61574074] ; [16.61574074 20.38425926],0
p10,1,0.625143,0.238705,[153  24] ; [30  6],[152.07042254  24.92957746] ; [30.92957746  5.07042254],0
b1,1,0.639797,0.219007,[ 70 109] ; [16 21],[ 71.26851852 107.73148148] ; [14.73148148 22.26851852],0
d2,1,0.643214,0.214563,[99 80] ; [22 15],[100.27314815  78.72685185] ; [20.72685185 16.27314815],0
n6,1,0.673402,0.177648,[149  29] ; [32  5],[149.85116279  28.14883721] ; [31.14883721  5.85116279],0
p4,1,0.706931,0.141362,[95 83] ; [21 16],[96.0372093 81.9627907] ; [19.9627907 17.0372093],0
n3,1,0.732332,0.116981,[31 15] ; [8 3],[31.47368421 14.52631579] ; [7.52631579 3.47368421],0
d1,1,0.744121,0.106538,[111  68] ; [24 13],[111.875  67.125] ; [23.125 13.875],0
v1,1,0.755887,0.09665,[91 77] ; [19 18],[90.14634146 77.85365854] ; [19.85365854 17.14634146],0
n4,1,0.820289,0.051608,[137  40] ; [28  9],[136.47196262  40.52803738] ; [28.52803738  8.47196262],0
a8,1,0.842001,0.039734,[ 26 134] ; [ 6 28],[ 26.39175258 133.60824742] ; [ 5.60824742 28.39175258],0
s1,1,0.842607,0.039426,[  6 169] ; [ 1 35],[  5.8056872 169.1943128] ; [ 1.1943128 34.8056872],0
n5,1,0.856847,0.03254,[136  42] ; [27  9],[135.57943925  42.42056075] ; [27.42056075  8.57943925],0
b4,1,0.880212,0.022711,[104  75] ; [21 16],[103.58796296  75.41203704] ; [21.41203704 15.58796296],0
u3,1,0.899494,0.015952,[27 12] ; [4 2],[26.86666667 12.13333333] ; [4.13333333 1.86666667],0
a5,1,0.910654,0.012592,[137  42] ; [28  9],[136.73611111  42.26388889] ; [28.26388889  8.73611111],0
p8,1,0.933736,0.006913,[80 97] ; [17 20],[80.22897196 96.77102804] ; [16.77102804 20.22897196],0
d4,1,0.991495,0.000114,[145  34] ; [30  7],[145.02314815  33.97685185] ; [29.97685185  7.02314815],0
p3,1,0.995996,2.5e-05,[87 92] ; [18 19],[87.01388889 91.98611111] ; [17.98611111 19.01388889],0
