Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000392,12.569844,[26  5] ; [ 9 15],[19.72727273 11.27272727] ; [15.27272727  8.72727273],1
v2,1,0.00763,7.118412,[20 12] ; [ 6 17],[15.12727273 16.87272727] ; [10.87272727 12.12727273],0
v3,1,0.038614,4.277778,[10 22] ; [ 2 22],[ 6.85714286 25.14285714] ; [ 5.14285714 18.85714286],0
p11,1,0.048333,3.898359,[26  7] ; [13 11],[22.57894737 10.42105263] ; [16.42105263  7.57894737],0
p9,1,0.048333,3.898359,[26  7] ; [13 11],[22.57894737 10.42105263] ; [16.42105263  7.57894737],0
d5,1,0.069809,3.287506,[23 10] ; [11 13],[19.68421053 13.31578947] ; [14.31578947  9.68421053],0
s8,1,0.087669,2.916667,[12 20] ; [ 4 20],[ 9.14285714 22.85714286] ; [ 6.85714286 17.14285714],0
s6,1,0.112588,2.517517,[19 11] ; [10 14],[16.11111111 13.88888889] ; [12.88888889 11.11111111],0
p10,1,0.128754,2.307459,[24  7] ; [14 10],[21.41818182  9.58181818] ; [16.58181818  7.41818182],0
p3,1,0.140382,2.173763,[17 15] ; [ 8 16],[14.28571429 17.71428571] ; [10.71428571 13.28571429],0
s7,1,0.151944,2.052627,[15 15] ; [ 7 16],[12.45283019 17.54716981] ; [ 9.54716981 13.45283019],0
d1,1,0.158291,1.990476,[11 22] ; [ 4 20],[ 8.68421053 24.31578947] ; [ 6.31578947 17.68421053],0
a6,1,0.181105,1.788537,[21 12] ; [11 13],[18.52631579 14.47368421] ; [13.47368421 10.52631579],0
r3,1,0.245278,1.35,[22  8] ; [14 10],[20. 10.] ; [16.  8.],0
d2,1,0.255045,1.295455,[13 20] ; [ 6 18],[11. 22.] ; [ 8. 16.],0
a3,1,0.274621,1.193521,[22 11] ; [12 11],[20.03571429 12.96428571] ; [13.96428571  9.03571429],0
s3,1,0.277724,1.178193,[17 12] ; [10 13],[15.05769231 13.94230769] ; [11.94230769 11.05769231],0
a2,1,0.294564,1.098645,[ 4 29] ; [ 1 23],[ 2.89473684 30.10526316] ; [ 2.10526316 21.89473684],0
p8,1,0.305174,1.051448,[15 17] ; [14  9],[16.87272727 15.12727273] ; [12.12727273 10.87272727],0
p5,1,0.318269,0.996047,[ 6 27] ; [ 2 21],[ 4.71428571 28.28571429] ; [ 3.28571429 19.71428571],0
n2,1,0.352704,0.863705,[12  3] ; [7 4],[10.96153846  4.03846154] ; [8.03846154 2.96153846],0
a5,1,0.380689,0.768476,[19 14] ; [11 13],[17.36842105 15.63157895] ; [12.63157895 11.36842105],0
b4,1,0.409269,0.680923,[16 17] ; [ 9 15],[14.47368421 18.52631579] ; [10.52631579 13.47368421],0
p2,1,0.414687,0.665323,[26  5] ; [18  6],[24.8  6.2] ; [19.2  4.8],0
n6,1,0.428537,0.626786,[17 13] ; [11 13],[15.55555556 14.44444444] ; [12.44444444 11.55555556],0
a8,1,0.44008,0.596074,[ 3 27] ; [ 1 22],[ 2.26415094 27.73584906] ; [ 1.73584906 21.26415094],0
s2,1,0.463726,0.536886,[16 15] ; [10 14],[14.65454545 16.34545455] ; [11.34545455 12.65454545],0
u3,1,0.469064,0.524179,[3 8] ; [5 7],[3.82608696 7.17391304] ; [4.17391304 7.82608696],0
