Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,26.167247,[19  8] ; [16 71],[ 8.28947368 18.71052632] ; [26.71052632 60.28947368],1
s6,1,0.000546,11.952906,[15 12] ; [19 71],[ 7.84615385 19.15384615] ; [26.15384615 63.84615385],1
s4,1,0.010598,6.531495,[ 9 18] ; [11 79],[ 4.61538462 22.38461538] ; [15.38461538 74.61538462],0
r3,1,0.011448,6.394357,[19  7] ; [39 48],[13.34513274 12.65486726] ; [44.65486726 42.34513274],0
s5,1,0.014747,5.94647,[ 8 18] ; [10 80],[ 4.03448276 21.96551724] ; [13.96551724 76.03448276],0
s7,1,0.015663,5.840297,[ 9 16] ; [12 72],[ 4.81651376 20.18348624] ; [16.18348624 67.81651376],0
p3,1,0.017018,5.694524,[11 16] ; [16 71],[ 6.39473684 20.60526316] ; [20.60526316 66.39473684],0
a6,1,0.05432,3.702835,[18  9] ; [41 49],[13.61538462 13.38461538] ; [45.38461538 44.61538462],0
p7,1,0.063744,3.437188,[13 13] ; [26 60],[ 9.05357143 16.94642857] ; [29.94642857 56.05357143],0
p10,1,0.070352,3.274782,[16 10] ; [36 51],[11.96460177 14.03539823] ; [40.03539823 46.96460177],0
d3,1,0.07608,3.146709,[18  9] ; [42 47],[13.96551724 13.03448276] ; [46.03448276 42.96551724],0
n2,1,0.089428,2.884632,[10  4] ; [19 23],[7.25 6.75] ; [21.75 20.25],0
p4,1,0.11371,2.501882,[11 16] ; [22 66],[ 7.74782609 19.25217391] ; [25.25217391 62.74782609],0
s1,1,0.117653,2.448288,[ 4 23] ; [ 5 84],[ 2.09482759 24.90517241] ; [ 6.90517241 82.09482759],0
n1,1,0.131006,2.280543,[ 2 12] ; [15 27],[4.25 9.75] ; [12.75 29.25],0
b2,1,0.133166,2.255199,[ 2 10] ; [21 32],[4.24615385 7.75384615] ; [18.75384615 34.24615385],0
b3,1,0.133166,2.255199,[ 2 10] ; [21 32],[4.24615385 7.75384615] ; [18.75384615 34.24615385],0
b4,1,0.152822,2.04385,[12 15] ; [54 36],[15.23076923 11.76923077] ; [50.76923077 39.23076923],0
p6,1,0.168352,1.897557,[ 6 21] ; [10 76],[ 3.82300885 23.17699115] ; [12.17699115 73.82300885],0
u3,1,0.170913,1.874913,[5 6] ; [10 31],[3.17307692 7.82692308] ; [11.82692308 29.17307692],0
p8,1,0.175245,1.83749,[ 9 17] ; [19 69],[ 6.38596491 19.61403509] ; [21.61403509 66.38596491],0
