Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,51.873116,[116   6] ; [11 16],[103.98657718  18.01342282] ; [23.01342282  3.98657718],1
r4,1,0.000545,11.954772,[86 36] ; [10 18],[78.08 43.92] ; [17.92 10.08],1
a5,1,0.004803,7.952169,[75 47] ; [ 9 19],[68.32 53.68] ; [15.68 12.32],0
r2,1,0.005596,7.676122,[100  20] ; [16 11],[94.69387755 25.30612245] ; [21.30612245  5.69387755],0
p2,1,0.010881,6.484622,[100  21] ; [17 11],[95.01342282 25.98657718] ; [21.98657718  6.01342282],0
p3,1,0.011753,6.347821,[58 64] ; [ 6 22],[52.05333333 69.94666667] ; [11.94666667 16.05333333],0
n5,1,0.011939,6.319923,[94 28] ; [15 13],[88.65333333 33.34666667] ; [20.34666667  7.65333333],0
n6,1,0.023336,5.143301,[104  18] ; [18  9],[99.89261745 22.10738255] ; [22.10738255  4.89261745],0
s2,1,0.024715,5.043778,[59 63] ; [ 7 21],[53.68 68.32] ; [12.32 15.68],0
b3,1,0.02955,4.735276,[28 49] ; [ 2 17],[24.0625 52.9375] ; [ 5.9375 13.0625],0
b2,1,0.02955,4.735276,[28 49] ; [ 2 17],[24.0625 52.9375] ; [ 5.9375 13.0625],0
p7,1,0.033471,4.521517,[69 50] ; [10 18],[63.95238095 55.04761905] ; [15.04761905 12.95238095],0
r3,1,0.042607,4.110938,[111  10] ; [22  6],[108.00671141  12.99328859] ; [24.99328859  3.00671141],0
v4,1,0.046135,3.97665,[108  13] ; [21  7],[104.75838926  16.24161074] ; [24.24161074  3.75838926],0
d5,1,0.052199,3.769377,[92 30] ; [16 12],[87.84 34.16] ; [20.16  7.84],0
p4,1,0.055796,3.658125,[68 54] ; [10 18],[63.44 58.56] ; [14.56 13.44],0
p8,1,0.074471,3.181626,[61 59] ; [ 9 19],[56.75675676 63.24324324] ; [13.24324324 14.75675676],0
s8,1,0.074885,3.17257,[48 74] ; [ 6 22],[43.92 78.08] ; [10.08 17.92],0
v1,1,0.078432,3.097098,[54 64] ; [ 7 19],[49.98611111 68.01388889] ; [11.01388889 14.98611111],0
a7,1,0.087233,2.924707,[78 44] ; [13 15],[74.01333333 47.98666667] ; [16.98666667 11.01333333],0
d2,1,0.111281,2.535932,[41 80] ; [14 14],[44.66442953 76.33557047] ; [10.33557047 17.66442953],0
p5,1,0.14772,2.095634,[ 16 105] ; [ 1 27],[ 13.80536913 107.19463087] ; [ 3.19463087 24.80536913],0
s6,1,0.149506,2.077289,[73 46] ; [13 15],[69.61904762 49.38095238] ; [16.38095238 11.61904762],0
n4,1,0.172057,1.864926,[86 36] ; [16 12],[82.96 39.04] ; [19.04  8.96],0
s3,1,0.185029,1.756764,[60 61] ; [10 18],[56.84563758 64.15436242] ; [13.15436242 14.84563758],0
p1,1,0.208646,1.580796,[ 14 108] ; [ 1 27],[ 12.2 109.8] ; [ 2.8 25.2],0
a2,1,0.245168,1.350632,[ 13 109] ; [ 1 27],[ 11.38666667 110.61333333] ; [ 2.61333333 25.38666667],0
s5,1,0.266484,1.234754,[30 87] ; [ 4 22],[27.81818182 89.18181818] ; [ 6.18181818 19.81818182],0
s7,1,0.289831,1.120406,[50 66] ; [ 9 19],[47.52777778 68.47222222] ; [11.47222222 16.52777778],0
n1,1,0.353837,0.859649,[15 20] ; [ 4 10],[13.57142857 21.42857143] ; [5.42857143 8.57142857],0
a6,1,0.384323,0.756827,[72 50] ; [14 14],[69.94666667 52.05333333] ; [16.05333333 11.94666667],0
b1,1,0.45101,0.568112,[43 79] ; [12 16],[44.73333333 77.26666667] ; [10.26666667 17.73333333],0
d4,1,0.467478,0.52793,[91 31] ; [19  9],[89.46666667 32.53333333] ; [20.53333333  7.46666667],0
a8,1,0.527492,0.399221,[ 13 103] ; [ 2 26],[ 12.08333333 103.91666667] ; [ 2.91666667 25.08333333],0
