Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,40.173237,[ 7 87] ; [22 16],[20.65151515 73.34848485] ; [ 8.34848485 29.65151515],1
s2,1,0.000244,13.456725,[23 71] ; [22 16],[32.04545455 61.95454545] ; [12.95454545 25.04545455],1
s4,1,0.000382,12.62031,[13 81] ; [16 22],[20.65151515 73.34848485] ; [ 8.34848485 29.65151515],1
s6,1,0.000607,11.753606,[29 65] ; [24 14],[37.74242424 56.25757576] ; [15.25757576 22.74242424],1
n1,1,0.001487,10.094855,[ 5 21] ; [12  6],[10.04545455 15.95454545] ; [ 6.95454545 11.04545455],0
p4,1,0.003561,8.495018,[31 63] ; [23 15],[38.45454545 55.54545455] ; [15.54545455 22.45454545],0
u3,1,0.00507,7.854423,[14 37] ; [9 4],[18.328125 32.671875] ; [4.671875 8.328125],0
s3,1,0.007437,7.164378,[30 62] ; [22 16],[36.8 55.2] ; [15.2 22.8],0
a5,1,0.011428,6.397541,[39 55] ; [25 13],[45.57575758 48.42424242] ; [18.42424242 19.57575758],0
v4,1,0.012078,6.299398,[67 26] ; [35  3],[72.41221374 20.58778626] ; [29.58778626  8.41221374],0
s5,1,0.017384,5.657218,[13 79] ; [12 25],[17.82945736 74.17054264] ; [ 7.17054264 29.82945736],0
v3,1,0.024612,5.050998,[10 83] ; [10 28],[14.19847328 78.80152672] ; [ 5.80152672 32.19847328],0
p11,1,0.024885,5.031875,[52 42] ; [29  9],[57.68181818 36.31818182] ; [23.31818182 14.68181818],0
a3,1,0.032081,4.594149,[42 51] ; [25 13],[47.5648855 45.4351145] ; [19.4351145 18.5648855],0
p6,1,0.036163,4.389421,[16 76] ; [13 25],[20.52307692 71.47692308] ; [ 8.47692308 29.52307692],0
p2,1,0.038585,4.279057,[58 34] ; [31  7],[62.98461538 29.01538462] ; [26.01538462 11.98461538],0
n2,1,0.042479,4.116004,[14 12] ; [15  3],[17.13636364  8.86363636] ; [11.86363636  6.13636364],0
p3,1,0.054935,3.68405,[28 66] ; [18 20],[32.75757576 61.24242424] ; [13.24242424 24.75757576],0
a4,1,0.124986,2.353697,[22 71] ; [14 24],[25.55725191 67.44274809] ; [10.44274809 27.55725191],0
b2,1,0.146799,2.105204,[15 35] ; [13 15],[17.94871795 32.05128205] ; [10.05128205 17.94871795],0
b3,1,0.146799,2.105204,[15 35] ; [13 15],[17.94871795 32.05128205] ; [10.05128205 17.94871795],0
p10,1,0.152251,2.049556,[55 36] ; [28 10],[58.5503876 32.4496124] ; [24.4496124 13.5503876],0
u2,1,0.16995,1.883381,[21 31] ; [8 5],[23.2 28.8] ; [5.8 7.2],0
p9,1,0.183381,1.770013,[64 28] ; [30  7],[67.03875969 24.96124031] ; [26.96124031 10.03875969],0
n4,1,0.185819,1.750457,[50 44] ; [25 13],[53.40909091 40.59090909] ; [21.59090909 16.40909091],0
b1,1,0.201439,1.631911,[41 53] ; [12 26],[37.74242424 56.25757576] ; [15.25757576 22.74242424],0
d4,1,0.201439,1.631911,[53 41] ; [26 12],[56.25757576 37.74242424] ; [22.74242424 15.25757576],0
d1,1,0.202841,1.6218,[22 72] ; [13 25],[24.92424242 69.07575758] ; [10.07575758 27.92424242],0
n3,1,0.218389,1.514925,[14 12] ; [13  5],[15.95454545 10.04545455] ; [11.04545455  6.95454545],0
r2,1,0.218771,1.512418,[67 24] ; [31  6],[69.671875 21.328125] ; [28.328125  8.671875],0
a2,1,0.282528,1.15489,[ 5 89] ; [ 4 34],[ 6.40909091 87.59090909] ; [ 2.59090909 35.40909091],0
p7,1,0.322192,0.980028,[38 53] ; [19 18],[40.5234375 50.4765625] ; [16.4765625 20.5234375],0
d5,1,0.325013,0.968667,[50 43] ; [24 14],[52.53435115 40.46564885] ; [21.46564885 16.53435115],0
n6,1,0.330101,0.948501,[63 30] ; [29  9],[65.3129771 27.6870229] ; [26.6870229 11.3129771],0
r3,1,0.348934,0.877331,[66 27] ; [30  8],[68.15267176 24.84732824] ; [27.84732824 10.15267176],0
p8,1,0.406719,0.688372,[32 61] ; [16 22],[34.07633588 58.92366412] ; [13.92366412 24.07633588],0
b4,1,0.407266,0.686767,[52 42] ; [18 20],[49.84848485 44.15151515] ; [20.15151515 17.84848485],0
n5,1,0.442086,0.590863,[57 36] ; [26 12],[58.92366412 34.07633588] ; [24.07633588 13.92366412],0
d2,1,0.454273,0.559968,[30 62] ; [15 23],[31.84615385 60.15384615] ; [13.15384615 24.84615385],0
a1,1,0.523198,0.407585,[ 8 86] ; [ 2 36],[ 7.12121212 86.87878788] ; [ 2.87878788 35.12121212],0
p5,1,0.555885,0.346879,[ 7 85] ; [ 4 33],[ 7.84496124 84.15503876] ; [ 3.15503876 33.84496124],0
p1,1,0.558462,0.342374,[ 9 84] ; [ 5 33],[ 9.9389313 83.0610687] ; [ 4.0610687 33.9389313],0
a8,1,0.569483,0.323548,[10 79] ; [ 3 35],[ 9.11023622 79.88976378] ; [ 3.88976378 34.11023622],0
r4,1,0.58381,0.300116,[47 47] ; [21 17],[48.42424242 45.57575758] ; [19.57575758 18.42424242],0
b5,1,0.602772,0.270836,[59 35] ; [22 16],[57.68181818 36.31818182] ; [23.31818182 14.68181818],0
a7,1,0.648629,0.207633,[53 40] ; [20 18],[51.82442748 41.17557252] ; [21.17557252 16.82442748],0
v1,1,0.691922,0.157012,[20 72] ; [ 9 27],[20.84375 71.15625] ; [ 8.15625 27.84375],0
u1,1,0.801278,0.06335,[ 4 90] ; [ 2 36],[ 4.27272727 89.72727273] ; [ 1.72727273 36.27272727],0
s1,1,0.865079,0.02887,[ 3 91] ; [ 1 37],[ 2.84848485 91.15151515] ; [ 1.15151515 36.84848485],0
a6,1,0.865466,0.028703,[51 43] ; [20 18],[50.56060606 43.43939394] ; [20.43939394 17.56060606],0
p12,1,0.88362,0.021428,[ 3 91] ; [ 1 36],[ 2.87022901 91.12977099] ; [ 1.12977099 35.87022901],0
d3,1,0.885669,0.020674,[40 52] ; [16 22],[39.63076923 52.36923077] ; [16.36923077 21.63076923],0
