Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.001289,10.358828,[38 12] ; [10 16],[31.57894737 18.42105263] ; [16.42105263  9.57894737],0
p9,1,0.001491,10.090159,[43 10] ; [12 14],[36.89873418 16.10126582] ; [18.10126582  7.89873418],0
n5,1,0.001785,9.758815,[36 17] ; [ 8 18],[29.51898734 23.48101266] ; [14.48101266 11.51898734],0
s8,1,0.004496,8.071721,[21 34] ; [ 2 24],[15.61728395 39.38271605] ; [ 7.38271605 18.61728395],0
n3,1,0.006658,7.363054,[17  4] ; [5 9],[13.2  7.8] ; [8.8 5.2],0
p8,1,0.023986,5.09564,[24 29] ; [ 5 21],[19.4556962 33.5443038] ; [ 9.5443038 16.4556962],0
s7,1,0.037191,4.341644,[25 28] ; [ 5 18],[20.92105263 32.07894737] ; [ 9.07894737 13.92105263],0
n2,1,0.043343,4.081983,[18  4] ; [7 7],[15.27777778  6.72222222] ; [9.72222222 4.27777778],0
n4,1,0.048762,3.883544,[36 19] ; [11 15],[31.91358025 23.08641975] ; [15.08641975 10.91358025],0
b1,1,0.048824,3.881392,[21 34] ; [16 10],[25.12345679 29.87654321] ; [11.87654321 14.12345679],0
p4,1,0.050508,3.824513,[27 27] ; [ 7 19],[22.95 31.05] ; [11.05 14.95],0
n6,1,0.052143,3.771175,[40 14] ; [13 12],[36.2278481 17.7721519] ; [16.7721519  8.2278481],0
b5,1,0.059117,3.561974,[28 27] ; [19  7],[31.91358025 23.08641975] ; [15.08641975 10.91358025],0
p2,1,0.079114,3.083004,[40 12] ; [15 11],[36.66666667 15.33333333] ; [18.33333333  7.66666667],0
d3,1,0.084804,2.970345,[26 29] ; [17  8],[29.5625 25.4375] ; [13.4375 11.5625],0
r1,1,0.11305,2.511056,[10 44] ; [ 9 17],[12.825 41.175] ; [ 6.175 19.825],0
u2,1,0.125778,2.343851,[11 10] ; [3 9],[ 8.90909091 12.09090909] ; [5.09090909 6.90909091],0
u3,1,0.132725,2.260334,[ 8 12] ; [ 2 11],[ 6.06060606 13.93939394] ; [3.93939394 9.06060606],0
n1,1,0.149365,2.078721,[ 8 14] ; [ 2 12],[ 6.11111111 15.88888889] ; [ 3.88888889 10.11111111],0
s6,1,0.152078,2.051282,[30 24] ; [10 16],[27. 27.] ; [13. 13.],0
s1,1,0.167702,1.903366,[ 2 53] ; [ 3 23],[ 3.39506173 51.60493827] ; [ 1.60493827 24.39506173],0
b4,1,0.243579,1.359762,[35 20] ; [13 13],[32.59259259 22.40740741] ; [15.40740741 10.59259259],0
s3,1,0.261704,1.259723,[27 25] ; [10 16],[24.66666667 27.33333333] ; [12.33333333 13.66666667],0
s4,1,0.347073,0.884132,[11 44] ; [ 3 23],[ 9.50617284 45.49382716] ; [ 4.49382716 21.50617284],0
p7,1,0.374273,0.789428,[26 27] ; [10 16],[24.15189873 28.84810127] ; [11.84810127 14.15189873],0
u1,1,0.400095,0.708042,[ 5 50] ; [ 1 25],[ 4.07407407 50.92592593] ; [ 1.92592593 24.07407407],0
p6,1,0.407143,0.687129,[15 37] ; [ 5 20],[13.50649351 38.49350649] ; [ 6.49350649 18.50649351],0
a3,1,0.408328,0.683664,[34 21] ; [13 12],[32.3125 22.6875] ; [14.6875 10.3125],0
a4,1,0.465501,0.532634,[17 38] ; [ 6 20],[15.61728395 39.38271605] ; [ 7.38271605 18.61728395],0
v2,1,0.476883,0.505984,[30 23] ; [12 13],[28.53846154 24.46153846] ; [13.46153846 11.53846154],0
a5,1,0.480396,0.497964,[30 25] ; [12 14],[28.51851852 26.48148148] ; [13.48148148 12.51851852],0
s2,1,0.50821,0.437752,[25 29] ; [10 16],[23.625 30.375] ; [11.375 14.625],0
d4,1,0.537135,0.380876,[41 14] ; [21  5],[42.09876543 12.90123457] ; [19.90123457  6.09876543],0
a8,1,0.538098,0.379077,[ 4 48] ; [ 1 24],[ 3.37662338 48.62337662] ; [ 1.62337662 23.37662338],0
a7,1,0.553083,0.351822,[30 25] ; [16 10],[31.2345679 23.7654321] ; [14.7654321 11.2345679],0
v4,1,0.565756,0.329836,[34 17] ; [19  7],[35.1038961 15.8961039] ; [17.8961039  8.1038961],0
a6,1,0.580651,0.305183,[29 26] ; [12 14],[27.83950617 27.16049383] ; [13.16049383 12.83950617],0
r2,1,0.591715,0.287674,[27 22] ; [16 10],[28.09333333 20.90666667] ; [14.90666667 11.09333333],0
d2,1,0.607364,0.264031,[20 35] ; [11 15],[21.04938272 33.95061728] ; [ 9.95061728 16.04938272],0
d5,1,0.615315,0.252508,[39 16] ; [17  9],[38.02469136 16.97530864] ; [17.97530864  8.02469136],0
v3,1,0.627045,0.236089,[13 41] ; [ 5 21],[12.15 41.85] ; [ 5.85 20.15],0
p3,1,0.635473,0.224711,[18 36] ; [ 7 18],[17.08860759 36.91139241] ; [ 7.91139241 17.08860759],0
v1,1,0.664458,0.188153,[21 30] ; [ 9 16],[20.13157895 30.86842105] ; [ 9.86842105 15.13157895],0
a1,1,0.696026,0.152639,[ 3 52] ; [ 2 24],[ 3.39506173 51.60493827] ; [ 1.60493827 24.39506173],0
a2,1,0.730323,0.118815,[ 5 50] ; [ 3 23],[ 5.43209877 49.56790123] ; [ 2.56790123 23.43209877],0
d1,1,0.831426,0.045315,[24 31] ; [12 14],[24.44444444 30.55555556] ; [11.55555556 14.44444444],0
s5,1,0.938596,0.005934,[11 42] ; [ 5 20],[10.87179487 42.12820513] ; [ 5.12820513 19.87179487],0
b2,1,0.958295,0.002735,[ 9 25] ; [3 8],[ 9.06666667 24.93333333] ; [2.93333333 8.06666667],0
b3,1,0.958295,0.002735,[ 9 25] ; [3 8],[ 9.06666667 24.93333333] ; [2.93333333 8.06666667],0
p1,1,0.974942,0.000987,[ 2 52] ; [ 1 25],[ 2.025 51.975] ; [ 0.975 25.025],0
