Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,30.31032,[50  4] ; [13 21],[38.65909091 15.34090909] ; [24.34090909  9.65909091],1
s3,1,0.000417,12.453805,[43 13] ; [14 21],[35.07692308 20.92307692] ; [21.92307692 13.07692308],1
s2,1,0.002983,8.817618,[40 16] ; [14 21],[33.23076923 22.76923077] ; [20.76923077 14.23076923],0
r1,1,0.013645,6.083545,[50  6] ; [24 11],[45.53846154 10.46153846] ; [28.46153846  6.53846154],0
a3,1,0.015991,5.803893,[49  7] ; [24 12],[44.43478261 11.56521739] ; [28.56521739  7.43478261],0
p8,1,0.016709,5.726735,[50  6] ; [25 11],[45.65217391 10.34782609] ; [29.34782609  6.65217391],0
s4,1,0.023831,5.10686,[11 45] ; [ 1 33],[ 7.46666667 48.53333333] ; [ 4.53333333 29.46666667],0
r2,1,0.028166,4.817865,[53  2] ; [29  6],[50.11111111  4.88888889] ; [31.88888889  3.11111111],0
r4,1,0.029589,4.732993,[54  2] ; [30  6],[51.13043478  4.86956522] ; [32.86956522  3.13043478],0
s6,1,0.033459,4.522113,[49  6] ; [22  9],[45.40697674  9.59302326] ; [25.59302326  5.40697674],0
a8,1,0.066645,3.36378,[11 41] ; [ 2 30],[ 8.04761905 43.95238095] ; [ 4.95238095 27.04761905],0
p4,1,0.074739,3.175751,[53  3] ; [30  6],[50.52173913  5.47826087] ; [32.47826087  3.52173913],0
p7,1,0.116188,2.467971,[48  7] ; [26  9],[45.22222222  9.77777778] ; [28.77777778  6.22222222],0
v1,1,0.116763,2.460215,[42 13] ; [20 13],[38.75 16.25] ; [23.25  9.75],0
v3,1,0.119028,2.430065,[33 21] ; [15 19],[29.45454545 24.54545455] ; [18.54545455 15.45454545],0
r3,1,0.124483,2.359986,[55  1] ; [32  3],[53.53846154  2.46153846] ; [33.46153846  1.53846154],0
n1,1,0.153338,2.03873,[8 6] ; [1 4],[6.63157895 7.36842105] ; [2.36842105 2.63157895],0
d3,1,0.15766,1.996528,[42 14] ; [22 14],[38.95652174 17.04347826] ; [25.04347826 10.95652174],0
p3,1,0.19627,1.669916,[48  8] ; [27  9],[45.65217391 10.34782609] ; [29.34782609  6.65217391],0
p6,1,0.211227,1.562998,[37 17] ; [20 16],[34.2 19.8] ; [22.8 13.2],0
b4,1,0.253082,1.306212,[29 27] ; [23 13],[31.65217391 24.34782609] ; [20.34782609 15.65217391],0
a6,1,0.280278,1.165742,[31 25] ; [24 12],[33.47826087 22.52173913] ; [21.52173913 14.47826087],0
u1,1,0.292074,1.110039,[ 9 47] ; [ 9 27],[10.95652174 45.04347826] ; [ 7.04347826 28.95652174],0
b5,1,0.31166,1.023626,[22 34] ; [18 18],[24.34782609 31.65217391] ; [15.65217391 20.34782609],0
n3,1,0.345099,0.891396,[9 5] ; [2 3],[8.10526316 5.89473684] ; [2.89473684 2.10526316],0
d4,1,0.408033,0.684524,[50  6] ; [30  6],[48.69565217  7.30434783] ; [31.30434783  4.69565217],0
u3,1,0.41923,0.652473,[4 3] ; [9 3],[4.78947368 2.21052632] ; [8.21052632 3.78947368],0
a5,1,0.433851,0.612492,[43 13] ; [25 11],[41.39130435 14.60869565] ; [26.60869565  9.39130435],0
d1,1,0.452986,0.56317,[37 19] ; [21 15],[35.30434783 20.69565217] ; [22.69565217 13.30434783],0
n4,1,0.455664,0.556523,[51  5] ; [31  5],[49.91304348  6.08695652] ; [32.08695652  3.91304348],0
a2,1,0.458179,0.550339,[ 9 47] ; [ 8 28],[10.34782609 45.65217391] ; [ 6.65217391 29.34782609],0
d5,1,0.458179,0.550339,[47  9] ; [28  8],[45.65217391 10.34782609] ; [29.34782609  6.65217391],0
a7,1,0.500879,0.453073,[41 15] ; [24 12],[39.56521739 16.43478261] ; [25.43478261 10.56521739],0
p11,1,0.50503,0.444352,[47  9] ; [32  4],[48.08695652  7.91304348] ; [30.91304348  5.08695652],0
v2,1,0.508734,0.436669,[34 20] ; [19 15],[32.52272727 21.47727273] ; [20.47727273 13.52272727],0
p12,1,0.547293,0.362189,[16 40] ; [ 8 27],[14.76923077 41.23076923] ; [ 9.23076923 25.76923077],0
a4,1,0.561364,0.337347,[23 33] ; [17 19],[24.34782609 31.65217391] ; [15.65217391 20.34782609],0
d2,1,0.602632,0.271044,[28 28] ; [20 16],[29.2173913 26.7826087] ; [18.7826087 17.2173913],0
v4,1,0.627589,0.235345,[54  2] ; [33  2],[53.53846154  2.46153846] ; [33.46153846  1.53846154],0
p1,1,0.628065,0.234694,[16 40] ; [12 24],[17.04347826 38.95652174] ; [10.95652174 25.04347826],0
n5,1,0.646934,0.209787,[50  6] ; [31  5],[49.30434783  6.69565217] ; [31.69565217  4.30434783],0
b1,1,0.705974,0.142331,[24 32] ; [14 22],[23.13043478 32.86956522] ; [14.86956522 21.13043478],0
n2,1,0.708687,0.139592,[10  4] ; [4 1],[10.31578947  3.68421053] ; [3.68421053 1.31578947],0
n6,1,0.763463,0.090562,[52  4] ; [34  2],[52.34782609  3.65217391] ; [33.65217391  2.34782609],0
u2,1,0.829454,0.046398,[5 2] ; [8 4],[4.78947368 2.21052632] ; [8.21052632 3.78947368],0
p9,1,0.83431,0.043755,[54  2] ; [35  1],[54.17391304  1.82608696] ; [34.82608696  1.17391304],0
b2,1,0.848597,0.036446,[20 22] ; [13 13],[20.38235294 21.61764706] ; [12.61764706 13.38235294],0
b3,1,0.848597,0.036446,[20 22] ; [13 13],[20.38235294 21.61764706] ; [12.61764706 13.38235294],0
s5,1,0.922175,0.009544,[34 17] ; [21 11],[33.79518072 17.20481928] ; [21.20481928 10.79518072],0
a1,1,0.957471,0.002844,[ 8 48] ; [ 5 31],[ 7.91304348 48.08695652] ; [ 5.08695652 30.91304348],0
