Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,7e-05,15.806125,[76 28] ; [23 33],[64.35 39.65] ; [34.65 21.35],1
p9,1,0.000354,12.760001,[77 26] ; [26 30],[66.72327044 36.27672956] ; [36.27672956 19.72327044],1
n5,1,0.000758,11.342067,[73 30] ; [26 33],[62.94444444 40.05555556] ; [36.05555556 22.94444444],1
n4,1,0.000834,11.163292,[75 29] ; [27 32],[65.0797546 38.9202454] ; [36.9202454 22.0797546],1
n6,1,0.004102,8.23805,[84 19] ; [36 23],[76.2962963 26.7037037] ; [43.7037037 15.2962963],0
d5,1,0.017627,5.632815,[65 38] ; [47 11],[71.65217391 31.34782609] ; [40.34782609 17.65217391],0
b4,1,0.028252,4.812613,[66 38] ; [27 32],[59.33742331 44.66257669] ; [33.66257669 25.33742331],0
a2,1,0.030598,4.675385,[14 90] ; [16 43],[19.14110429 84.85889571] ; [10.85889571 48.14110429],0
s8,1,0.043172,4.08866,[45 58] ; [16 42],[39.02484472 63.97515528] ; [21.97515528 36.02484472],0
n2,1,0.084489,2.976365,[26  5] ; [18 10],[23.11864407  7.88135593] ; [20.88135593  7.11864407],0
a5,1,0.089118,2.890239,[62 42] ; [43 16],[66.99386503 37.00613497] ; [38.00613497 20.99386503],0
s1,1,0.10507,2.626844,[ 5 97] ; [ 7 52],[ 7.60248447 94.39751553] ; [ 4.39751553 54.60248447],0
v1,1,0.111942,2.526594,[45 55] ; [19 40],[40.25157233 59.74842767] ; [23.74842767 35.25157233],0
d2,1,0.120046,2.416723,[45 57] ; [33 25],[49.725 52.275] ; [28.275 29.725],0
a3,1,0.135911,2.223649,[60 44] ; [41 18],[64.44171779 39.55828221] ; [36.55828221 22.44171779],0
a7,1,0.135911,2.223649,[60 44] ; [41 18],[64.44171779 39.55828221] ; [36.55828221 22.44171779],0
d4,1,0.153771,2.03444,[75 28] ; [48 10],[78.68944099 24.31055901] ; [44.31055901 13.68944099],0
b5,1,0.169421,1.888059,[61 43] ; [41 18],[65.0797546 38.9202454] ; [36.9202454 22.0797546],0
u2,1,0.18634,1.746321,[27 16] ; [ 8 10],[24.67213115 18.32786885] ; [10.32786885  7.67213115],0
n1,1,0.203187,1.619318,[15 15] ; [ 9 18],[12.63157895 17.36842105] ; [11.36842105 15.63157895],0
r4,1,0.210459,1.568265,[92 12] ; [48 11],[89.32515337 14.67484663] ; [50.67484663  8.32515337],0
p3,1,0.229833,1.441892,[38 65] ; [16 42],[34.54658385 68.45341615] ; [19.45341615 38.54658385],0
p5,1,0.247365,1.338125,[ 8 92] ; [ 2 57],[ 6.28930818 93.71069182] ; [ 3.71069182 55.28930818],0
b1,1,0.254076,1.30075,[45 59] ; [31 28],[48.49079755 55.50920245] ; [27.50920245 31.49079755],0
v4,1,0.280978,1.162354,[94 10] ; [50  9],[91.87730061 12.12269939] ; [52.12269939  6.87730061],0
p4,1,0.309101,1.034512,[38 64] ; [17 41],[35.0625 66.9375] ; [19.9375 38.0625],0
u4,1,0.310448,1.02877,[ 5 99] ; [ 1 58],[  3.82822086 100.17177914] ; [ 2.17177914 56.82822086],0
a8,1,0.328891,0.953261,[ 9 91] ; [ 8 49],[10.82802548 89.17197452] ; [ 6.17197452 50.82802548],0
a4,1,0.38065,0.768601,[42 62] ; [28 31],[44.66257669 59.33742331] ; [25.33742331 33.66257669],0
d3,1,0.394063,0.726367,[55 48] ; [35 23],[57.57763975 45.42236025] ; [32.42236025 25.57763975],0
b2,1,0.435003,0.609428,[26 42] ; [10 23],[24.23762376 43.76237624] ; [11.76237624 21.23762376],0
