Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.065342,3.39632,[15 28] ; [23 19],[19.22352941 23.77647059] ; [18.77647059 23.22352941],0
p6,1,0.113333,2.507122,[23 87] ; [31 71],[28.01886792 81.98113208] ; [25.98113208 76.01886792],0
v4,1,0.175002,1.83956,[93 19] ; [93 11],[96.44444444 15.55555556] ; [89.55555556 14.44444444],0
p7,1,0.187217,1.739382,[45 66] ; [51 52],[49.79439252 61.20560748] ; [46.20560748 56.79439252],0
p2,1,0.226631,1.46188,[74 39] ; [76 28],[78.11059908 34.88940092] ; [71.88940092 32.11059908],0
s8,1,0.238054,1.392082,[25 88] ; [30 73],[28.77314815 84.22685185] ; [26.22685185 76.77314815],0
a7,1,0.259576,1.271018,[74 37] ; [61 42],[70.02336449 40.97663551] ; [64.97663551 38.02336449],0
r3,1,0.268636,1.223697,[96 15] ; [94  9],[98.55140187 12.44859813] ; [91.44859813 11.55140187],0
n3,1,0.279264,1.17067,[27 16] ; [26  9],[29.21794872 13.78205128] ; [23.78205128 11.21794872],0
n4,1,0.29649,1.089915,[66 45] ; [69 35],[69.69767442 41.30232558] ; [65.30232558 38.69767442],0
n2,1,0.31041,1.028932,[29 15] ; [26  8],[31.02564103 12.97435897] ; [23.97435897 10.02564103],0
s5,1,0.386555,0.749752,[21 89] ; [24 76],[23.57142857 86.42857143] ; [21.42857143 78.57142857],0
r4,1,0.404806,0.694005,[86 27] ; [84 20],[88.52534562 24.47465438] ; [81.47465438 22.52534562],0
s1,1,0.423137,0.641587,[  7 103] ; [ 4 98],[  5.70754717 104.29245283] ; [ 5.29245283 96.70754717],0
b4,1,0.437181,0.60367,[67 46] ; [67 37],[69.77880184 43.22119816] ; [64.22119816 39.77880184],0
a6,1,0.449152,0.57279,[73 40] ; [62 42],[70.29953917 42.70046083] ; [64.70046083 39.29953917],0
n6,1,0.459004,0.548323,[75 35] ; [75 28],[77.46478873 32.53521127] ; [72.53521127 30.46478873],0
u1,1,0.470801,0.520096,[18 95] ; [13 91],[16.14285714 96.85714286] ; [14.85714286 89.14285714],0
p1,1,0.493068,0.469825,[  8 104] ; [ 5 97],[  6.80373832 105.19626168] ; [ 6.19626168 95.80373832],0
a2,1,0.512153,0.429665,[20 93] ; [15 89],[18.22580645 94.77419355] ; [16.77419355 87.22580645],0
d3,1,0.522907,0.408155,[70 43] ; [60 44],[67.69585253 45.30414747] ; [62.30414747 41.69585253],0
s6,1,0.534769,0.385321,[49 64] ; [49 54],[51.26851852 61.73148148] ; [46.73148148 56.26851852],0
a3,1,0.545362,0.365692,[70 40] ; [62 42],[67.85046729 42.14953271] ; [64.14953271 39.85046729],0
b5,1,0.54719,0.362376,[65 48] ; [64 40],[67.17511521 45.82488479] ; [61.82488479 42.17511521],0
p8,1,0.560619,0.338633,[35 76] ; [36 66],[37. 74.] ; [34. 68.],0
a8,1,0.57152,0.320145,[12 86] ; [14 79],[13.34031414 84.65968586] ; [12.65968586 80.34031414],0
p12,1,0.5839,0.299972,[  2 110] ; [  3 100],[  2.60465116 109.39534884] ; [  2.39534884 100.60465116],0
u2,1,0.58984,0.290594,[17 25] ; [19 22],[18.21686747 23.78313253] ; [17.78313253 23.21686747],0
s3,1,0.594173,0.283874,[51 58] ; [44 58],[49.07582938 59.92417062] ; [45.92417062 56.07582938],0
