Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.00022,13.653335,[12 71] ; [18 22],[20.24390244 62.75609756] ; [ 9.75609756 30.24390244],1
p7,1,0.000709,11.465527,[24 58] ; [25 16],[32.66666667 49.33333333] ; [16.33333333 24.66666667],1
p2,1,0.001174,10.530708,[33 50] ; [29 12],[41.5 41.5] ; [20.5 20.5],0
r4,1,0.001761,9.783838,[45 38] ; [34  7],[52.87903226 30.12096774] ; [26.12096774 14.87903226],0
p3,1,0.001822,9.720968,[13 69] ; [17 24],[20. 62.] ; [10. 31.],0
s6,1,0.004355,8.129544,[16 66] ; [18 23],[22.66666667 59.33333333] ; [11.33333333 29.66666667],0
r3,1,0.006789,7.328071,[55 26] ; [37  4],[61.08196721 19.91803279] ; [30.91803279 10.08196721],0
p6,1,0.028981,4.768721,[ 9 71] ; [11 30],[13.2231405 66.7768595] ; [ 6.7768595 34.2231405],0
n6,1,0.034427,4.473375,[43 39] ; [29 11],[48.39344262 33.60655738] ; [23.60655738 16.39344262],0
v4,1,0.040975,4.177055,[57 23] ; [36  5],[61.48760331 18.51239669] ; [31.51239669  9.48760331],0
s3,1,0.045949,3.983477,[18 64] ; [16 25],[22.66666667 59.33333333] ; [11.33333333 29.66666667],0
d3,1,0.04762,3.923357,[39 44] ; [27 14],[44.17741935 38.82258065] ; [21.82258065 19.17741935],0
a7,1,0.077828,3.109692,[46 35] ; [30 11],[50.45901639 30.54098361] ; [25.54098361 15.45901639],0
a3,1,0.097102,2.752516,[47 35] ; [17 24],[42.66666667 39.33333333] ; [21.33333333 19.66666667],0
p11,1,0.110518,2.546796,[32 51] ; [22 19],[36.14516129 46.85483871] ; [17.85483871 23.14516129],0
r2,1,0.120583,2.409728,[64 17] ; [37  4],[67.05737705 13.94262295] ; [33.94262295  7.05737705],0
a4,1,0.133466,2.251716,[34 48] ; [11 29],[30.24590164 51.75409836] ; [14.75409836 25.24590164],0
s1,1,0.162847,1.947591,[ 3 78] ; [ 4 36],[ 4.68595041 76.31404959] ; [ 2.31404959 37.68595041],0
p10,1,0.169846,1.884301,[14 69] ; [11 29],[16.8699187 66.1300813] ; [ 8.1300813 31.8699187],0
