Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4e-06,21.482685,[20 13] ; [11 59],[ 9.93203883 23.06796117] ; [21.06796117 48.93203883],1
s2,1,2e-05,18.181964,[21 12] ; [14 54],[11.43564356 21.56435644] ; [23.56435644 44.43564356],1
s6,1,4.5e-05,16.64554,[26  7] ; [25 45],[16.33980583 16.66019417] ; [34.66019417 35.33980583],1
s3,1,0.000291,13.127033,[22 10] ; [21 48],[13.62376238 18.37623762] ; [29.37623762 39.62376238],1
v3,1,0.002032,9.52,[16 16] ; [14 56],[ 9.41176471 22.58823529] ; [20.58823529 49.41176471],0
s5,1,0.004626,8.01996,[13 19] ; [10 57],[ 7.43434343 24.56565657] ; [15.56565657 51.43434343],0
d4,1,0.008583,6.907619,[30  3] ; [46 23],[24.58823529  8.41176471] ; [51.41176471 17.58823529],0
a5,1,0.010218,6.596424,[24  9] ; [32 38],[17.94174757 15.05825243] ; [38.05825243 31.94174757],0
n4,1,0.028003,4.8279,[27  6] ; [42 28],[22.10679612 10.89320388] ; [46.89320388 23.10679612],0
v2,1,0.039898,4.222204,[21 12] ; [28 39],[16.17 16.83] ; [32.83 34.17],0
d5,1,0.052336,3.765001,[27  6] ; [44 26],[22.74757282 10.25242718] ; [48.25242718 21.74757282],0
v1,1,0.052382,3.763538,[17 14] ; [24 46],[12.58415842 18.41584158] ; [28.41584158 41.58415842],0
p6,1,0.052683,3.753941,[14 18] ; [17 52],[ 9.82178218 22.17821782] ; [21.17821782 47.82178218],0
u1,1,0.055857,3.656311,[ 8 25] ; [ 7 63],[ 4.80582524 28.19417476] ; [10.19417476 59.80582524],0
s4,1,0.081205,3.04062,[ 7 26] ; [ 6 62],[ 4.24752475 28.75247525] ; [ 8.75247525 59.24752475],0
d1,1,0.092608,2.828441,[20 13] ; [30 40],[16.01941748 16.98058252] ; [33.98058252 36.01941748],0
u3,1,0.094264,2.8,[8 2] ; [16 16],[5.71428571 4.28571429] ; [18.28571429 13.71428571],0
n6,1,0.097533,2.745419,[28  5] ; [48 21],[24.58823529  8.41176471] ; [51.41176471 17.58823529],0
p8,1,0.097966,2.738352,[15 17] ; [21 49],[11.29411765 20.70588235] ; [24.70588235 45.29411765],0
a8,1,0.099132,2.719456,[ 7 22] ; [ 7 57],[ 4.3655914 24.6344086] ; [ 9.6344086 54.3655914],0
a3,1,0.137502,2.205698,[23 10] ; [38 32],[19.54368932 13.45631068] ; [41.45631068 28.54368932],0
p4,1,0.167678,1.903586,[16 17] ; [24 46],[12.81553398 20.18446602] ; [27.18446602 42.81553398],0
d3,1,0.186148,1.747841,[22 11] ; [37 33],[18.90291262 14.09708738] ; [40.09708738 29.90291262],0
p5,1,0.192072,1.701655,[ 2 31] ; [ 1 69],[ 0.96116505 32.03883495] ; [ 2.03883495 67.96116505],0
a6,1,0.222518,1.488061,[23 10] ; [40 30],[20.18446602 12.81553398] ; [42.81553398 27.18446602],0
d2,1,0.226824,1.460667,[20 13] ; [33 36],[17.14705882 15.85294118] ; [35.85294118 33.14705882],0
p9,1,0.243576,1.359779,[16 15] ; [27 42],[13.33 17.67] ; [29.67 39.33],0
a4,1,0.274389,1.194672,[16 17] ; [26 44],[13.45631068 19.54368932] ; [28.54368932 41.45631068],0
a2,1,0.274692,1.193165,[ 7 26] ; [ 9 61],[ 5.12621359 27.87378641] ; [10.87378641 59.12621359],0
r2,1,0.318179,0.996418,[30  2] ; [61  9],[28.54901961  3.45098039] ; [62.45098039  7.54901961],0
p3,1,0.335522,0.927467,[11 22] ; [17 53],[ 8.97087379 24.02912621] ; [19.02912621 50.97087379],0
p2,1,0.373765,0.791111,[25  8] ; [47 23],[23.06796117  9.93203883] ; [48.93203883 21.06796117],0
p7,1,0.397416,0.716131,[17 14] ; [32 38],[15.03960396 15.96039604] ; [33.96039604 36.03960396],0
u2,1,0.414335,0.666329,[6 4] ; [14 17],[4.87804878 5.12195122] ; [15.12195122 15.87804878],0
n5,1,0.460418,0.544877,[20 13] ; [37 33],[18.26213592 14.73786408] ; [38.73786408 31.26213592],0
b2,1,0.486905,0.483358,[10 18] ; [12 31],[ 8.67605634 19.32394366] ; [13.32394366 29.67605634],0
b3,1,0.486905,0.483358,[10 18] ; [12 31],[ 8.67605634 19.32394366] ; [13.32394366 29.67605634],0
a7,1,0.494594,0.466516,[21 12] ; [39 30],[19.41176471 13.58823529] ; [40.58823529 28.41176471],0
n3,1,0.504985,0.444444,[6 3] ; [21  6],[6.75 2.25] ; [20.25  6.75],0
r3,1,0.538186,0.378912,[30  3] ; [65  4],[30.73529412  2.26470588] ; [64.26470588  4.73529412],0
b4,1,0.588476,0.292731,[23 10] ; [45 25],[21.78640777 11.21359223] ; [46.21359223 23.78640777],0
r4,1,0.619296,0.246858,[26  7] ; [58 12],[26.91262136  6.08737864] ; [57.08737864 12.91262136],0
b1,1,0.624122,0.240116,[12 21] ; [29 41],[13.13592233 19.86407767] ; [27.86407767 42.13592233],0
a1,1,0.695716,0.152967,[ 2 31] ; [ 3 67],[ 1.60194175 31.39805825] ; [ 3.39805825 66.60194175],0
v4,1,0.720014,0.128479,[30  3] ; [62  8],[29.47572816  3.52427184] ; [62.52427184  7.47572816],0
s1,1,0.738467,0.111478,[ 1 32] ; [ 3 65],[ 1.30693069 31.69306931] ; [ 2.69306931 65.30693069],0
b5,1,0.829334,0.046464,[21 12] ; [43 27],[20.50485437 12.49514563] ; [43.49514563 26.50485437],0
n1,1,0.886436,0.020396,[3 6] ; [ 8 18],[2.82857143 6.17142857] ; [ 8.17142857 17.82857143],0
n2,1,0.958027,0.00277,[7 2] ; [20  6],[6.94285714 2.05714286] ; [20.05714286  5.94285714],0
p12,1,0.961106,0.002378,[ 1 32] ; [ 2 68],[ 0.96116505 32.03883495] ; [ 2.03883495 67.96116505],0
u4,1,0.961106,0.002378,[ 1 32] ; [ 2 68],[ 0.96116505 32.03883495] ; [ 2.03883495 67.96116505],0
r1,1,0.988971,0.000191,[24  9] ; [51 19],[24.02912621  8.97087379] ; [50.97087379 19.02912621],0
