Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,8.6e-05,15.411786,[ 3 20] ; [9 2],[ 8.11764706 14.88235294] ; [3.88235294 7.11764706],1
r4,1,0.000881,11.061818,[ 3 21] ; [8 4],[ 7.33333333 16.66666667] ; [3.66666667 8.33333333],1
s6,1,0.009084,6.80625,[ 7 17] ; [9 3],[10.66666667 13.33333333] ; [5.33333333 6.66666667],0
s5,1,0.010515,6.545455,[ 4 20] ; [7 5],[ 7.33333333 16.66666667] ; [3.66666667 8.33333333],0
p6,1,0.010515,6.545455,[ 4 20] ; [7 5],[ 7.33333333 16.66666667] ; [3.66666667 8.33333333],0
s8,1,0.024449,5.0625,[ 5 19] ; [7 5],[ 8. 16.] ; [4. 8.],0
n4,1,0.053116,3.74026,[12 12] ; [10  2],[14.66666667  9.33333333] ; [7.33333333 4.66666667],0
p11,1,0.058954,3.566563,[10 14] ; [9 3],[12.66666667 11.33333333] ; [6.33333333 5.66666667],0
b5,1,0.058954,3.566563,[10 14] ; [9 3],[12.66666667 11.33333333] ; [6.33333333 5.66666667],0
n5,1,0.065501,3.392308,[15  9] ; [11  1],[17.33333333  6.66666667] ; [8.66666667 3.33333333],0
s7,1,0.109781,2.557367,[ 7 16] ; [7 5],[ 9.2 13.8] ; [4.8 7.2],0
v2,1,0.118826,2.432723,[ 4 19] ; [5 7],[ 5.91428571 17.08571429] ; [3.08571429 8.91428571],0
a7,1,0.157299,2.0,[10 14] ; [8 4],[12. 12.] ; [6. 6.],0
s1,1,0.200825,1.636364,[ 1 23] ; [ 2 10],[ 2. 22.] ; [ 1. 11.],0
n6,1,0.200825,1.636364,[15  9] ; [10  2],[16.66666667  7.33333333] ; [8.33333333 3.66666667],0
a5,1,0.226765,1.461039,[13 11] ; [9 3],[14.66666667  9.33333333] ; [7.33333333 4.66666667],0
r1,1,0.23568,1.40625,[15  9] ; [5 7],[13.33333333 10.66666667] ; [6.66666667 5.33333333],0
p2,1,0.26012,1.268116,[15  8] ; [10  2],[16.42857143  6.57142857] ; [8.57142857 3.42857143],0
u3,1,0.307741,1.040344,[4 5] ; [3 1],[4.84615385 4.15384615] ; [2.15384615 1.84615385],0
r2,1,0.31786,0.99773,[18  5] ; [11  1],[19.05714286  3.94285714] ; [9.94285714 2.05714286],0
d3,1,0.33355,0.935065,[16  8] ; [6 6],[14.66666667  9.33333333] ; [7.33333333 4.66666667],0
s4,1,0.342782,0.9,[ 3 21] ; [3 9],[ 4. 20.] ; [ 2. 10.],0
v1,1,0.345033,0.891641,[10 14] ; [7 5],[11.33333333 12.66666667] ; [5.66666667 6.33333333],0
a6,1,0.345033,0.891641,[10 14] ; [7 5],[11.33333333 12.66666667] ; [5.66666667 6.33333333],0
p8,1,0.473289,0.514286,[13 11] ; [8 4],[14. 10.] ; [7. 5.],0
b1,1,0.473289,0.514286,[15  9] ; [6 6],[14. 10.] ; [7. 5.],0
n1,1,0.509893,0.434286,[6 8] ; [3 2],[6.63157895 7.36842105] ; [2.36842105 2.63157895],0
p1,1,0.551476,0.35468,[ 4 20] ; [3 9],[ 4.66666667 19.33333333] ; [2.33333333 9.66666667],0
p4,1,0.554949,0.348525,[11 12] ; [7 5],[11.82857143 11.17142857] ; [6.17142857 5.82857143],0
a1,1,0.606905,0.264706,[ 1 23] ; [ 1 11],[ 1.33333333 22.66666667] ; [ 0.66666667 11.33333333],0
u1,1,0.606905,0.264706,[ 1 23] ; [ 1 11],[ 1.33333333 22.66666667] ; [ 0.66666667 11.33333333],0
d4,1,0.608874,0.261818,[16  8] ; [9 3],[16.66666667  7.33333333] ; [8.33333333 3.66666667],0
d1,1,0.635256,0.225,[10 14] ; [6 6],[10.66666667 13.33333333] ; [5.33333333 6.66666667],0
d2,1,0.636831,0.22291,[12 12] ; [5 7],[11.33333333 12.66666667] ; [5.66666667 6.33333333],0
n3,1,0.700668,0.147778,[7 7] ; [3 2],[7.36842105 6.63157895] ; [2.63157895 2.36842105],0
a2,1,0.70766,0.140625,[ 3 21] ; [ 1 11],[ 2.66666667 21.33333333] ; [ 1.33333333 10.66666667],0
p5,1,0.721761,0.126812,[ 5 18] ; [ 2 10],[ 4.6 18.4] ; [2.4 9.6],0
b4,1,0.798074,0.065455,[17  7] ; [8 4],[16.66666667  7.33333333] ; [8.33333333 3.66666667],0
a3,1,0.806179,0.060201,[15  9] ; [8 4],[15.33333333  8.66666667] ; [7.66666667 4.33333333],0
b2,1,0.836701,0.042484,[ 5 12] ; [3 6],[ 5.23076923 11.76923077] ; [2.76923077 6.23076923],0
b3,1,0.836701,0.042484,[ 5 12] ; [3 6],[ 5.23076923 11.76923077] ; [2.76923077 6.23076923],0
u2,1,0.852876,0.034392,[5 4] ; [2 2],[4.84615385 4.15384615] ; [2.15384615 1.84615385],0
p7,1,0.888126,0.01979,[ 9 12] ; [5 6],[ 9.1875 11.8125] ; [4.8125 6.1875],0
p3,1,0.918123,0.010568,[10 13] ; [5 7],[ 9.85714286 13.14285714] ; [5.14285714 6.85714286],0
v3,1,0.944322,0.004877,[ 6 17] ; [3 9],[ 5.91428571 17.08571429] ; [3.08571429 8.91428571],0
a4,1,1.0,0.0,[ 8 16] ; [4 8],[ 8. 16.] ; [4. 8.],0
d5,1,1.0,0.0,[16  8] ; [8 4],[16.  8.] ; [8. 4.],0
p12,1,1.0,0.0,[ 2 22] ; [ 1 11],[ 2. 22.] ; [ 1. 11.],0
