Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.005632,7.664526,[35 68] ; [15  8],[40.87301587 62.12698413] ; [ 9.12698413 13.87301587],0
n4,1,0.009644,6.699518,[87 21] ; [14 11],[82.01503759 25.98496241] ; [18.98496241  6.01503759],0
a5,1,0.011466,6.391551,[84 25] ; [13 12],[78.90298507 30.09701493] ; [18.09701493  6.90298507],0
r1,1,0.030951,4.655701,[93 15] ; [17  8],[89.32330827 18.67669173] ; [20.67669173  4.32330827],0
s2,1,0.067361,3.346188,[66 43] ; [20  5],[69.95522388 39.04477612] ; [16.04477612  8.95522388],0
b4,1,0.07451,3.180772,[65 44] ; [10 15],[61.00746269 47.99253731] ; [13.99253731 11.00746269],0
s7,1,0.081559,3.033556,[75 32] ; [21  3],[78.41221374 28.58778626] ; [17.58778626  6.41221374],0
b2,1,0.103359,2.652935,[34 42] ; [ 3 11],[31.24444444 44.75555556] ; [5.75555556 8.24444444],0
b3,1,0.103359,2.652935,[34 42] ; [ 3 11],[31.24444444 44.75555556] ; [5.75555556 8.24444444],0
v3,1,0.105201,2.62487,[52 52] ; [ 8 17],[48.37209302 55.62790698] ; [11.62790698 13.37209302],0
a2,1,0.109914,2.555453,[24 85] ; [ 2 23],[21.14925373 87.85074627] ; [ 4.85074627 20.14925373],0
n6,1,0.116218,2.467558,[92 16] ; [18  7],[89.32330827 18.67669173] ; [20.67669173  4.32330827],0
a6,1,0.119199,2.427815,[70 38] ; [12 13],[66.58646617 41.41353383] ; [15.41353383  9.58646617],0
p2,1,0.124504,2.359723,[82 27] ; [15 10],[78.90298507 30.09701493] ; [18.09701493  6.90298507],0
s3,1,0.128512,2.310384,[75 34] ; [21  4],[78.08955224 30.91044776] ; [17.91044776  7.08955224],0
a3,1,0.184362,1.762109,[83 25] ; [16  9],[80.39097744 27.60902256] ; [18.60902256  6.39097744],0
a7,1,0.187526,1.736946,[76 33] ; [14 11],[73.20895522 35.79104478] ; [16.79104478  8.20895522],0
n3,1,0.191355,1.707158,[19 11] ; [7 1],[20.52631579  9.47368421] ; [5.47368421 2.52631579],0
n5,1,0.203182,1.61935,[78 29] ; [15 10],[75.38636364 31.61363636] ; [17.61363636  7.38636364],0
d2,1,0.233402,1.420007,[58 51] ; [10 15],[55.31343284 53.68656716] ; [12.68656716 12.31343284],0
p10,1,0.255443,1.293287,[88 19] ; [22  2],[89.84732824 17.15267176] ; [20.15267176  3.84732824],0
a8,1,0.27218,1.205727,[19 82] ; [ 2 20],[17.24390244 83.75609756] ; [ 3.75609756 18.24390244],0
p11,1,0.29108,1.114618,[85 24] ; [17  8],[82.97014925 26.02985075] ; [19.02985075  5.97014925],0
p3,1,0.296916,1.087994,[38 71] ; [ 6 19],[35.79104478 73.20895522] ; [ 8.20895522 16.79104478],0
a4,1,0.36986,0.804136,[50 59] ; [ 9 16],[47.99253731 61.00746269] ; [11.00746269 13.99253731],0
s6,1,0.373413,0.792274,[86 22] ; [21  3],[87.54545455 20.45454545] ; [19.45454545  4.54545455],0
r4,1,0.395303,0.722568,[99 10] ; [24  1],[100.05223881   8.94776119] ; [22.94776119  2.05223881],0
p7,1,0.401144,0.704895,[56 48] ; [14  8],[57.77777778 46.22222222] ; [12.22222222  9.77777778],0
p8,1,0.496434,0.462552,[41 66] ; [11 13],[42.47328244 64.52671756] ; [ 9.52671756 14.47328244],0
v2,1,0.498105,0.458972,[66 37] ; [13 10],[64.57936508 38.42063492] ; [14.42063492  8.57936508],0
n2,1,0.528998,0.396316,[24  7] ; [7 1],[24.64102564  6.35897436] ; [6.35897436 1.64102564],0
d3,1,0.569668,0.323238,[63 46] ; [16  9],[64.26119403 44.73880597] ; [14.73880597 10.26119403],0
u1,1,0.575535,0.31351,[18 91] ; [ 3 22],[17.08208955 91.91791045] ; [ 3.91791045 21.08208955],0
d5,1,0.591903,0.287382,[92 17] ; [20  5],[91.10447761 17.89552239] ; [20.89552239  4.10447761],0
d1,1,0.597692,0.278491,[63 46] ; [13 12],[61.82089552 47.17910448] ; [14.17910448 10.82089552],0
b5,1,0.675685,0.175024,[66 43] ; [14 11],[65.07462687 43.92537313] ; [14.92537313 10.07462687],0
b1,1,0.713319,0.134984,[48 61] ; [10 15],[47.17910448 61.82089552] ; [10.82089552 14.17910448],0
u2,1,0.724159,0.124542,[15 10] ; [6 3],[15.44117647  9.55882353] ; [5.55882353 3.44117647],0
p12,1,0.753869,0.098308,[  7 100] ; [ 2 22],[ 7.35114504 99.64885496] ; [ 1.64885496 22.35114504],0
d4,1,0.762568,0.091271,[90 19] ; [20  5],[89.47761194 19.52238806] ; [20.52238806  4.47761194],0
u3,1,0.780931,0.077343,[19  7] ; [7 2],[19.31428571  6.68571429] ; [6.68571429 2.31428571],0
v1,1,0.831206,0.045435,[56 47] ; [13 12],[55.5234375 47.4765625] ; [13.4765625 11.5234375],0
p6,1,0.864715,0.029028,[25 82] ; [ 6 18],[25.32061069 81.67938931] ; [ 5.67938931 18.32061069],0
r3,1,0.898126,0.016391,[104   5] ; [24  1],[104.11940299   4.88059701] ; [23.88059701  1.11940299],0
s1,1,0.950796,0.003808,[  4 103] ; [ 1 24],[  4.0530303 102.9469697] ; [ 0.9469697 24.0530303],0
p1,1,0.966339,0.001781,[  9 100] ; [ 2 23],[  8.94776119 100.05223881] ; [ 2.05223881 22.94776119],0
n1,1,1.0,0.0,[15 15] ; [4 4],[15. 15.] ; [4. 4.],0
