Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4.6e-05,16.615649,[57 13] ; [3 9],[51.2195122 18.7804878] ; [8.7804878 3.2195122],1
r2,1,0.00024,13.489547,[61  9] ; [5 7],[56.34146341 13.65853659] ; [9.65853659 2.34146341],1
p11,1,0.000486,12.167249,[53 17] ; [3 9],[47.80487805 22.19512195] ; [8.19512195 3.80487805],1
p2,1,0.004028,8.27113,[48 22] ; [3 9],[43.53658537 26.46341463] ; [7.46341463 4.53658537],0
a1,1,0.009383,6.748483,[ 1 69] ; [ 2 10],[ 2.56097561 67.43902439] ; [ 0.43902439 11.56097561],0
p10,1,0.010846,6.490329,[41 28] ; [2 9],[37.0875 31.9125] ; [5.9125 5.0875],0
r1,1,0.012436,6.247619,[39 31] ; [ 2 10],[35. 35.] ; [6. 6.],0
b4,1,0.014298,6.00099,[44 26] ; [3 9],[40.12195122 29.87804878] ; [6.87804878 5.12195122],0
p9,1,0.017045,5.6917,[45 24] ; [3 8],[41.4 27.6] ; [6.6 4.4],0
n6,1,0.02334,5.143051,[52 18] ; [5 7],[48.65853659 21.34146341] ; [8.34146341 3.65853659],0
n3,1,0.026144,4.946494,[22  6] ; [3 5],[19.44444444  8.55555556] ; [5.55555556 2.44444444],0
a5,1,0.027869,4.836148,[29 41] ; [ 1 11],[25.6097561 44.3902439] ; [4.3902439 7.6097561],0
u2,1,0.030383,4.6875,[19 21] ; [1 9],[16. 24.] ; [4. 6.],0
n2,1,0.034212,4.484081,[23  7] ; [3 5],[20.52631579  9.47368421] ; [5.47368421 2.52631579],0
s6,1,0.074213,3.187286,[36 32] ; [3 9],[33.15 34.85] ; [5.85 6.15],0
a3,1,0.08572,2.952976,[30 40] ; [ 2 10],[27.31707317 42.68292683] ; [4.68292683 7.31707317],0
p7,1,0.09031,2.868847,[36 34] ; [3 9],[33.29268293 36.70731707] ; [5.70731707 6.29268293],0
v2,1,0.122398,2.386364,[21 45] ; [ 1 10],[18.85714286 47.14285714] ; [3.14285714 7.85714286],0
p8,1,0.142543,2.150287,[27 43] ; [ 2 10],[24.75609756 45.24390244] ; [4.24390244 7.75609756],0
s4,1,0.144666,2.12761,[11 59] ; [4 8],[12.80487805 57.19512195] ; [2.19512195 9.80487805],0
s3,1,0.155566,2.016807,[32 36] ; [3 9],[29.75 38.25] ; [5.25 6.75],0
n5,1,0.160948,1.965292,[51 19] ; [11  1],[52.92682927 17.07317073] ; [9.07317073 2.92682927],0
v3,1,0.16657,1.913545,[18 49] ; [ 1 11],[16.11392405 50.88607595] ; [2.88607595 9.11392405],0
p6,1,0.170507,1.878479,[20 50] ; [ 1 10],[18.14814815 51.85185185] ; [2.85185185 8.14814815],0
s1,1,0.190992,1.709945,[ 4 64] ; [ 2 10],[ 5.1 62.9] ; [ 0.9 11.1],0
s7,1,0.225721,1.467621,[23 44] ; [ 2 10],[21.20253165 45.79746835] ; [3.79746835 8.20253165],0
a4,1,0.243485,1.360304,[16 53] ; [ 1 11],[14.48148148 54.51851852] ; [2.51851852 9.48148148],0
p4,1,0.243826,1.358336,[30 40] ; [3 9],[28.17073171 41.82926829] ; [4.82926829 7.17073171],0
v1,1,0.248678,1.330714,[23 46] ; [ 2 10],[21.2962963 47.7037037] ; [3.7037037 8.2962963],0
s8,1,0.299079,1.078298,[22 48] ; [ 2 10],[20.48780488 49.51219512] ; [3.51219512 8.48780488],0
d3,1,0.334119,0.932869,[14 56] ; [ 1 11],[12.80487805 57.19512195] ; [2.19512195 9.80487805],0
d2,1,0.342144,0.902383,[21 49] ; [ 2 10],[19.63414634 50.36585366] ; [3.36585366 8.63414634],0
u3,1,0.363082,0.827206,[14 26] ; [2 8],[12.8 27.2] ; [3.2 6.8],0
a8,1,0.498634,0.457843,[10 53] ; [ 1 11],[ 9.24 53.76] ; [ 1.76 10.24],0
n1,1,0.538197,0.378892,[11 18] ; [4 4],[11.75675676 17.24324324] ; [3.24324324 4.75675676],0
s2,1,0.633738,0.227026,[22 47] ; [3 9],[21.2962963 47.7037037] ; [3.7037037 8.2962963],0
p3,1,0.654915,0.199759,[22 48] ; [3 9],[21.34146341 48.65853659] ; [3.65853659 8.34146341],0
n4,1,0.654915,0.199759,[48 22] ; [9 3],[48.65853659 21.34146341] ; [8.34146341 3.65853659],0
a6,1,0.725224,0.123542,[33 37] ; [5 7],[32.43902439 37.56097561] ; [5.56097561 6.43902439],0
b2,1,0.854578,0.033592,[13 30] ; [3 6],[13.23076923 29.76923077] ; [2.76923077 6.23076923],0
b3,1,0.854578,0.033592,[13 30] ; [3 6],[13.23076923 29.76923077] ; [2.76923077 6.23076923],0
b5,1,0.854712,0.033529,[33 37] ; [6 6],[33.29268293 36.70731707] ; [5.70731707 6.29268293],0
p1,1,0.857328,0.03232,[ 7 63] ; [ 1 11],[ 6.82926829 63.17073171] ; [ 1.17073171 10.82926829],0
p12,1,0.883674,0.021408,[ 5 65] ; [ 1 11],[ 5.12195122 64.87804878] ; [ 0.87804878 11.12195122],0
b1,1,0.927117,0.008367,[34 36] ; [6 6],[34.14634146 35.85365854] ; [5.85365854 6.14634146],0
