Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.3e-05,19.076316,[44 10] ; [14 24],[34.04347826 19.95652174] ; [23.95652174 14.04347826],1
d3,1,9.4e-05,15.245159,[44 10] ; [16 22],[35.2173913 18.7826087] ; [24.7826087 13.2173913],1
d4,1,0.004816,7.947138,[50  4] ; [26 11],[45.0989011  8.9010989] ; [30.9010989  6.0989011],0
d5,1,0.005512,7.703155,[42 12] ; [19 19],[35.80434783 18.19565217] ; [25.19565217 12.80434783],0
b5,1,0.018843,5.516021,[38 17] ; [17 21],[32.52688172 22.47311828] ; [22.47311828 15.52688172],0
v1,1,0.023696,5.116738,[16 35] ; [21 17],[21.20224719 29.79775281] ; [15.79775281 22.20224719],0
a8,1,0.063708,3.438119,[ 8 45] ; [ 1 34],[ 5.42045455 47.57954545] ; [ 3.57954545 31.42045455],0
d1,1,0.06405,3.429282,[31 24] ; [14 24],[26.61290323 28.38709677] ; [18.38709677 19.61290323],0
p2,1,0.091304,2.851237,[41 14] ; [22 16],[37.25806452 17.74193548] ; [25.74193548 12.25806452],0
p9,1,0.126249,2.338029,[39 15] ; [21 16],[35.6043956 18.3956044] ; [24.3956044 12.6043956],0
a2,1,0.155472,2.017725,[ 8 47] ; [ 2 36],[ 5.91397849 49.08602151] ; [ 4.08602151 33.91397849],0
p3,1,0.174411,1.844612,[18 36] ; [18 20],[21.13043478 32.86956522] ; [14.86956522 23.13043478],0
p1,1,0.192784,1.69621,[ 3 52] ; [ 5 33],[ 4.7311828 50.2688172] ; [ 3.2688172 34.7311828],0
b2,1,0.205916,1.599912,[ 5 24] ; [ 8 17],[ 6.98148148 22.01851852] ; [ 6.01851852 18.98148148],0
b3,1,0.205916,1.599912,[ 5 24] ; [ 8 17],[ 6.98148148 22.01851852] ; [ 6.01851852 18.98148148],0
n5,1,0.21713,1.523237,[28 27] ; [14 23],[25.10869565 29.89130435] ; [16.89130435 20.10869565],0
s6,1,0.254596,1.297907,[39 16] ; [22 15],[36.4673913 18.5326087] ; [24.5326087 12.4673913],0
v4,1,0.255574,1.292574,[50  5] ; [29  6],[48.27777778  6.72222222] ; [30.72222222  4.27777778],0
s5,1,0.275325,1.19002,[11 39] ; [12 25],[13.2183908 36.7816092] ; [ 9.7816092 27.2183908],0
r1,1,0.287697,1.130368,[41 13] ; [25 13],[38.73913043 15.26086957] ; [27.26086957 10.73913043],0
a4,1,0.296429,1.090191,[16 39] ; [15 23],[18.33333333 36.66666667] ; [12.66666667 25.33333333],0
s2,1,0.296429,1.090191,[39 16] ; [23 15],[36.66666667 18.33333333] ; [25.33333333 12.66666667],0
u1,1,0.329327,0.951541,[ 4 51] ; [ 1 37],[ 2.95698925 52.04301075] ; [ 2.04301075 35.95698925],0
p8,1,0.34816,0.880152,[20 32] ; [11 27],[17.91111111 34.08888889] ; [13.08888889 24.91111111],0
b1,1,0.352358,0.864945,[25 30] ; [21 17],[27.20430108 27.79569892] ; [18.79569892 19.20430108],0
a1,1,0.362121,0.830523,[ 3 52] ; [ 4 34],[ 4.13978495 50.86021505] ; [ 2.86021505 35.13978495],0
u3,1,0.371776,0.797721,[16  4] ; [10  5],[14.85714286  5.14285714] ; [11.14285714  3.85714286],0
n2,1,0.384206,0.7572,[16  5] ; [14  2],[17.02702703  3.97297297] ; [12.97297297  3.02702703],0
d2,1,0.390743,0.736629,[18 36] ; [16 22],[19.95652174 34.04347826] ; [14.04347826 23.95652174],0
a5,1,0.417376,0.657693,[35 20] ; [21 17],[33.11827957 21.88172043] ; [22.88172043 15.11827957],0
s4,1,0.433437,0.613597,[12 43] ; [11 27],[13.60215054 41.39784946] ; [ 9.39784946 28.60215054],0
b4,1,0.456473,0.55453,[29 26] ; [23 15],[30.75268817 24.24731183] ; [21.24731183 16.75268817],0
p4,1,0.458319,0.549997,[21 34] ; [17 20],[22.7173913 32.2826087] ; [15.2826087 21.7173913],0
n3,1,0.473289,0.514286,[15  6] ; [9 6],[14.  7.] ; [10.  5.],0
s1,1,0.482594,0.492996,[ 5 48] ; [ 2 35],[ 4.12222222 48.87777778] ; [ 2.87777778 34.12222222],0
r2,1,0.523876,0.406255,[49  5] ; [32  5],[48.06593407  5.93406593] ; [32.93406593  4.06593407],0
