Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7e-06,20.230773,[44 21] ; [ 9 31],[32.80952381 32.19047619] ; [20.19047619 19.80952381],1
p6,1,0.001194,10.499557,[28 39] ; [ 5 36],[20.47222222 46.52777778] ; [12.52777778 28.47222222],0
p3,1,0.001794,9.749715,[41 26] ; [12 28],[33.18691589 33.81308411] ; [19.81308411 20.18691589],0
p2,1,0.010721,6.510928,[58  9] ; [27 14],[52.73148148 14.26851852] ; [32.26851852  8.73148148],0
u2,1,0.011908,6.324501,[16 14] ; [ 3 15],[11.875 18.125] ; [ 7.125 10.875],0
p4,1,0.021137,5.315471,[43 24] ; [17 24],[37.22222222 29.77777778] ; [22.77777778 18.22222222],0
b1,1,0.03325,4.532859,[30 37] ; [10 31],[24.81481481 42.18518519] ; [15.18518519 25.81481481],0
s5,1,0.036363,4.379985,[20 46] ; [ 5 35],[15.56603774 50.43396226] ; [ 9.43396226 30.56603774],0
s1,1,0.051946,3.777509,[ 1 64] ; [ 4 37],[ 3.06603774 61.93396226] ; [ 1.93396226 39.06603774],0
s7,1,0.054216,3.706039,[29 32] ; [11 28],[24.4 36.6] ; [15.6 23.4],0
r3,1,0.057435,3.609957,[63  4] ; [33  7],[60.11214953  6.88785047] ; [35.88785047  4.11214953],0
s8,1,0.080712,3.050502,[27 39] ; [10 31],[22.82242991 43.17757009] ; [14.17757009 26.82242991],0
a4,1,0.114984,2.484344,[21 46] ; [ 7 33],[17.53271028 49.46728972] ; [10.46728972 29.53271028],0
a1,1,0.119839,2.419423,[ 1 66] ; [ 3 38],[ 2.48148148 64.51851852] ; [ 1.51851852 39.48148148],0
v4,1,0.123008,2.378595,[62  5] ; [34  7],[59.55555556  7.44444444] ; [36.44444444  4.55555556],0
p11,1,0.135018,2.233842,[50 17] ; [25 16],[46.52777778 20.47222222] ; [28.47222222 12.52777778],0
p10,1,0.158756,1.986031,[54 12] ; [28 12],[51.05660377 14.94339623] ; [30.94339623  9.05660377],0
