Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,23.262297,[ 2 28] ; [52 39],[13.38842975 16.61157025] ; [40.61157025 50.38842975],1
a7,1,0.000201,13.825805,[13 17] ; [72 19],[21.07438017  8.92561983] ; [63.92561983 27.07438017],1
v2,1,0.000205,13.78182,[ 5 24] ; [48 36],[13.60176991 15.39823009] ; [39.39823009 44.60176991],1
d4,1,0.000265,13.299504,[15 14] ; [77 14],[22.23333333  6.76666667] ; [69.76666667 21.23333333],1
r3,1,0.000442,12.345679,[22  8] ; [86  4],[27.  3.] ; [81.  9.],1
r1,1,0.00048,12.192823,[15 15] ; [74 16],[22.25  7.75] ; [66.75 23.25],1
d3,1,0.001745,9.8,[13 17] ; [67 23],[20. 10.] ; [60. 30.],0
r4,1,0.002555,9.100929,[18 12] ; [78 13],[23.80165289  6.19834711] ; [72.19834711 18.80165289],0
a6,1,0.00333,8.617456,[15 15] ; [71 20],[21.32231405  8.67768595] ; [64.67768595 26.32231405],0
r2,1,0.00519,7.812013,[21  8] ; [83  7],[25.34453782  3.65546218] ; [78.65546218 11.34453782],0
v4,1,0.019533,5.45313,[23  5] ; [86  4],[25.86440678  2.13559322] ; [83.13559322  6.86440678],0
a5,1,0.037472,4.328828,[13 17] ; [59 32],[17.85123967 12.14876033] ; [54.14876033 36.85123967],0
p4,1,0.102661,2.663712,[11 19] ; [49 42],[14.87603306 15.12396694] ; [45.12396694 45.87603306],0
n4,1,0.10283,2.66109,[12 18] ; [52 39],[15.8677686 14.1322314] ; [48.1322314 42.8677686],0
d2,1,0.107311,2.593386,[ 7 23] ; [36 55],[10.66115702 19.33884298] ; [32.33884298 58.66115702],0
s8,1,0.13118,2.278486,[ 7 23] ; [35 56],[10.41322314 19.58677686] ; [31.58677686 59.41322314],0
p10,1,0.131757,2.271683,[16 14] ; [61 28],[19.41176471 10.58823529] ; [57.58823529 31.41176471],0
a2,1,0.145104,2.122978,[ 2 28] ; [16 75],[ 4.46280992 25.53719008] ; [13.53719008 77.46280992],0
p8,1,0.170265,1.880607,[10 20] ; [42 46],[13.22033898 16.77966102] ; [38.77966102 49.22033898],0
n3,1,0.178529,1.809829,[9 1] ; [17  8],[7.42857143 2.57142857] ; [18.57142857  6.42857143],0
s3,1,0.187288,1.738821,[19 11] ; [44 45],[15.88235294 14.11764706] ; [47.11764706 41.88235294],0
v1,1,0.188127,1.732225,[11 19] ; [44 43],[14.1025641 15.8974359] ; [40.8974359 46.1025641],0
s4,1,0.279203,1.170963,[ 8 22] ; [16 75],[ 5.95041322 24.04958678] ; [18.04958678 72.95041322],0
p6,1,0.353487,0.860901,[ 6 23] ; [26 62],[ 7.93162393 21.06837607] ; [24.06837607 63.93162393],0
u2,1,0.366511,0.815459,[8 5] ; [24  8],[9.24444444 3.75555556] ; [22.75555556  9.24444444],0
s5,1,0.389771,0.739655,[ 5 24] ; [22 66],[ 6.69230769 22.30769231] ; [20.30769231 67.69230769],0
p1,1,0.398025,0.714286,[ 3 27] ; [ 5 85],[ 2. 28.] ; [ 6. 84.],0
n1,1,0.436887,0.604444,[2 8] ; [ 8 16],[2.94117647 7.05882353] ; [ 7.05882353 16.94117647],0
s2,1,0.449758,0.571262,[10 20] ; [37 53],[11.75 18.25] ; [35.25 54.75],0
s7,1,0.472446,0.516248,[ 8 19] ; [32 54],[ 9.55752212 17.44247788] ; [30.44247788 55.55752212],0
v3,1,0.479317,0.500417,[ 6 24] ; [22 61],[ 7.43362832 22.56637168] ; [20.56637168 62.43362832],0
a3,1,0.489084,0.47854,[17 13] ; [58 33],[18.59504132 11.40495868] ; [56.40495868 34.59504132],0
b4,1,0.493037,0.469892,[16 14] ; [55 36],[17.60330579 12.39669421] ; [53.39669421 37.60330579],0
p3,1,0.550407,0.356589,[11 19] ; [39 52],[12.39669421 17.60330579] ; [37.60330579 53.39669421],0
p7,1,0.552262,0.35328,[18 10] ; [51 37],[16.65517241 11.34482759] ; [52.34482759 35.65517241],0
b1,1,0.560819,0.338288,[17 13] ; [46 45],[15.61983471 14.38016529] ; [47.38016529 43.61983471],0
s6,1,0.56336,0.33392,[16 14] ; [54 37],[17.3553719 12.6446281] ; [52.6446281 38.3553719],0
b2,1,0.581148,0.304383,[ 3 13] ; [13 38],[ 3.82089552 12.17910448] ; [12.17910448 38.82089552],0
b3,1,0.581148,0.304383,[ 3 13] ; [13 38],[ 3.82089552 12.17910448] ; [12.17910448 38.82089552],0
u1,1,0.59431,0.283663,[ 2 28] ; [ 9 82],[ 2.72727273 27.27272727] ; [ 8.27272727 82.72727273],0
p11,1,0.628018,0.234758,[19 11] ; [62 29],[20.08264463  9.91735537] ; [60.91735537 30.08264463],0
