Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.861619,[21 16] ; [105 377],[ 8.98265896 28.01734104] ; [117.01734104 364.98265896],1
p1,1,1.9e-05,18.276024,[ 9 29] ; [ 27 462],[ 2.59582543 35.40417457] ; [ 33.40417457 455.59582543],1
p3,1,0.00091,11.00217,[24 14] ; [177 314],[14.43856333 23.56143667] ; [186.56143667 304.43856333],1
p4,1,0.001653,9.899858,[26 11] ; [213 276],[16.81178707 20.18821293] ; [222.18821293 266.81178707],0
s7,1,0.016213,5.779656,[20 16] ; [165 300],[13.29341317 22.70658683] ; [171.70658683 293.29341317],0
p8,1,0.045299,4.007471,[21 16] ; [195 293],[15.22285714 21.77714286] ; [200.77714286 287.22285714],0
v1,1,0.049571,3.855922,[22 14] ; [210 265],[16.3444227 19.6555773] ; [215.6555773 259.3444227],0
p9,1,0.052833,3.749204,[33  4] ; [362 120],[28.15992293  8.84007707] ; [366.84007707 115.15992293],0
r2,1,0.05511,3.678764,[31  7] ; [440  43],[34.35316699  3.64683301] ; [436.64683301  46.35316699],0
a2,1,0.087227,2.924821,[ 4 34] ; [110 382],[ 8.17358491 29.82641509] ; [105.82641509 386.17358491],0
v3,1,0.087321,2.923088,[18 18] ; [168 302],[13.23320158 22.76679842] ; [172.76679842 297.23320158],0
s8,1,0.093243,2.817481,[17 20] ; [159 331],[12.35673624 24.64326376] ; [163.64326376 326.35673624],0
p12,1,0.102799,2.66158,[ 4 33] ; [ 23 468],[ 1.89204545 35.10795455] ; [ 25.10795455 465.89204545],0
s1,1,0.118749,2.433748,[ 3 35] ; [ 15 469],[ 1.31034483 36.68965517] ; [ 16.68965517 467.31034483],0
d2,1,0.120828,2.40655,[22 16] ; [219 269],[17.41064639 20.58935361] ; [223.58935361 264.41064639],0
n6,1,0.125771,2.34394,[32  5] ; [367 120],[28.17366412  8.82633588] ; [370.82633588 116.17366412],0
s6,1,0.128044,2.316055,[24 12] ; [262 227],[19.61142857 16.38857143] ; [266.38857143 222.61142857],0
p10,1,0.128206,2.314096,[31  6] ; [352 135],[27.04389313  9.95610687] ; [355.95610687 131.04389313],0
b1,1,0.143976,2.134942,[19 19] ; [187 305],[14.76981132 23.23018868] ; [191.23018868 300.76981132],0
n4,1,0.154404,2.028195,[31  7] ; [346 143],[27.18406072 10.81593928] ; [349.81593928 139.18406072],0
b3,1,0.156,2.012578,[13 15] ; [ 96 194],[ 9.59748428 18.40251572] ; [ 99.40251572 190.59748428],0
b2,1,0.156,2.012578,[13 15] ; [ 96 194],[ 9.59748428 18.40251572] ; [ 99.40251572 190.59748428],0
a6,1,0.171968,1.865704,[22 16] ; [337 154],[25.78827977 12.21172023] ; [333.21172023 157.78827977],0
n5,1,0.179603,1.800908,[30  8] ; [333 153],[26.32442748 11.67557252] ; [336.67557252 149.32442748],0
r3,1,0.205567,1.602377,[32  6] ; [442  46],[34.24334601  3.75665399] ; [439.75665399  48.24334601],0
d1,1,0.210569,1.567512,[24 14] ; [259 233],[20.29056604 17.70943396] ; [262.70943396 229.29056604],0
a5,1,0.220548,1.500805,[30  8] ; [342 150],[26.67169811 11.32830189] ; [345.32830189 146.67169811],0
b5,1,0.22867,1.449116,[19 19] ; [295 197],[22.51320755 15.48679245] ; [291.48679245 200.51320755],0
a7,1,0.362562,0.828999,[24 14] ; [344 146],[26.48484848 11.51515152] ; [341.51515152 148.48484848],0
p2,1,0.388204,0.744562,[31  7] ; [370 121],[28.80529301  9.19470699] ; [372.19470699 118.80529301],0
n1,1,0.414993,0.66445,[5 5] ; [47 80],[3.79562044 6.20437956] ; [48.20437956 78.79562044],0
n3,1,0.416725,0.659531,[6 5] ; [84 42],[7.22627737 3.77372263] ; [82.77372263 43.22627737],0
p11,1,0.421541,0.646014,[30  8] ; [359 133],[27.89056604 10.10943396] ; [361.10943396 130.89056604],0
d4,1,0.439413,0.597816,[32  6] ; [386 103],[30.14041746  7.85958254] ; [387.85958254 101.14041746],0
s3,1,0.504663,0.445116,[16 22] ; [230 252],[17.97692308 20.02307692] ; [228.02307692 253.97692308],0
p7,1,0.510819,0.432389,[20 17] ; [234 249],[18.07307692 18.92692308] ; [235.92692308 247.07307692],0
