Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000175,14.081633,[46 45] ; [ 46 123],[32.2 58.8] ; [ 59.8 109.2],1
r3,1,0.000288,13.148775,[89  4] ; [135  36],[78.90909091 14.09090909] ; [145.09090909  25.90909091],1
r1,1,0.00787,7.062785,[74 21] ; [106  65],[64.28571429 30.71428571] ; [115.71428571  55.28571429],0
s2,1,0.011535,6.381041,[42 52] ; [ 50 121],[32.63396226 61.36603774] ; [ 59.36603774 111.63396226],0
p7,1,0.015482,5.860753,[50 44] ; [ 63 104],[40.69731801 53.30268199] ; [72.30268199 94.69731801],0
s6,1,0.01826,5.570984,[54 40] ; [71 97],[44.84732824 49.15267176] ; [80.15267176 87.84732824],0
d4,1,0.034777,4.456069,[78 17] ; [121  51],[70.80524345 24.19475655] ; [128.19475655  43.80524345],0
n3,1,0.041499,4.155537,[23  6] ; [41 30],[18.56 10.44] ; [45.44 25.56],0
s5,1,0.051779,3.782904,[30 59] ; [ 38 131],[23.45736434 65.54263566] ; [ 44.54263566 124.45736434],0
p9,1,0.053805,3.718728,[71 21] ; [109  57],[64.18604651 27.81395349] ; [115.81395349  50.18604651],0
v4,1,0.06734,3.346689,[84  9] ; [140  31],[78.90909091 14.09090909] ; [145.09090909  25.90909091],0
a7,1,0.077397,3.118721,[67 28] ; [102  69],[60.35714286 34.64285714] ; [108.64285714  62.35714286],0
r4,1,0.085148,2.963785,[77 18] ; [123  49],[71.16104869 23.83895131] ; [128.83895131  43.16104869],0
a3,1,0.096333,2.765225,[66 29] ; [100  69],[59.73484848 35.26515152] ; [106.26515152  62.73484848],0
s7,1,0.100201,2.702336,[34 58] ; [ 45 121],[28.17054264 63.82945736] ; [ 50.82945736 115.17054264],0
n5,1,0.105905,2.614295,[50 42] ; [111  61],[56.10606061 35.89393939] ; [104.89393939  67.10606061],0
p10,1,0.111939,2.526627,[64 28] ; [102  69],[58.06844106 33.93155894] ; [107.93155894  63.06844106],0
s8,1,0.113743,2.501435,[29 66] ; [ 37 133],[23.66037736 71.33962264] ; [ 42.33962264 127.66037736],0
