Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000805,11.229167,[ 9 35] ; [19 14],[16. 28.] ; [12. 21.],1
n3,1,0.004403,8.109694,[12  2] ; [2 6],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
s2,1,0.015815,5.823358,[18 25] ; [23 10],[23.19736842 19.80263158] ; [17.80263158 15.19736842],0
u2,1,0.035078,4.441387,[ 6 11] ; [9 3],[8.79310345 8.20689655] ; [6.20689655 5.79310345],0
v3,1,0.038654,4.276004,[11 32] ; [16 17],[15.27631579 27.72368421] ; [11.72368421 21.27631579],0
s3,1,0.071763,3.242233,[24 19] ; [25  8],[27.72368421 15.27631579] ; [21.27631579 11.72368421],0
a1,1,0.082637,3.012269,[ 1 43] ; [ 4 29],[ 2.85714286 41.14285714] ; [ 2.14285714 30.85714286],0
n4,1,0.125917,2.342132,[26 18] ; [25  8],[29.14285714 14.85714286] ; [21.85714286 11.14285714],0
u1,1,0.135453,2.228866,[ 5 39] ; [ 8 25],[ 7.42857143 36.57142857] ; [ 5.57142857 27.42857143],0
p3,1,0.150962,2.0625,[19 25] ; [ 9 24],[16. 28.] ; [12. 21.],0
p10,1,0.157942,1.993824,[ 8 34] ; [11 22],[10.64 31.36] ; [ 8.36 24.64],0
p2,1,0.177274,1.820331,[24 20] ; [23 10],[26.85714286 17.14285714] ; [20.14285714 12.85714286],0
p11,1,0.187871,1.734234,[20 24] ; [20 13],[22.85714286 21.14285714] ; [17.14285714 15.85714286],0
s1,1,0.190482,1.713883,[ 1 42] ; [ 3 30],[ 2.26315789 40.73684211] ; [ 1.73684211 31.26315789],0
a4,1,0.199143,1.648651,[11 32] ; [13 20],[13.57894737 29.42105263] ; [10.42105263 22.57894737],0
p5,1,0.219711,1.50626,[ 2 42] ; [ 4 29],[ 3.42857143 40.57142857] ; [ 2.57142857 30.42857143],0
v1,1,0.285496,1.140741,[16 28] ; [16 17],[18.28571429 25.71428571] ; [13.71428571 19.28571429],0
d4,1,0.291847,1.111083,[33 11] ; [28  5],[34.85714286  9.14285714] ; [26.14285714  6.85714286],0
n1,1,0.33235,0.939719,[6 7] ; [2 6],[4.95238095 8.04761905] ; [3.04761905 4.95238095],0
d3,1,0.338352,0.916667,[26 18] ; [23 10],[28. 16.] ; [21. 12.],0
r1,1,0.35094,0.870056,[32 12] ; [27  6],[33.71428571 10.28571429] ; [25.28571429  7.71428571],0
a2,1,0.360872,0.834857,[ 7 37] ; [ 8 25],[ 8.57142857 35.42857143] ; [ 6.42857143 26.57142857],0
b5,1,0.365821,0.81781,[31 13] ; [20 13],[29.14285714 14.85714286] ; [21.85714286 11.14285714],0
s5,1,0.373597,0.791667,[11 33] ; [11 21],[12.73684211 31.26315789] ; [ 9.26315789 22.73684211],0
r2,1,0.378445,0.775746,[37  7] ; [30  3],[38.28571429  5.71428571] ; [28.71428571  4.28571429],0
n6,1,0.409219,0.681067,[31 13] ; [26  7],[32.57142857 11.42857143] ; [24.42857143  8.57142857],0
n2,1,0.415522,0.662946,[11  3] ; [5 3],[10.18181818  3.81818182] ; [5.81818182 2.18181818],0
d1,1,0.429756,0.623482,[20 24] ; [18 15],[21.71428571 22.28571429] ; [16.28571429 16.71428571],0
p6,1,0.437414,0.603056,[ 9 35] ; [ 9 23],[10.42105263 33.57894737] ; [ 7.57894737 24.42105263],0
n5,1,0.44823,0.575123,[27 17] ; [23 10],[28.57142857 15.42857143] ; [21.42857143 11.57142857],0
v2,1,0.455639,0.556586,[18 24] ; [17 16],[19.6 22.4] ; [15.4 17.6],0
b3,1,0.462732,0.539279,[ 7 16] ; [ 6 22],[ 5.8627451 17.1372549] ; [ 7.1372549 20.8627451],0
b2,1,0.462732,0.539279,[ 7 16] ; [ 6 22],[ 5.8627451 17.1372549] ; [ 7.1372549 20.8627451],0
s4,1,0.470554,0.520674,[ 9 34] ; [ 9 23],[10.32 32.68] ; [ 7.68 24.32],0
v4,1,0.538971,0.377451,[38  6] ; [30  3],[38.85714286  5.14285714] ; [29.14285714  3.85714286],0
d5,1,0.54156,0.372656,[32 12] ; [26  7],[33.14285714 10.85714286] ; [24.85714286  8.14285714],0
p8,1,0.547986,0.360937,[17 27] ; [15 18],[18.28571429 25.71428571] ; [13.71428571 19.28571429],0
a5,1,0.547986,0.360937,[27 17] ; [18 15],[25.71428571 18.28571429] ; [19.28571429 13.71428571],0
a6,1,0.594853,0.282828,[24 20] ; [20 13],[25.14285714 18.85714286] ; [18.85714286 14.14285714],0
b4,1,0.632142,0.229167,[27 17] ; [22 11],[28. 16.] ; [21. 12.],0
a8,1,0.654388,0.200413,[ 4 35] ; [ 4 25],[ 4.58823529 34.41176471] ; [ 3.41176471 25.58823529],0
a3,1,0.685655,0.16383,[26 18] ; [21 12],[26.85714286 17.14285714] ; [20.14285714 12.85714286],0
d2,1,0.692791,0.156081,[22 22] ; [15 18],[21.14285714 22.85714286] ; [15.85714286 17.14285714],0
p7,1,0.695179,0.153535,[24 20] ; [16 16],[23.15789474 20.84210526] ; [16.84210526 15.15789474],0
p4,1,0.709397,0.13888,[24 19] ; [17 16],[23.19736842 19.80263158] ; [17.80263158 15.19736842],0
p1,1,0.712732,0.135563,[ 3 41] ; [ 3 30],[ 3.42857143 40.57142857] ; [ 2.57142857 30.42857143],0
b1,1,0.737322,0.112494,[27 17] ; [19 14],[26.28571429 17.71428571] ; [19.71428571 13.28571429],0
r4,1,0.873961,0.025163,[34 10] ; [26  7],[34.28571429  9.71428571] ; [25.71428571  7.28571429],0
a7,1,0.888256,0.019744,[30 14] ; [22 11],[29.71428571 14.28571429] ; [22.28571429 10.71428571],0
r3,1,1.0,0.0,[40  4] ; [30  3],[40.  4.] ; [30.  3.],0
u3,1,1.0,0.0,[12  6] ; [8 4],[12.  6.] ; [8. 4.],0
