Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.583867,[84 15] ; [ 2 12],[75.34513274 23.65486726] ; [10.65486726  3.34513274],1
p2,1,8.7e-05,15.398961,[68 31] ; [ 2 12],[61.32743363 37.67256637] ; [8.67256637 5.32743363],1
a1,1,0.000809,11.220023,[ 4 95] ; [ 4 10],[ 7.00884956 91.99115044] ; [ 0.99115044 13.00884956],1
v4,1,0.001,10.827675,[89 10] ; [8 6],[84.98230088 14.01769912] ; [12.01769912  1.98230088],0
r2,1,0.002421,9.19961,[91  8] ; [9 5],[87.61061947 11.38938053] ; [12.38938053  1.61061947],0
d4,1,0.012613,6.222581,[84 15] ; [8 6],[80.60176991 18.39823009] ; [11.39823009  2.60176991],0
r1,1,0.014395,5.988983,[79 20] ; [7 7],[75.34513274 23.65486726] ; [10.65486726  3.34513274],0
n6,1,0.015786,5.826543,[71 28] ; [5 8],[67.17857143 31.82142857] ; [8.82142857 4.17857143],0
p11,1,0.024514,5.057925,[53 46] ; [ 3 11],[49.0619469 49.9380531] ; [6.9380531 7.0619469],0
a4,1,0.024886,5.031786,[33 66] ; [9 5],[36.79646018 62.20353982] ; [5.20353982 8.79646018],0
s6,1,0.032015,4.597701,[51 47] ; [ 3 11],[47.25 50.75] ; [6.75 7.25],0
s2,1,0.041402,4.159482,[33 64] ; [ 1 13],[29.71171171 67.28828829] ; [4.28828829 9.71171171],0
v1,1,0.077586,3.114765,[38 61] ; [ 2 12],[35.04424779 63.95575221] ; [4.95575221 9.04424779],0
n1,1,0.082353,3.017846,[11 21] ; [6 3],[13.26829268 18.73170732] ; [3.73170732 5.26829268],0
s3,1,0.096014,2.77054,[44 54] ; [ 3 11],[41.125 56.875] ; [5.875 8.125],0
p3,1,0.137382,2.207045,[33 64] ; [ 2 12],[30.58558559 66.41441441] ; [4.41441441 9.58558559],0
s8,1,0.163734,1.939394,[23 75] ; [ 1 13],[21. 77.] ; [ 3. 11.],0
a5,1,0.171072,1.873528,[59 40] ; [11  3],[61.32743363 37.67256637] ; [8.67256637 5.32743363],0
s1,1,0.184218,1.763265,[ 5 93] ; [ 2 12],[ 6.125 91.875] ; [ 0.875 13.125],0
v2,1,0.185084,1.756319,[46 51] ; [ 4 10],[43.69369369 53.30630631] ; [6.30630631 7.69369369],0
p10,1,0.231163,1.433692,[29 69] ; [ 2 12],[27.125 70.875] ; [ 3.875 10.125],0
b1,1,0.232821,1.423544,[54 45] ; [10  4],[56.07079646 42.92920354] ; [7.92920354 6.07079646],0
p7,1,0.235869,1.405113,[44 53] ; [ 4 10],[41.94594595 55.05405405] ; [6.05405405 7.94594595],0
n5,1,0.260753,1.264754,[55 44] ; [10  4],[56.94690265 42.05309735] ; [8.05309735 5.94690265],0
b2,1,0.29216,1.109641,[17 41] ; [5 6],[18.49275362 39.50724638] ; [3.50724638 7.49275362],0
b3,1,0.29216,1.109641,[17 41] ; [5 6],[18.49275362 39.50724638] ; [3.50724638 7.49275362],0
u1,1,0.301261,1.068604,[18 81] ; [ 1 13],[16.6460177 82.3539823] ; [ 2.3539823 11.6460177],0
p8,1,0.344447,0.893808,[36 63] ; [ 3 10],[34.47321429 64.52678571] ; [4.52678571 8.47321429],0
s4,1,0.354086,0.858758,[12 85] ; [ 3 11],[13.10810811 83.89189189] ; [ 1.89189189 12.10810811],0
a3,1,0.379423,0.772571,[64 35] ; [10  3],[65.41071429 33.58928571] ; [8.58928571 4.41071429],0
n4,1,0.388947,0.742232,[68 31] ; [8 6],[66.5840708 32.4159292] ; [9.4159292 4.5840708],0
p5,1,0.394443,0.725201,[ 3 96] ; [ 1 12],[ 3.53571429 95.46428571] ; [ 0.46428571 12.53571429],0
v3,1,0.39668,0.718367,[32 66] ; [ 3 11],[30.625 67.375] ; [4.375 9.625],0
s5,1,0.400368,0.707221,[15 81] ; [ 1 13],[13.96363636 82.03636364] ; [ 2.03636364 11.96363636],0
p4,1,0.430191,0.622308,[46 52] ; [5 9],[44.625 53.375] ; [6.375 7.625],0
s7,1,0.443447,0.587347,[29 63] ; [ 3 11],[27.77358491 64.22641509] ; [4.22641509 9.77358491],0
u3,1,0.491557,0.473117,[20 15] ; [3 1],[20.64102564 14.35897436] ; [2.35897436 1.64102564],0
p6,1,0.514183,0.425546,[21 75] ; [ 2 12],[20.07272727 75.92727273] ; [ 2.92727273 11.07272727],0
b5,1,0.532945,0.388773,[65 34] ; [8 6],[63.95575221 35.04424779] ; [9.04424779 4.95575221],0
d5,1,0.534642,0.385561,[78 21] ; [10  4],[77.09734513 21.90265487] ; [10.90265487  3.09734513],0
n3,1,0.537471,0.380247,[22 11] ; [5 4],[21.21428571 11.78571429] ; [5.78571429 3.21428571],0
n2,1,0.658129,0.195804,[21 12] ; [5 4],[20.42857143 12.57142857] ; [5.57142857 3.42857143],0
a2,1,0.661032,0.192272,[23 76] ; [ 4 10],[23.65486726 75.34513274] ; [ 3.34513274 10.65486726],0
a8,1,0.784013,0.075127,[ 9 80] ; [ 1 12],[ 8.7254902 80.2745098] ; [ 1.2745098 11.7254902],0
d1,1,0.804051,0.061557,[53 46] ; [7 7],[52.56637168 46.43362832] ; [7.43362832 6.56637168],0
d3,1,0.894806,0.017484,[69 30] ; [10  4],[69.21238938 29.78761062] ; [9.78761062 4.21238938],0
p1,1,0.895477,0.01726,[ 8 90] ; [ 1 13],[ 7.875 90.125] ; [ 1.125 12.875],0
u2,1,0.911269,0.012418,[16 18] ; [2 2],[16.10526316 17.89473684] ; [1.89473684 2.10526316],0
a6,1,0.955683,0.003088,[70 29] ; [10  4],[70.08849558 28.91150442] ; [9.91150442 4.08849558],0
b4,1,0.962276,0.002237,[63 36] ; [9 5],[63.07964602 35.92035398] ; [8.92035398 5.07964602],0
d2,1,0.971779,0.001252,[50 49] ; [7 7],[49.9380531 49.0619469] ; [7.0619469 6.9380531],0
