Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.186969,[102  23] ; [ 7 15],[92.68707483 32.31292517] ; [16.31292517  5.68707483],1
v4,1,0.000217,13.682035,[113  10] ; [14  8],[107.73103448  15.26896552] ; [19.26896552  2.73103448],1
r3,1,0.001276,10.377075,[115  10] ; [15  7],[110.54421769  14.45578231] ; [19.45578231  2.54421769],0
s6,1,0.002172,9.397896,[67 58] ; [ 4 18],[60.37414966 64.62585034] ; [10.62585034 11.37414966],0
u3,1,0.002557,9.099689,[34 21] ; [ 2 11],[29.11764706 25.88235294] ; [6.88235294 6.11764706],0
d5,1,0.00451,8.066133,[89 35] ; [ 9 13],[83.23287671 40.76712329] ; [14.76712329  7.23287671],0
v2,1,0.007397,7.173891,[47 71] ; [ 2 19],[41.5971223 76.4028777] ; [ 7.4028777 13.5971223],0
n5,1,0.008927,6.837299,[33 91] ; [12 10],[38.21917808 85.78082192] ; [ 6.78082192 15.21917808],0
b1,1,0.00945,6.735648,[43 82] ; [14  8],[48.46938776 76.53061224] ; [ 8.53061224 13.46938776],0
r1,1,0.010289,6.584121,[81 43] ; [ 8 14],[75.5890411 48.4109589] ; [13.4109589  8.5890411],0
s2,1,0.01383,6.059676,[51 73] ; [ 3 19],[45.8630137 78.1369863] ; [ 8.1369863 13.8630137],0
a8,1,0.037948,4.307346,[  4 112] ; [ 3 18],[  5.9270073 110.0729927] ; [ 1.0729927 19.9270073],0
s3,1,0.038545,4.280818,[58 67] ; [ 5 17],[53.57142857 71.42857143] ; [ 9.42857143 12.57142857],0
s7,1,0.045512,3.999549,[33 88] ; [ 1 17],[29.5971223 91.4028777] ; [ 4.4028777 13.5971223],0
s4,1,0.051524,3.791169,[36 89] ; [ 2 20],[32.31292517 92.68707483] ; [ 5.68707483 16.31292517],0
d1,1,0.052671,3.754341,[56 69] ; [ 5 17],[51.8707483 73.1292517] ; [ 9.1292517 12.8707483],0
s5,1,0.058811,3.570613,[34 87] ; [ 2 20],[30.46153846 90.53846154] ; [ 5.53846154 16.46153846],0
v3,1,0.0901,2.872594,[23 96] ; [ 1 21],[20.25531915 98.74468085] ; [ 3.74468085 18.25531915],0
a6,1,0.155368,2.018739,[77 48] ; [10 12],[73.97959184 51.02040816] ; [13.02040816  8.97959184],0
d4,1,0.172209,1.86361,[91 33] ; [13  9],[88.32876712 35.67123288] ; [15.67123288  6.32876712],0
n2,1,0.172292,1.862886,[31 18] ; [4 6],[29.06779661 19.93220339] ; [5.93220339 4.06779661],0
p5,1,0.180226,1.795762,[  4 120] ; [ 2 19],[  5.13103448 118.86896552] ; [ 0.86896552 20.13103448],0
s8,1,0.199223,1.648061,[33 92] ; [ 3 19],[30.6122449 94.3877551] ; [ 5.3877551 16.6122449],0
a3,1,0.242667,1.365035,[68 57] ; [ 9 13],[65.47619048 59.52380952] ; [11.52380952 10.47619048],0
d2,1,0.252461,1.309636,[44 81] ; [ 5 17],[41.66666667 83.33333333] ; [ 7.33333333 14.66666667],0
a7,1,0.266218,1.236131,[88 36] ; [13  9],[85.78082192 38.21917808] ; [15.21917808  6.78082192],0
p10,1,0.298558,1.080623,[76 47] ; [11 11],[73.8 49.2] ; [13.2  8.8],0
p3,1,0.302102,1.064894,[36 89] ; [ 4 18],[34.01360544 90.98639456] ; [ 5.98639456 16.01360544],0
p2,1,0.34231,0.901761,[86 38] ; [13  9],[84.08219178 39.91780822] ; [14.91780822  7.08219178],0
b5,1,0.351742,0.867162,[72 53] ; [15  7],[73.97959184 51.02040816] ; [13.02040816  8.97959184],0
p12,1,0.367577,0.811841,[  2 123] ; [ 1 21],[  2.55102041 122.44897959] ; [ 0.44897959 21.55102041],0
b4,1,0.382803,0.761682,[67 58] ; [14  8],[68.87755102 56.12244898] ; [12.12244898  9.87755102],0
n6,1,0.398074,0.714136,[80 45] ; [12 10],[78.23129252 46.76870748] ; [13.76870748  8.23129252],0
p9,1,0.440475,0.595045,[81 42] ; [12  9],[79.4375 43.5625] ; [13.5625  7.4375],0
n1,1,0.4995,0.456,[15 34] ; [2 8],[14.11864407 34.88135593] ; [2.88135593 7.11864407],0
a2,1,0.501533,0.451691,[ 11 114] ; [ 1 21],[ 10.20408163 114.79591837] ; [ 1.79591837 20.20408163],0
p7,1,0.592124,0.287039,[62 58] ; [10 12],[60.84507042 59.15492958] ; [11.15492958 10.84507042],0
d3,1,0.644949,0.212327,[79 44] ; [13  9],[78.04137931 44.95862069] ; [13.95862069  8.04137931],0
n3,1,0.65467,0.200063,[33 16] ; [6 4],[32.38983051 16.61016949] ; [6.61016949 3.38983051],0
p6,1,0.658413,0.195458,[28 97] ; [ 4 18],[27.21088435 97.78911565] ; [ 4.78911565 17.21088435],0
b3,1,0.663748,0.189003,[15 47] ; [2 9],[14.43835616 47.56164384] ; [2.56164384 8.43835616],0
b2,1,0.663748,0.189003,[15 47] ; [2 9],[14.43835616 47.56164384] ; [2.56164384 8.43835616],0
p4,1,0.674653,0.176207,[51 73] ; [ 8 14],[50.10958904 73.89041096] ; [ 8.89041096 13.10958904],0
a1,1,0.748177,0.103069,[  4 121] ; [ 1 21],[  4.25170068 120.74829932] ; [ 0.74829932 21.25170068],0
u2,1,0.802675,0.062443,[28 28] ; [7 6],[28.4057971 27.5942029] ; [6.5942029 6.4057971],0
