Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.3e-05,17.237054,[176  86] ; [21 35],[162.3081761  99.6918239] ; [34.6918239 21.3081761],1
p7,1,4e-05,16.871566,[199  61] ; [27 28],[186.53968254  73.46031746] ; [39.46031746 15.53968254],1
p10,1,0.000554,11.925807,[245  21] ; [42 13],[237.82554517  28.17445483] ; [49.17445483  5.82554517],1
r3,1,0.004955,7.895608,[261   7] ; [50  6],[257.24691358  10.75308642] ; [53.75308642  2.24691358],0
p9,1,0.007428,7.166398,[248  18] ; [46 10],[242.86956522  23.13043478] ; [51.13043478  4.86956522],0
b1,1,0.017903,5.605582,[107 161] ; [32 24],[114.97530864 153.02469136] ; [24.02469136 31.97530864],0
p3,1,0.027599,4.852953,[167 101] ; [26 30],[159.64197531 108.35802469] ; [33.35802469 22.64197531],0
p2,1,0.064948,3.406298,[231  36] ; [43 13],[226.49535604  40.50464396] ; [47.50464396  8.49535604],0
r1,1,0.102633,2.664147,[225  42] ; [51  4],[228.85714286  38.14285714] ; [47.14285714  7.85714286],0
d4,1,0.128566,2.309735,[231  36] ; [44 12],[227.32198142  39.67801858] ; [47.67801858  8.32198142],0
u1,1,0.140626,2.171097,[ 57 211] ; [17 39],[ 61.20987654 206.79012346] ; [12.79012346 43.20987654],0
p1,1,0.15643,2.008405,[ 22 245] ; [ 8 48],[ 24.79876161 242.20123839] ; [ 5.20123839 50.79876161],0
p12,1,0.164791,1.929702,[ 37 228] ; [ 4 52],[ 33.84735202 231.15264798] ; [ 7.15264798 48.84735202],0
v2,1,0.176092,1.830301,[162  94] ; [30 26],[157.53846154  98.46153846] ; [34.46153846 21.53846154],0
b2,1,0.179644,1.800564,[ 88 101] ; [12 23],[ 84.375 104.625] ; [15.625 19.375],0
b3,1,0.179644,1.800564,[ 88 101] ; [12 23],[ 84.375 104.625] ; [15.625 19.375],0
a7,1,0.223765,1.48006,[178  89] ; [42 14],[181.85758514  85.14241486] ; [38.14241486 17.85758514],0
p4,1,0.230869,1.435497,[193  74] ; [36 20],[189.29721362  77.70278638] ; [39.70278638 16.29721362],0
s3,1,0.230995,1.434726,[203  60] ; [39 17],[199.51724138  63.48275862] ; [42.48275862 13.51724138],0
v3,1,0.241232,1.373378,[134 122] ; [24 31],[130.05787781 125.94212219] ; [27.94212219 27.05787781],0
v1,1,0.270207,1.215696,[172  86] ; [33 23],[168.43949045  89.56050955] ; [36.56050955 19.43949045],0
d2,1,0.273857,1.197326,[151 117] ; [36 20],[154.67901235 113.32098765] ; [32.32098765 23.67901235],0
b5,1,0.372196,0.79632,[155 113] ; [36 20],[157.98765432 110.01234568] ; [33.01234568 22.98765432],0
r2,1,0.407289,0.6867,[254  11] ; [54  1],[255.0625   9.9375] ; [52.9375  2.0625],0
s5,1,0.414406,0.666125,[115 142] ; [26 25],[117.6525974 139.3474026] ; [23.3474026 27.6525974],0
b4,1,0.421578,0.645911,[147 121] ; [34 22],[149.71604938 118.28395062] ; [31.28395062 24.71604938],0
a5,1,0.433188,0.614262,[218  50] ; [43 13],[215.88888889  52.11111111] ; [45.11111111 10.88888889],0
a8,1,0.447878,0.576018,[ 40 205] ; [10 38],[ 41.80887372 203.19112628] ; [ 8.19112628 39.80887372],0
p6,1,0.450701,0.568887,[133 132] ; [25 31],[130.43613707 134.56386293] ; [27.56386293 28.43613707],0
a2,1,0.457687,0.551544,[ 73 195] ; [18 38],[ 75.27160494 192.72839506] ; [15.72839506 40.27160494],0
s1,1,0.471915,0.517488,[  9 254] ; [ 3 52],[  9.9245283 253.0754717] ; [ 2.0754717 52.9245283],0
n2,1,0.472178,0.516874,[34 12] ; [18  4],[35.17647059 10.82352941] ; [16.82352941  5.17647059],0
s7,1,0.504598,0.445252,[207  52] ; [42  8],[208.70873786  50.29126214] ; [40.29126214  9.70873786],0
d1,1,0.523984,0.406045,[184  84] ; [36 20],[181.97530864  86.02469136] ; [38.02469136 17.97530864],0
n3,1,0.535661,0.383642,[32 14] ; [13  8],[30.89552239 15.10447761] ; [14.10447761  6.89552239],0
a1,1,0.536385,0.38228,[ 15 253] ; [ 2 54],[ 14.0617284 253.9382716] ; [ 2.9382716 53.0617284],0
u3,1,0.585759,0.297016,[34 19] ; [8 3],[34.78125 18.21875] ; [7.21875 3.78125],0
s6,1,0.598977,0.276542,[224  42] ; [47  7],[225.26875  40.73125] ; [45.73125  8.26875],0
n1,1,0.601508,0.272727,[21 23] ; [12 10],[22. 22.] ; [11. 11.],0
s4,1,0.631798,0.229631,[ 50 216] ; [ 9 47],[ 48.73913043 217.26086957] ; [10.26086957 45.73913043],0
n4,1,0.716961,0.131423,[243  25] ; [49  6],[242.27863777  25.72136223] ; [49.72136223  5.27863777],0
a6,1,0.731903,0.117372,[178  89] ; [36 20],[176.89783282  90.10216718] ; [37.10216718 18.89783282],0
s2,1,0.770692,0.084955,[193  71] ; [42 14],[193.875  70.125] ; [41.125 14.875],0
a4,1,0.838959,0.0413,[130 138] ; [28 28],[130.69135802 137.30864198] ; [27.30864198 28.69135802],0
u2,1,0.840223,0.040646,[32 21] ; [7 4],[32.296875 20.703125] ; [6.703125 4.296875],0
u4,1,0.873613,0.025303,[ 13 255] ; [ 3 53],[ 13.2345679 254.7654321] ; [ 2.7654321 53.2345679],0
p5,1,0.938274,0.005997,[ 46 218] ; [10 46],[ 46.2 217.8] ; [ 9.8 46.2],0
