Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,67.826422,[ 36 226] ; [55 43],[ 66.22777778 195.77222222] ; [24.77222222 73.22777778],1
s6,1,0.000331,12.88894,[101 155] ; [60 39],[116.10140845 139.89859155] ; [44.89859155 54.10140845],1
p3,1,0.000458,12.280852,[ 94 166] ; [56 43],[108.63509749 151.36490251] ; [41.36490251 57.63509749],1
p5,1,0.000458,12.279694,[ 16 246] ; [18 81],[ 24.67590028 237.32409972] ; [ 9.32409972 89.67590028],1
v3,1,0.000957,10.909001,[ 74 180] ; [46 50],[ 87.08571429 166.91428571] ; [32.91428571 63.08571429],1
p6,1,0.004431,8.098219,[ 60 197] ; [37 59],[ 70.6203966 186.3796034] ; [26.3796034 69.6203966],0
u1,1,0.004626,8.019979,[ 32 231] ; [24 75],[ 40.68508287 222.31491713] ; [15.31491713 83.68508287],0
p4,1,0.010776,6.50188,[117 140] ; [60 39],[127.77808989 129.22191011] ; [49.22191011 49.77808989],0
a3,1,0.01254,6.232809,[176  86] ; [79 19],[185.58333333  76.41666667] ; [69.41666667 28.58333333],0
p12,1,0.027624,4.85135,[  6 254] ; [ 7 90],[  9.46778711 250.53221289] ; [ 3.53221289 93.46778711],0
n6,1,0.046432,3.965868,[203  59] ; [86 13],[209.74515235  52.25484765] ; [79.25484765 19.74515235],0
s3,1,0.070104,3.280589,[ 53 205] ; [29 69],[ 59.42696629 198.57303371] ; [22.57303371 75.42696629],0
u3,1,0.071873,3.239716,[41 45] ; [14  6],[44.62264151 41.37735849] ; [10.37735849  9.62264151],0
a2,1,0.07194,3.238195,[ 49 214] ; [27 72],[ 55.21546961 207.78453039] ; [20.78453039 78.21546961],0
p7,1,0.086788,2.932969,[141 116] ; [63 34],[148.10169492 108.89830508] ; [55.89830508 41.10169492],0
n4,1,0.102693,2.663219,[181  81] ; [77 22],[187.2465374  74.7534626] ; [70.7534626 28.2465374],0
a8,1,0.113784,2.500856,[ 25 217] ; [14 69],[ 29.04 212.96] ; [ 9.96 73.04],0
p11,1,0.125681,2.345058,[192  71] ; [80 19],[197.61325967  65.38674033] ; [74.38674033 24.61325967],0
p10,1,0.147912,2.09365,[186  73] ; [77 20],[191.33988764  67.66011236] ; [71.66011236 25.33988764],0
n3,1,0.169386,1.888369,[48 19] ; [16 12],[45.13684211 21.86315789] ; [18.86315789  9.13684211],0
b5,1,0.172533,1.860794,[159 104] ; [52 47],[153.29558011 109.70441989] ; [57.70441989 41.29558011],0
u2,1,0.177116,1.821655,[41 44] ; [13  7],[43.71428571 41.28571429] ; [10.28571429  9.71428571],0
v1,1,0.204362,1.610926,[114 145] ; [50 47],[119.31460674 139.68539326] ; [44.68539326 52.31460674],0
b4,1,0.226716,1.461344,[167  96] ; [56 43],[162.01381215 100.98618785] ; [60.98618785 38.01381215],0
b3,1,0.232165,1.427549,[51 91] ; [34 43],[55.11415525 86.88584475] ; [29.88584475 47.11415525],0
b2,1,0.232165,1.427549,[51 91] ; [34 43],[55.11415525 86.88584475] ; [29.88584475 47.11415525],0
n5,1,0.237588,1.394851,[166  93] ; [70 29],[170.73743017  88.26256983] ; [65.26256983 33.73743017],0
p9,1,0.294013,1.101153,[199  62] ; [79 18],[202.67597765  58.32402235] ; [75.32402235 21.67597765],0
n1,1,0.367407,0.812416,[21 45] ; [12 17],[22.92631579 43.07368421] ; [10.07368421 18.92631579],0
d2,1,0.446453,0.579642,[128 133] ; [53 46],[131.225 129.775] ; [49.775 49.225],0
a5,1,0.457282,0.55254,[189  74] ; [75 24],[191.80110497  71.19889503] ; [72.19889503 26.80110497],0
d3,1,0.475892,0.508263,[195  68] ; [77 22],[197.61325967  65.38674033] ; [74.38674033 24.61325967],0
p8,1,0.481579,0.495286,[120 139] ; [49 48],[122.95224719 136.04775281] ; [46.04775281 50.95224719],0
s5,1,0.508143,0.437888,[ 49 205] ; [22 76],[ 51.23295455 202.76704545] ; [19.76704545 78.23295455],0
s4,1,0.562839,0.334813,[ 29 230] ; [ 9 90],[ 27.49162011 231.50837989] ; [10.50837989 88.49162011],0
r3,1,0.606463,0.265357,[240  23] ; [92  7],[241.20441989  21.79558011] ; [90.79558011  8.20441989],0
a1,1,0.612303,0.256834,[ 11 252] ; [ 3 96],[ 10.17127072 252.82872928] ; [ 3.82872928 95.17127072],0
r2,1,0.627704,0.235187,[237  20] ; [87  9],[235.88668555  21.11331445] ; [88.11331445  7.88668555],0
b1,1,0.639694,0.219143,[100 163] ; [35 64],[ 98.0801105 164.9198895] ; [36.9198895 62.0801105],0
d5,1,0.640525,0.218056,[229  34] ; [88 11],[230.30662983  32.69337017] ; [86.69337017 12.30662983],0
a6,1,0.705938,0.142368,[186  77] ; [68 31],[184.5359116  78.4640884] ; [69.4640884 29.5359116],0
v2,1,0.716883,0.131499,[137 119] ; [54 43],[138.51558074 117.48441926] ; [52.48441926 44.51558074],0
a7,1,0.717059,0.131328,[191  72] ; [70 29],[189.62154696  73.37845304] ; [71.37845304 27.62154696],0
v4,1,0.731177,0.118034,[235  27] ; [90  9],[235.87257618  26.12742382] ; [89.12742382  9.87257618],0
r1,1,0.731513,0.117727,[202  60] ; [78 21],[203.2132964  58.7867036] ; [76.7867036 22.2132964],0
n2,1,0.789113,0.071536,[45 23] ; [20  9],[45.56701031 22.43298969] ; [19.43298969  9.56701031],0
p1,1,0.842982,0.039236,[ 17 245] ; [ 7 92],[ 17.41828255 244.58171745] ; [ 6.58171745 92.41828255],0
p2,1,0.849249,0.036129,[199  60] ; [77 22],[199.67597765  59.32402235] ; [76.32402235 22.67597765],0
s1,1,0.869006,0.027199,[  6 254] ; [ 2 97],[  5.79387187 254.20612813] ; [ 2.20612813 96.79387187],0
u4,1,0.915629,0.011224,[  3 260] ; [ 1 98],[  2.90607735 260.09392265] ; [ 1.09392265 97.90607735],0
d1,1,0.947214,0.004383,[171  92] ; [64 35],[170.7320442  92.2679558] ; [64.2679558 34.7320442],0
r4,1,0.964586,0.001971,[221  42] ; [83 16],[220.86187845  42.13812155] ; [83.13812155 15.86187845],0
a4,1,0.967284,0.001682,[117 145] ; [44 54],[117.17222222 144.82777778] ; [43.82777778 54.17222222],0
