Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.002463,9.167621,[7 8] ; [96 22],[11.61654135  3.38345865] ; [91.38345865 26.61654135],0
n5,1,0.017695,5.626134,[8 7] ; [95 23],[11.61654135  3.38345865] ; [91.38345865 26.61654135],0
s3,1,0.032147,4.590629,[11  3] ; [56 60],[7.21538462 6.78461538] ; [59.78461538 56.21538462],0
b5,1,0.064876,3.408118,[ 5 10] ; [69 49],[8.34586466 6.65413534] ; [65.65413534 52.34586466],0
p6,1,0.068514,3.318266,[ 2 13] ; [43 73],[5.15267176 9.84732824] ; [39.84732824 76.15267176],0
s8,1,0.084541,2.975371,[ 3 12] ; [51 67],[6.09022556 8.90977444] ; [47.90977444 70.09022556],0
p4,1,0.110907,2.541256,[ 5 10] ; [64 52],[7.90076336 7.09923664] ; [61.09923664 54.90076336],0
b3,1,0.183144,1.771923,[2 7] ; [31 37],[3.85714286 5.14285714] ; [29.14285714 38.85714286],0
b2,1,0.183144,1.771923,[2 7] ; [31 37],[3.85714286 5.14285714] ; [29.14285714 38.85714286],0
s2,1,0.210868,1.565455,[9 5] ; [55 63],[6.78787879 7.21212121] ; [57.21212121 60.78787879],0
b1,1,0.220106,1.503683,[ 4 11] ; [51 67],[6.20300752 8.79699248] ; [48.79699248 69.20300752],0
v1,1,0.262402,1.256039,[7 8] ; [71 44],[9. 6.] ; [69. 46.],0
a4,1,0.29501,1.096615,[ 2 13] ; [30 87],[ 3.63636364 11.36363636] ; [28.36363636 88.63636364],0
d3,1,0.298556,1.080634,[8 7] ; [46 71],[6.13636364 8.86363636] ; [47.86363636 69.13636364],0
p5,1,0.298568,1.080579,[ 1 14] ; [20 97],[ 2.38636364 12.61363636] ; [18.61363636 98.38636364],0
b4,1,0.323324,0.975453,[11  4] ; [71 47],[9.2481203 5.7518797] ; [72.7518797 45.2481203],0
u3,1,0.337932,0.918261,[3 1] ; [22 22],[2.08333333 1.91666667] ; [22.91666667 21.08333333],0
s5,1,0.34594,0.888295,[6 8] ; [35 80],[4.4496124 9.5503876] ; [36.5503876 78.4496124],0
s6,1,0.376281,0.782817,[10  3] ; [75 41],[8.56589147 4.43410853] ; [76.43410853 39.56589147],0
u2,1,0.382431,0.762873,[3 1] ; [23 21],[2.16666667 1.83333333] ; [23.83333333 20.16666667],0
a3,1,0.406959,0.687668,[11  4] ; [73 44],[9.54545455 5.45454545] ; [74.45454545 42.54545455],0
a6,1,0.436197,0.606266,[7 8] ; [67 50],[8.40909091 6.59090909] ; [65.59090909 51.40909091],0
a5,1,0.456117,0.555407,[8 7] ; [74 43],[9.31818182 5.68181818] ; [72.68181818 44.31818182],0
p11,1,0.47306,0.514819,[12  3] ; [84 34],[10.82706767  4.17293233] ; [85.17293233 32.82706767],0
u1,1,0.529703,0.394961,[ 1 14] ; [  4 114],[ 0.56390977 14.43609023] ; [  4.43609023 113.56390977],0
p2,1,0.588075,0.29336,[12  3] ; [86 31],[11.13636364  3.86363636] ; [86.86363636 30.13636364],0
n6,1,0.61441,0.253803,[13  2] ; [96 22],[12.29323308  2.70676692] ; [96.70676692 21.29323308],0
r1,1,0.628267,0.234418,[11  4] ; [93 25],[11.72932331  3.27067669] ; [92.27067669 25.72932331],0
p3,1,0.644284,0.213183,[7 8] ; [62 55],[7.84090909 7.15909091] ; [61.15909091 55.84090909],0
a8,1,0.673261,0.177811,[ 2 10] ; [14 99],[ 1.536 10.464] ; [14.464 98.536],0
a7,1,0.682101,0.16777,[10  5] ; [71 45],[9.27480916 5.72519084] ; [71.72519084 44.27480916],0
p7,1,0.777512,0.079842,[10  5] ; [73 43],[9.50381679 5.49618321] ; [73.49618321 42.50381679],0
p9,1,0.782284,0.076366,[11  3] ; [88 29],[10.58015267  3.41984733] ; [88.41984733 28.58015267],0
p8,1,0.783892,0.075214,[7 8] ; [59 58],[7.5 7.5] ; [58.5 58.5],0
a1,1,0.796066,0.066792,[ 1 14] ; [  6 112],[ 0.78947368 14.21052632] ; [  6.21052632 111.78947368],0
v2,1,0.819049,0.052335,[10  5] ; [80 35],[10.38461538  4.61538462] ; [79.61538462 35.38461538],0
p10,1,0.83016,0.046009,[11  4] ; [88 28],[11.33587786  3.66412214] ; [87.66412214 28.33587786],0
d5,1,0.848656,0.036418,[8 7] ; [66 52],[8.34586466 6.65413534] ; [65.65413534 52.34586466],0
s7,1,0.886913,0.020224,[8 7] ; [56 53],[7.74193548 7.25806452] ; [56.25806452 52.74193548],0
d4,1,0.889394,0.019341,[9 6] ; [68 49],[8.75 6.25] ; [68.25 48.75],0
a2,1,0.894294,0.017655,[ 1 14] ; [  9 109],[ 1.12781955 13.87218045] ; [  8.87218045 109.12781955],0
d2,1,0.910896,0.012524,[ 2 13] ; [ 17 101],[ 2.14285714 12.85714286] ; [ 16.85714286 101.14285714],0
n3,1,0.965387,0.001883,[3 1] ; [19  6],[3.03448276 0.96551724] ; [18.96551724  6.03448276],0
p12,1,0.980272,0.000611,[ 1 14] ; [  8 109],[ 1.02272727 13.97727273] ; [  7.97727273 109.02272727],0
