Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,25.753357,[69 13] ; [10 19],[58.36036036 23.63963964] ; [20.63963964  8.36036036],1
a4,1,2.1e-05,18.14043,[49 33] ; [ 4 25],[39.15315315 42.84684685] ; [13.84684685 15.15315315],1
d2,1,0.000679,11.544771,[52 29] ; [ 8 21],[44.18181818 36.81818182] ; [15.81818182 13.18181818],1
r2,1,0.005016,7.873678,[81  1] ; [25  4],[78.30630631  3.69369369] ; [27.69369369  1.30630631],0
d4,1,0.012782,6.199045,[71 11] ; [19 10],[66.48648649 15.51351351] ; [23.51351351  5.48648649],0
v2,1,0.020948,5.331101,[46 35] ; [ 8 18],[40.87850467 40.12149533] ; [13.12149533 12.87850467],0
n4,1,0.033842,4.502646,[71 11] ; [20  9],[67.22522523 14.77477477] ; [23.77477477  5.22522523],0
u1,1,0.069829,3.287046,[18 64] ; [ 2 27],[14.77477477 67.22522523] ; [ 5.22522523 23.77477477],0
d1,1,0.094899,2.789243,[54 28] ; [14 15],[50.23423423 31.76576577] ; [17.76576577 11.23423423],0
p11,1,0.110284,2.550146,[61 21] ; [17 12],[57.62162162 24.37837838] ; [20.37837838  8.62162162],0
p8,1,0.143748,2.137373,[29 53] ; [ 6 23],[25.85585586 56.14414414] ; [ 9.14414414 19.85585586],0
p1,1,0.17813,1.81316,[11 71] ; [ 7 22],[13.2972973 68.7027027] ; [ 4.7027027 24.2972973],0
n5,1,0.181703,1.783641,[64 18] ; [19 10],[61.31531532 20.68468468] ; [21.68468468  7.31531532],0
b5,1,0.185628,1.751982,[45 37] ; [20  9],[48.01801802 33.98198198] ; [16.98198198 12.01801802],0
s2,1,0.195148,1.678322,[49 32] ; [13 15],[46.0733945 34.9266055] ; [15.9266055 12.0733945],0
s7,1,0.196143,1.670864,[36 37] ; [ 9 17],[33.18181818 39.81818182] ; [11.81818182 14.18181818],0
p2,1,0.205115,1.605578,[58 24] ; [24  5],[60.57657658 21.42342342] ; [21.42342342  7.57657658],0
n2,1,0.259509,1.271377,[17  6] ; [3 3],[15.86206897  7.13793103] ; [4.13793103 1.86206897],0
b4,1,0.270149,1.215992,[50 32] ; [21  8],[52.45045045 29.54954955] ; [18.54954955 10.45045045],0
r1,1,0.274482,1.194211,[64 17] ; [20  9],[61.85454545 19.14545455] ; [22.14545455  6.85454545],0
s3,1,0.309353,1.033437,[50 32] ; [14 14],[47.70909091 34.29090909] ; [16.29090909 11.70909091],0
v3,1,0.340693,0.907823,[28 51] ; [ 6 18],[26.0776699 52.9223301] ; [ 7.9223301 16.0776699],0
p9,1,0.35681,0.849091,[68 14] ; [21  7],[66.34545455 15.65454545] ; [22.65454545  5.34545455],0
a6,1,0.366525,0.815413,[53 29] ; [16 13],[50.97297297 31.02702703] ; [18.02702703 10.97297297],0
v1,1,0.392433,0.731389,[43 34] ; [13 15],[41.06666667 35.93333333] ; [14.93333333 13.06666667],0
b2,1,0.403735,0.697172,[22 32] ; [ 4 10],[20.64705882 33.35294118] ; [5.35294118 8.64705882],0
b3,1,0.403735,0.697172,[22 32] ; [ 4 10],[20.64705882 33.35294118] ; [5.35294118 8.64705882],0
p10,1,0.421469,0.646216,[62 20] ; [19  9],[60.38181818 21.61818182] ; [20.61818182  7.38181818],0
p4,1,0.428297,0.627438,[62 20] ; [24  5],[63.53153153 18.46846847] ; [22.46846847  6.53153153],0
s4,1,0.441408,0.592621,[13 67] ; [ 3 26],[11.74311927 68.25688073] ; [ 4.25688073 24.74311927],0
d5,1,0.447017,0.578203,[70 12] ; [23  6],[68.7027027 13.2972973] ; [24.2972973  4.7027027],0
s8,1,0.458819,0.548775,[40 41] ; [12 17],[38.29090909 42.70909091] ; [13.70909091 15.29090909],0
r4,1,0.494473,0.466779,[72 10] ; [24  5],[70.91891892 11.08108108] ; [25.08108108  3.91891892],0
u3,1,0.515339,0.423212,[9 4] ; [11  8],[8.125 4.875] ; [11.875  7.125],0
u2,1,0.524116,0.405785,[8 5] ; [9 9],[7.12903226 5.87096774] ; [9.87096774 8.12903226],0
p12,1,0.527469,0.399266,[ 9 73] ; [ 2 27],[ 8.12612613 73.87387387] ; [ 2.87387387 26.12612613],0
s6,1,0.53929,0.376857,[58 23] ; [19 10],[56.7 24.3] ; [20.3  8.7],0
b1,1,0.565878,0.329628,[39 43] ; [12 17],[37.67567568 44.32432432] ; [13.32432432 15.67567568],0
r3,1,0.607663,0.263593,[76  6] ; [26  3],[75.35135135  6.64864865] ; [26.64864865  2.35135135],0
p5,1,0.655017,0.199634,[ 9 72] ; [ 4 24],[ 9.66055046 71.33944954] ; [ 3.33944954 24.66055046],0
p6,1,0.663368,0.189458,[20 61] ; [ 6 23],[19.14545455 61.85454545] ; [ 6.85454545 22.14545455],0
a8,1,0.718538,0.129898,[ 4 69] ; [ 2 25],[ 4.38 68.62] ; [ 1.62 25.38],0
n3,1,0.723582,0.125086,[17  6] ; [4 2],[16.65517241  6.34482759] ; [4.34482759 1.65517241],0
s5,1,0.775125,0.081612,[24 52] ; [ 9 17],[24.58823529 51.41176471] ; [ 8.41176471 17.58823529],0
s1,1,0.844893,0.038274,[ 5 77] ; [ 2 26],[ 5.21818182 76.78181818] ; [ 1.78181818 26.21818182],0
v4,1,0.879076,0.023147,[77  5] ; [27  2],[76.82882883  5.17117117] ; [27.17117117  1.82882883],0
n6,1,0.899251,0.016029,[67 15] ; [24  5],[67.22522523 14.77477477] ; [23.77477477  5.22522523],0
n1,1,0.924393,0.009006,[12 11] ; [3 3],[11.89655172 11.10344828] ; [3.10344828 2.89655172],0
a7,1,0.946562,0.004492,[56 26] ; [20  9],[56.14414414 25.85585586] ; [19.85585586  9.14414414],0
d3,1,0.990394,0.000145,[51 31] ; [18 11],[50.97297297 31.02702703] ; [18.02702703 10.97297297],0
