Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3e-06,22.099015,[44 43] ; [ 9 56],[30.33552632 56.66447368] ; [22.66447368 42.33552632],1
p2,1,7.9e-05,15.573234,[75 14] ; [36 29],[64.14935065 24.85064935] ; [46.85064935 18.14935065],1
p8,1,0.000175,14.084077,[56 32] ; [21 43],[44.57894737 43.42105263] ; [32.42105263 31.57894737],1
p3,1,0.000344,12.813368,[49 40] ; [17 48],[38.14285714 50.85714286] ; [27.85714286 37.14285714],1
s7,1,0.000757,11.342593,[46 38] ; [17 46],[36. 48.] ; [27. 36.],1
p4,1,0.002121,9.441998,[53 36] ; [22 42],[43.62745098 45.37254902] ; [31.37254902 32.62745098],0
s8,1,0.00978,6.674446,[38 50] ; [15 50],[30.48366013 57.51633987] ; [22.51633987 42.48366013],0
p5,1,0.012701,6.210235,[18 70] ; [ 4 61],[12.65359477 75.34640523] ; [ 9.34640523 55.65359477],0
n2,1,0.049804,3.848049,[11  5] ; [17  1],[13.17647059  2.82352941] ; [14.82352941  3.17647059],0
s3,1,0.085102,2.964664,[57 32] ; [31 31],[51.86754967 37.13245033] ; [36.13245033 25.86754967],0
v2,1,0.104587,2.634162,[45 40] ; [24 37],[40.17123288 44.82876712] ; [28.82876712 32.17123288],0
s5,1,0.122501,2.385049,[31 57] ; [14 46],[26.75675676 61.24324324] ; [18.24324324 41.75675676],0
s4,1,0.127112,2.32743,[11 78] ; [14 51],[14.44805195 74.55194805] ; [10.55194805 54.44805195],0
b1,1,0.127638,2.320995,[41 48] ; [22 43],[36.40909091 52.59090909] ; [26.59090909 38.40909091],0
n4,1,0.133482,2.251531,[57 32] ; [49 16],[61.25974026 27.74025974] ; [44.74025974 20.25974026],0
a3,1,0.184558,1.760532,[50 39] ; [29 35],[45.95424837 43.04575163] ; [33.04575163 30.95424837],0
s1,1,0.206043,1.599011,[ 2 86] ; [ 4 59],[ 3.49668874 84.50331126] ; [ 2.50331126 60.49668874],0
d2,1,0.250105,1.322719,[25 64] ; [13 52],[21.96103896 67.03896104] ; [16.03896104 48.96103896],0
b4,1,0.256466,1.287732,[48 41] ; [41 24],[51.43506494 37.56493506] ; [37.56493506 27.43506494],0
n6,1,0.263867,1.248356,[76 13] ; [51 14],[73.3961039 15.6038961] ; [53.6038961 11.3961039],0
d1,1,0.297971,1.083252,[ 8 81] ; [ 3 62],[ 6.35714286 82.64285714] ; [ 4.64285714 60.35714286],0
s2,1,0.331522,0.942943,[43 46] ; [25 37],[40.0794702 48.9205298] ; [27.9205298 34.0794702],0
a7,1,0.342842,0.899775,[60 29] ; [39 26],[57.21428571 31.78571429] ; [41.78571429 23.21428571],0
n1,1,0.352957,0.862797,[ 5 11] ; [8 9],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
u3,1,0.362552,0.829035,[23 15] ; [18 18],[21.05405405 16.94594595] ; [19.94594595 16.05405405],0
p1,1,0.375594,0.785073,[14 75] ; [ 7 58],[12.13636364 76.86363636] ; [ 8.86363636 56.13636364],0
a2,1,0.382829,0.761598,[ 9 80] ; [ 4 61],[ 7.51298701 81.48701299] ; [ 5.48701299 59.51298701],0
r3,1,0.412848,0.670585,[86  3] ; [61  4],[84.95454545  4.04545455] ; [62.04545455  2.95454545],0
n3,1,0.414216,0.666667,[13  3] ; [11  5],[12.  4.] ; [12.  4.],0
r1,1,0.435705,0.607568,[73 16] ; [50 15],[71.08441558 17.91558442] ; [51.91558442 13.08441558],0
a5,1,0.453195,0.562649,[48 41] ; [39 26],[50.27922078 38.72077922] ; [36.72077922 28.27922078],0
u1,1,0.454651,0.559032,[ 5 84] ; [ 2 63],[ 4.04545455 84.95454545] ; [ 2.95454545 62.04545455],0
p12,1,0.463862,0.536561,[10 79] ; [ 5 60],[ 8.66883117 80.33116883] ; [ 6.33116883 58.66883117],0
p9,1,0.52132,0.411282,[68 20] ; [53 12],[69.59477124 18.40522876] ; [51.40522876 13.59477124],0
v1,1,0.532697,0.389245,[43 45] ; [28 36],[41.10526316 46.89473684] ; [29.89473684 34.10526316],0
p11,1,0.54811,0.360714,[72 17] ; [50 15],[70.50649351 18.49350649] ; [51.49350649 13.50649351],0
r2,1,0.653454,0.201573,[85  4] ; [63  2],[85.53246753  3.46753247] ; [62.46753247  2.53246753],0
a1,1,0.653454,0.201573,[ 4 85] ; [ 2 63],[ 3.46753247 85.53246753] ; [ 2.53246753 62.46753247],0
a4,1,0.659631,0.193972,[18 70] ; [15 49],[19.10526316 68.89473684] ; [13.89473684 50.10526316],0
p10,1,0.744161,0.106503,[64 24] ; [45 19],[63.10526316 24.89473684] ; [45.89473684 18.10526316],0
v4,1,0.746082,0.104853,[86  2] ; [64  1],[86.2745098  1.7254902] ; [63.7254902  1.2745098],0
a6,1,0.78905,0.07158,[58 31] ; [41 24],[57.21428571 31.78571429] ; [41.78571429 23.21428571],0
v3,1,0.800791,0.063667,[33 55] ; [22 40],[32.26666667 55.73333333] ; [22.73333333 39.26666667],0
