Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9e-05,15.343447,[28  8] ; [29 47],[18.32142857 17.67857143] ; [38.67857143 37.32142857],1
n4,1,0.001462,10.126005,[35  2] ; [52 25],[28.23684211  8.76315789] ; [58.76315789 18.23684211],0
v1,1,0.001931,9.614043,[28  8] ; [36 41],[20.38938053 15.61061947] ; [43.61061947 33.38938053],0
s4,1,0.00631,7.459677,[ 1 36] ; [17 57],[ 6. 31.] ; [12. 62.],0
a1,1,0.020229,5.392057,[ 4 33] ; [ 1 76],[ 1.62280702 35.37719298] ; [ 3.37719298 73.62280702],0
s8,1,0.022605,5.198612,[25 12] ; [34 42],[19.31858407 17.68141593] ; [39.68141593 36.31858407],0
p2,1,0.02835,4.806687,[28  9] ; [70  7],[31.80701754  5.19298246] ; [66.19298246 10.80701754],0
b4,1,0.044425,4.040343,[27 10] ; [41 36],[22.07017544 14.92982456] ; [45.92982456 31.07017544],0
p7,1,0.048142,3.905031,[23 12] ; [62 13],[27.04545455  7.95454545] ; [57.95454545 17.04545455],0
p12,1,0.065945,3.381186,[ 4 33] ; [ 2 75],[ 1.94736842 35.05263158] ; [ 4.05263158 72.94736842],0
p8,1,0.091959,2.839734,[24 13] ; [37 40],[19.79824561 17.20175439] ; [41.20175439 35.79824561],0
p5,1,0.123027,2.378358,[ 5 32] ; [ 4 73],[ 2.92105263 34.07894737] ; [ 6.07894737 70.92105263],0
a3,1,0.132075,2.267939,[27 10] ; [45 32],[23.36842105 13.63157895] ; [48.63157895 28.36842105],0
s7,1,0.132585,2.261978,[23 13] ; [36 38],[19.30909091 16.69090909] ; [39.69090909 34.30909091],0
p9,1,0.146229,2.111156,[33  4] ; [60 17],[30.18421053  6.81578947] ; [62.81578947 14.18421053],0
a5,1,0.222451,1.488488,[26 11] ; [45 32],[23.04385965 13.95614035] ; [47.95614035 29.04385965],0
d5,1,0.231296,1.432871,[31  6] ; [56 20],[28.48672566  8.51327434] ; [58.51327434 17.48672566],0
a4,1,0.231848,1.429486,[19 18] ; [30 46],[16.04424779 20.95575221] ; [32.95575221 43.04424779],0
n5,1,0.245,1.351593,[31  6] ; [57 20],[28.56140351  8.43859649] ; [59.43859649 17.56140351],0
d2,1,0.261751,1.259471,[20 17] ; [33 44],[17.20175439 19.79824561] ; [35.79824561 41.20175439],0
n6,1,0.312237,1.021192,[33  4] ; [63 14],[31.15789474  5.84210526] ; [64.84210526 12.15789474],0
u1,1,0.325095,0.96834,[ 8 29] ; [11 66],[ 6.16666667 30.83333333] ; [12.83333333 64.16666667],0
s3,1,0.341959,0.903072,[22 13] ; [41 36],[19.6875 15.3125] ; [43.3125 33.6875],0
