Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,8.7e-05,15.402036,[81 75] ; [239 102],[100.44265594  55.55734406] ; [219.55734406 121.44265594],1
p5,1,0.000235,13.532236,[ 12 145] ; [ 71 269],[ 26.2193159 130.7806841] ; [ 56.7806841 283.2193159],1
p9,1,0.001221,10.457976,[128  29] ; [313  29],[138.75150301  18.24849699] ; [302.24849699  39.75150301],0
p12,1,0.001676,9.874076,[  6 152] ; [ 44 298],[ 15.8 142.2] ; [ 34.2 307.8],0
p10,1,0.004586,8.035837,[125  31] ; [306  36],[135.01204819  20.98795181] ; [295.98795181  46.01204819],0
p6,1,0.009707,6.687936,[64 92] ; [182 158],[77.37096774 78.62903226] ; [168.62903226 171.37096774],0
u1,1,0.011711,6.354118,[ 23 135] ; [ 84 259],[ 33.74451098 124.25548902] ; [ 73.25548902 269.74451098],0
p7,1,0.011766,6.345737,[104  52] ; [263  77],[115.42741935  40.57258065] ; [251.57258065  88.42741935],0
s7,1,0.018064,5.589947,[75 80] ; [191 128],[86.98312236 68.01687764] ; [179.01687764 139.98312236],0
v3,1,0.026023,4.954487,[55 95] ; [156 172],[66.21338912 83.78661088] ; [144.78661088 183.21338912],0
n4,1,0.033032,4.544135,[122  35] ; [293  50],[130.31  26.69] ; [284.69  58.31],0
a3,1,0.042676,4.10818,[107  51] ; [261  81],[116.288  41.712] ; [251.712  90.288],0
b1,1,0.051259,3.799791,[ 51 107] ; [142 201],[60.86626747 97.13373253] ; [132.13373253 210.86626747],0
s5,1,0.067575,3.340969,[ 51 102] ; [138 190],[60.11850312 92.88149688] ; [128.88149688 199.11850312],0
n6,1,0.069579,3.292922,[132  25] ; [307  35],[138.12224449  18.87775551] ; [300.87775551  41.12224449],0
v2,1,0.081465,3.035438,[83 71] ; [206 125],[91.76494845 62.23505155] ; [197.23505155 133.76494845],0
p1,1,0.111982,2.526029,[ 12 146] ; [ 42 298],[ 17.13253012 140.86746988] ; [ 36.86746988 303.13253012],0
b5,1,0.122877,2.380262,[100  58] ; [192 151],[92.08782435 65.91217565] ; [199.91217565 143.08782435],0
d1,1,0.132393,2.264219,[96 62] ; [232 111],[103.44111776  54.55888224] ; [224.55888224 118.44111776],0
a1,1,0.134474,2.240078,[  5 153] ; [ 22 321],[  8.51497006 149.48502994] ; [ 18.48502994 324.51497006],0
n5,1,0.142564,2.15006,[122  36] ; [283  59],[127.98  30.02] ; [277.02  64.98],0
p11,1,0.159494,1.979021,[124  34] ; [287  56],[129.61676647  28.38323353] ; [281.38323353  61.61676647],0
s8,1,0.172175,1.863904,[73 84] ; [181 160],[80.07630522 76.92369478] ; [173.92369478 167.07630522],0
p2,1,0.181556,1.78484,[138  20] ; [311  30],[142.16833667  15.83166333] ; [306.83166333  34.16833667],0
a5,1,0.189934,1.71813,[118  40] ; [274  69],[123.6247505  34.3752495] ; [268.3752495  74.6247505],0
b3,1,0.199879,1.643258,[34 66] ; [ 91 128],[39.18495298 60.81504702] ; [ 85.81504702 133.18495298],0
b2,1,0.199879,1.643258,[34 66] ; [ 91 128],[39.18495298 60.81504702] ; [ 85.81504702 133.18495298],0
a2,1,0.202843,1.621785,[ 37 121] ; [ 99 244],[ 42.89021956 115.10978044] ; [ 93.10978044 249.89021956],0
s1,1,0.21322,1.54943,[  8 146] ; [ 10 331],[  5.6 148.4] ; [ 12.4 328.6],0
d5,1,0.246703,1.34188,[130  28] ; [295  47],[134.3  23.7] ; [290.7  51.3],0
d2,1,0.290766,1.116069,[79 78] ; [190 153],[84.466 72.534] ; [184.534 158.466],0
v1,1,0.299281,1.077395,[89 66] ; [207 125],[94.20944559 60.79055441] ; [201.79055441 130.20944559],0
u4,1,0.328899,0.953229,[  3 155] ; [ 12 331],[  4.73053892 153.26946108] ; [ 10.26946108 332.73053892],0
a4,1,0.39022,0.738257,[72 85] ; [171 171],[76.45490982 80.54509018] ; [166.54509018 175.45490982],0
s4,1,0.420186,0.649795,[ 24 132] ; [ 62 276],[ 27.15789474 128.84210526] ; [ 58.84210526 279.15789474],0
n1,1,0.45207,0.565456,[12 23] ; [22 30],[13.67816092 21.32183908] ; [20.32183908 31.67816092],0
s3,1,0.466145,0.531099,[89 66] ; [207 133],[92.68686869 62.31313131] ; [203.31313131 136.68686869],0
n3,1,0.47291,0.515169,[26  9] ; [42 10],[27.35632184  7.64367816] ; [40.64367816 11.35632184],0
u2,1,0.47624,0.507461,[28 21] ; [52 30],[29.92366412 19.07633588] ; [50.07633588 31.92366412],0
s6,1,0.492135,0.471856,[114  41] ; [256  79],[117.04081633  37.95918367] ; [252.95918367  82.04081633],0
d3,1,0.55526,0.347978,[120  38] ; [252  91],[117.31736527  40.68263473] ; [254.68263473  88.31736527],0
r2,1,0.585499,0.297429,[152   5] ; [333   8],[152.90160643   4.09839357] ; [332.09839357   8.90160643],0
s2,1,0.59191,0.287371,[85 71] ; [194 146],[87.75 68.25] ; [191.25 148.75],0
u3,1,0.592989,0.2857,[30 19] ; [54 28],[31.41984733 17.58015267] ; [52.58015267 29.41984733],0
a6,1,0.612143,0.257065,[107  51] ; [240 103],[109.43313373  48.56686627] ; [237.56686627 105.43313373],0
a8,1,0.629932,0.232153,[ 22 121] ; [ 42 265],[ 20.33777778 122.66222222] ; [ 43.66222222 263.33777778],0
