Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,40.172654,[ 8 21] ; [75 10],[21.11403509  7.88596491] ; [61.88596491 23.11403509],1
p11,1,2e-06,22.355249,[14 15] ; [77  9],[22.94782609  6.05217391] ; [68.05217391 17.94782609],1
b1,1,0.002171,9.399306,[16 13] ; [21 65],[ 9.33043478 19.66956522] ; [27.66956522 58.33043478],0
r4,1,0.002915,8.859941,[18 11] ; [75 11],[23.45217391  5.54782609] ; [69.54782609 16.45217391],0
p2,1,0.003025,8.792279,[17 12] ; [73 13],[22.69565217  6.30434783] ; [67.30434783 18.69565217],0
v1,1,0.005219,7.801782,[11 18] ; [56 27],[17.34821429 11.65178571] ; [49.65178571 33.34821429],0
b4,1,0.031588,4.620733,[23  6] ; [49 37],[18.15652174 10.84347826] ; [53.84347826 32.15652174],0
r3,1,0.038727,4.272807,[24  4] ; [83  3],[26.28070175  1.71929825] ; [80.71929825  5.28070175],0
r2,1,0.061001,3.509972,[22  6] ; [77  7],[24.75  3.25] ; [74.25  9.75],0
n3,1,0.062577,3.467743,[5 4] ; [19  3],[6.96774194 2.03225806] ; [17.03225806  4.96774194],0
a4,1,0.067887,3.333379,[ 3 26] ; [23 63],[ 6.55652174 22.44347826] ; [19.44347826 66.55652174],0
p3,1,0.070369,3.274403,[ 7 22] ; [37 49],[11.09565217 17.90434783] ; [32.90434783 53.09565217],0
s6,1,0.078626,3.093077,[14 15] ; [56 28],[17.96460177 11.03539823] ; [52.03539823 31.96460177],0
p8,1,0.085679,2.953749,[ 9 20] ; [42 43],[12.97368421 16.02631579] ; [38.02631579 46.97368421],0
p7,1,0.095214,2.783928,[14 13] ; [59 26],[17.59821429  9.40178571] ; [55.40178571 29.59821429],0
p4,1,0.126553,2.334284,[10 18] ; [45 41],[13.50877193 14.49122807] ; [41.49122807 44.50877193],0
b3,1,0.174998,1.839602,[ 2 14] ; [15 36],[ 4.05970149 11.94029851] ; [12.94029851 38.05970149],0
b2,1,0.174998,1.839602,[ 2 14] ; [15 36],[ 4.05970149 11.94029851] ; [12.94029851 38.05970149],0
n5,1,0.176078,1.830418,[17 12] ; [62 24],[19.92173913  9.07826087] ; [59.07826087 26.92173913],0
s7,1,0.180622,1.792497,[ 7 20] ; [33 49],[ 9.90825688 17.09174312] ; [30.09174312 51.90825688],0
p5,1,0.206761,1.593962,[ 2 27] ; [14 72],[ 4.03478261 24.96521739] ; [11.96521739 74.03478261],0
