Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.4e-05,18.868181,[159  97] ; [ 9 28],[146.78498294 109.21501706] ; [21.21501706 15.78498294],1
n5,1,0.000257,13.363349,[218  39] ; [25 16],[209.56711409  47.43288591] ; [33.43288591  7.56711409],1
p5,1,0.003306,8.63048,[ 66 192] ; [ 2 39],[ 58.67558528 199.32441472] ; [ 9.32441472 31.67558528],0
p2,1,0.003692,8.42934,[241  16] ; [33  8],[236.30201342  20.69798658] ; [37.69798658  3.30201342],0
s6,1,0.01003,6.629613,[186  63] ; [22 18],[179.21107266  69.78892734] ; [28.78892734 11.21107266],0
n6,1,0.012914,6.180919,[233  23] ; [32  9],[228.41750842  27.58249158] ; [36.58249158  4.41750842],0
s7,1,0.038187,4.296675,[144  96] ; [17 23],[138. 102.] ; [23. 17.],0
d3,1,0.040318,4.204436,[191  67] ; [24 17],[185.51839465  72.48160535] ; [29.48160535 11.51839465],0
u2,1,0.048345,3.897946,[44 26] ; [3 7],[41.125 28.875] ; [5.875 4.125],0
v1,1,0.049142,3.870505,[162  92] ; [19 21],[156.37414966  97.62585034] ; [24.62585034 15.37414966],0
d4,1,0.061381,3.499674,[223  34] ; [31 10],[219.05369128  37.94630872] ; [34.94630872  6.05369128],0
n4,1,0.073304,3.207446,[218  40] ; [30 11],[213.99331104  44.00668896] ; [34.00668896  6.99331104],0
a7,1,0.075626,3.156475,[191  66] ; [25 16],[186.28187919  70.71812081] ; [29.71812081 11.28187919],0
p12,1,0.093068,2.820488,[ 38 220] ; [ 2 38],[ 34.63087248 223.36912752] ; [ 5.36912752 34.63087248],0
s4,1,0.104466,2.636009,[ 52 202] ; [ 4 37],[ 48.21694915 205.78305085] ; [ 7.78305085 33.21694915],0
s2,1,0.109531,2.560978,[140 115] ; [17 24],[135.25337838 119.74662162] ; [21.74662162 19.25337838],0
b4,1,0.118861,2.432262,[153 105] ; [19 22],[148.41471572 109.58528428] ; [23.58528428 17.41471572],0
p9,1,0.146287,2.110544,[238  20] ; [35  6],[235.56521739  22.43478261] ; [37.43478261  3.56521739],0
a4,1,0.16445,1.932819,[124 133] ; [15 26],[119.87583893 137.12416107] ; [19.12416107 21.87583893],0
p10,1,0.230435,1.438174,[234  23] ; [34  6],[231.90572391  25.09427609] ; [36.09427609  3.90572391],0
d5,1,0.233664,1.418419,[214  43] ; [31 10],[211.29194631  45.70805369] ; [33.70805369  7.29194631],0
r1,1,0.242408,1.366538,[219  38] ; [32  9],[216.46644295  40.53355705] ; [34.53355705  6.46644295],0
b5,1,0.261425,1.261194,[133 125] ; [25 16],[136.33444816 121.66555184] ; [21.66555184 19.33444816],0
n1,1,0.320305,0.987701,[16 21] ; [1 4],[14.97619048 22.02380952] ; [2.02380952 2.97619048],0
d1,1,0.333592,0.934905,[171  87] ; [24 17],[168.26086957  89.73913043] ; [26.73913043 14.26086957],0
s5,1,0.347903,0.88109,[108 138] ; [14 25],[105.30526316 140.69473684] ; [16.69473684 22.30526316],0
n3,1,0.374692,0.788046,[22 15] ; [4 1],[22.9047619 14.0952381] ; [3.0952381 1.9047619],0
s3,1,0.426277,0.632945,[153 101] ; [22 19],[150.6779661 103.3220339] ; [24.3220339 16.6779661],0
a5,1,0.456812,0.553695,[208  50] ; [31 10],[206.22742475  51.77257525] ; [32.77257525  8.22742475],0
p7,1,0.50359,0.447362,[227  29] ; [34  6],[225.72972973  30.27027027] ; [35.27027027  4.72972973],0
a8,1,0.53892,0.377546,[ 33 199] ; [ 4 34],[ 31.79259259 200.20740741] ; [ 5.20740741 32.79259259],0
a3,1,0.561021,0.33794,[188  69] ; [31  9],[189.50505051  67.49494949] ; [29.49494949 10.50505051],0
r4,1,0.562788,0.3349,[239  19] ; [39  2],[239.87959866  18.12040134] ; [38.12040134  2.87959866],0
r3,1,0.572125,0.319139,[244  11] ; [40  1],[244.66216216  10.33783784] ; [39.33783784  1.66216216],0
a1,1,0.617318,0.249654,[ 18 240] ; [ 2 39],[ 17.25752508 240.74247492] ; [ 2.74247492 38.25752508],0
b1,1,0.650832,0.204852,[104 154] ; [15 26],[102.68227425 155.31772575] ; [16.31772575 24.68227425],0
n2,1,0.651253,0.204324,[26 11] ; [4 1],[26.42857143 10.57142857] ; [3.57142857 1.42857143],0
d2,1,0.673021,0.178089,[135 123] ; [20 21],[133.7458194 124.2541806] ; [21.2541806 19.7458194],0
v3,1,0.694871,0.153862,[118 132] ; [18 23],[116.83848797 133.16151203] ; [19.16151203 21.83848797],0
v4,1,0.722727,0.125895,[247   9] ; [40  1],[247.38047138   8.61952862] ; [39.61952862  1.38047138],0
s8,1,0.729767,0.119326,[138 117] ; [21 20],[136.97635135 118.02364865] ; [22.02364865 18.97635135],0
p11,1,0.744747,0.105998,[225  33] ; [35  6],[224.34782609  33.65217391] ; [35.65217391  5.34782609],0
b2,1,0.770471,0.085124,[62 99] ; [12 17],[62.70526316 98.29473684] ; [11.29473684 17.70526316],0
b3,1,0.770471,0.085124,[62 99] ; [12 17],[62.70526316 98.29473684] ; [11.29473684 17.70526316],0
u1,1,0.835195,0.043282,[ 54 204] ; [ 8 33],[ 53.49832776 204.50167224] ; [ 8.50167224 32.49832776],0
a6,1,0.859336,0.031407,[177  81] ; [28 12],[177.48322148  80.51677852] ; [27.51677852 12.48322148],0
a2,1,0.870738,0.026478,[ 66 192] ; [10 31],[ 65.57859532 192.42140468] ; [10.42140468 30.57859532],0
v2,1,0.89143,0.018631,[157  95] ; [26 15],[157.39249147  94.60750853] ; [25.60750853 15.39249147],0
s1,1,0.91951,0.010211,[  7 251] ; [ 1 40],[  6.90301003 251.09698997] ; [ 1.09698997 39.90301003],0
p1,1,0.922308,0.009511,[ 36 220] ; [ 6 35],[ 36.2020202 219.7979798] ; [ 5.7979798 35.2020202],0
u3,1,0.97216,0.001218,[41 28] ; [6 4],[41.05063291 27.94936709] ; [5.94936709 4.05063291],0
