Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.9e-05,18.27376,[60  6] ; [17 15],[51.85714286 14.14285714] ; [25.14285714  6.85714286],1
r3,1,0.000584,11.825383,[56  9] ; [18 15],[49.08163265 15.91836735] ; [24.91836735  8.08163265],1
p11,1,0.000729,11.414778,[49 17] ; [13 20],[41.33333333 24.66666667] ; [20.66666667 12.33333333],1
r4,1,0.001305,10.335634,[48 18] ; [13 20],[40.66666667 25.33333333] ; [20.33333333 12.66666667],0
v2,1,0.002462,9.16895,[29 35] ; [ 4 26],[22.46808511 41.53191489] ; [10.53191489 19.46808511],0
p2,1,0.005495,7.709016,[47 19] ; [14 19],[40.66666667 25.33333333] ; [20.33333333 12.66666667],0
s8,1,0.008336,6.959828,[16 50] ; [ 1 32],[11.33333333 54.66666667] ; [ 5.66666667 27.33333333],0
n4,1,0.009645,6.699248,[44 22] ; [13 20],[38. 28.] ; [19. 14.],0
p8,1,0.025925,4.961022,[27 38] ; [ 6 26],[22.11340206 42.88659794] ; [10.88659794 21.11340206],0
p3,1,0.028804,4.77931,[24 42] ; [ 5 28],[19.33333333 46.66666667] ; [ 9.66666667 23.33333333],0
p4,1,0.029503,4.738017,[27 39] ; [ 6 26],[22.2244898 43.7755102] ; [10.7755102 21.2244898],0
s3,1,0.040989,4.176472,[18 47] ; [16 17],[22.55102041 42.44897959] ; [11.44897959 21.55102041],0
s1,1,0.073929,3.193548,[ 2 64] ; [ 4 29],[ 4. 62.] ; [ 2. 31.],0
b4,1,0.086768,2.933333,[40 26] ; [14 19],[36. 30.] ; [18. 15.],0
p9,1,0.09167,2.844796,[44 21] ; [16 16],[40.20618557 24.79381443] ; [19.79381443 12.20618557],0
a4,1,0.106325,2.608008,[14 52] ; [12 21],[17.33333333 48.66666667] ; [ 8.66666667 24.33333333],0
a5,1,0.112502,2.518713,[31 35] ; [10 23],[27.33333333 38.66666667] ; [13.66666667 19.33333333],0
p10,1,0.115228,2.48102,[38 28] ; [13 19],[34.34693878 31.65306122] ; [16.65306122 15.34693878],0
r2,1,0.11769,2.447802,[55 11] ; [23 10],[52. 14.] ; [26.  7.],0
s7,1,0.122724,2.382209,[15 49] ; [ 3 27],[12.25531915 51.74468085] ; [ 5.74468085 24.25531915],0
a1,1,0.165682,1.921584,[ 3 63] ; [ 4 29],[ 4.66666667 61.33333333] ; [ 2.33333333 30.66666667],0
p7,1,0.188163,1.731943,[35 31] ; [12 19],[31.97938144 34.02061856] ; [15.02061856 15.97938144],0
a7,1,0.200618,1.637868,[35 31] ; [13 20],[32. 34.] ; [16. 17.],0
s4,1,0.238329,1.390449,[ 5 61] ; [ 5 28],[ 6.66666667 59.33333333] ; [ 3.33333333 29.66666667],0
v1,1,0.248911,1.329404,[25 39] ; [ 9 24],[22.43298969 41.56701031] ; [11.56701031 21.43298969],0
r1,1,0.251381,1.315615,[40 26] ; [16 17],[37.33333333 28.66666667] ; [18.66666667 14.33333333],0
v3,1,0.267163,1.231257,[19 46] ; [ 6 26],[16.75257732 48.24742268] ; [ 8.24742268 23.75257732],0
p6,1,0.300816,1.070573,[18 47] ; [ 6 27],[15.91836735 49.08163265] ; [ 8.08163265 24.91836735],0
b5,1,0.316761,1.002273,[39 27] ; [16 17],[36.66666667 29.33333333] ; [18.33333333 14.66666667],0
a6,1,0.318554,0.994873,[33 33] ; [13 20],[30.66666667 35.33333333] ; [15.33333333 17.66666667],0
n5,1,0.318803,0.993851,[42 24] ; [17 15],[39.73469388 26.26530612] ; [19.26530612 12.73469388],0
n3,1,0.336929,0.92208,[12  3] ; [11  6],[10.78125  4.21875] ; [12.21875  4.78125],0
a2,1,0.371576,0.798387,[ 5 61] ; [ 1 32],[ 4. 62.] ; [ 2. 31.],0
s2,1,0.478944,0.501266,[12 54] ; [ 8 25],[13.33333333 52.66666667] ; [ 6.66666667 26.33333333],0
u2,1,0.487147,0.482821,[10 22] ; [ 7 10],[11.10204082 20.89795918] ; [ 5.89795918 11.10204082],0
a8,1,0.49797,0.459259,[ 7 56] ; [ 2 28],[ 6.09677419 56.90322581] ; [ 2.90322581 27.09677419],0
n2,1,0.53564,0.383681,[13  3] ; [13  5],[12.23529412  3.76470588] ; [13.76470588  4.23529412],0
b1,1,0.569179,0.324059,[30 36] ; [17 16],[31.33333333 34.66666667] ; [15.66666667 17.33333333],0
d2,1,0.618841,0.2475,[15 51] ; [ 9 24],[16. 50.] ; [ 8. 25.],0
u3,1,0.638289,0.220987,[11 21] ; [ 7 10],[11.75510204 20.24489796] ; [ 6.24489796 10.75510204],0
p1,1,0.651077,0.204545,[ 8 58] ; [ 3 30],[ 7.33333333 58.66666667] ; [ 3.66666667 29.33333333],0
d1,1,0.745537,0.105319,[ 3 63] ; [ 2 31],[ 3.33333333 62.66666667] ; [ 1.66666667 31.33333333],0
d3,1,0.76623,0.088393,[24 42] ; [11 22],[23.33333333 42.66666667] ; [11.66666667 21.33333333],0
b3,1,0.812987,0.055968,[18 27] ; [ 7 12],[17.578125 27.421875] ; [ 7.421875 11.578125],0
b2,1,0.812987,0.055968,[18 27] ; [ 7 12],[17.578125 27.421875] ; [ 7.421875 11.578125],0
a3,1,0.830682,0.045722,[34 31] ; [16 16],[33.50515464 31.49484536] ; [16.49484536 15.50515464],0
d4,1,0.865541,0.028671,[28 38] ; [13 19],[27.6122449 38.3877551] ; [13.3877551 18.6122449],0
n1,1,0.967531,0.001657,[7 9] ; [ 8 10],[7.05882353 8.94117647] ; [ 7.94117647 10.05882353],0
u1,1,1.0,0.0,[ 2 64] ; [ 1 32],[ 2. 64.] ; [ 1. 32.],0
